dimension,current_unit,current_count,current_assessment,proposed_gap_improvers,addition_low,addition_expected,addition_high,final_low,final_expected,final_high,balance_note
direct-genitive,complement occurrences,7,thin,próbować; życzyć; unikać; wymagać; uczyć,4,8,13,11,15,20,Strengthen non-Accusative object government without forcing parity.
direct-dative,complement occurrences,9,moderate,dawać; dać; odpowiadać; polecać; pozwalać; radzić; życzyć; pasować; pokazywać,9,15,23,18,24,32,Prioritize recipient/experiencer frames and multi-complement clarity.
direct-accusative,complement occurrences,8,thin relative to everyday transitives,robić; jeść; pić; kupować; czytać; pisać; oglądać; gotować; many others,25,35,48,33,43,56,"Growth is useful, but do not let ordinary transitives crowd out harder cases."
direct-instrumental,complement occurrences,6,moderate,jechać/jeździć vehicle only if selected; otherwise no artificial growth,0,2,5,6,8,11,Do not misclassify free manner/vehicle adjuncts as governed complements.
direct-locative,complement occurrences,0,not a normal direct-case frame in locked model,none planned,0,0,0,0,0,0,Locative is taught through preposition-case constructions.
preposition-accusative,complement occurrences,11,strong,iść/chodzić; zgadzać się; martwić się; zapraszać; pozwalać,10,17,25,21,28,36,Keep meaning/preposition contrasts explicit.
preposition-locative,complement occurrences,5,thin,jeździć?; pamiętać o; zapominać o; brać/wziąć udział w,4,8,13,9,13,18,Improve o/w + Locative; reserve marzyć/uczestniczyć as replacements.
preposition-instrumental,complement occurrences,3,underrepresented,spotykać się; zgadzać się; cieszyć się uses Genitive instead; radzić sobie reserve,4,8,13,7,11,16,Strong learner value; verify lexical selection versus adjuncts.
preposition-genitive,complement occurrences,1,largest current case gap,motion do/z; pisać do; dzwonić do/w sprawie; korzystać z; należeć do,20,29,40,21,30,41,Deliberate Priority 8 emphasis; avoid treating every destination/source as lexical valency.
infinitive,complement occurrences,2,underrepresented,chcieć; móc; musieć; wiedzieć?; zaczynać; polecać; pozwalać; radzić; próbować; uczyć,11,18,27,13,20,29,Separate modal/control meanings and deterministic exercise suitability.
clause,complement occurrences,1,underrepresented,chcieć; rozumieć; wiedzieć; powiedzieć; cieszyć się; martwić się; pamiętać,7,12,20,8,13,21,Model clause kind explicitly; do not collapse że/czy/żeby/interrogative.
subject-experiencer,patterns,1,rare but valuable,czuć się/pasować candidates only if relation analysis supports it,1,3,5,2,4,6,Relation type is identity-bearing after release; verify before allocation.
multi-complement,patterns,9,moderate,dawać/dać; odpowiadać; powiedzieć; umówić się; polecać; pozwalać; życzyć; uczyć; pokazywać,18,30,42,27,39,51,"High teaching value, higher deterministic-test and wording burden."
meaning-sensitive,lemmas with >1 learner meaning,4,underrepresented,robić; brać/wziąć; pisać; dzwonić; powiedzieć; umówić się; pamiętać; pasować; others,24,35,48,28,39,52,Selective meanings only; expansion is not exhaustive valency.
reflexive,patterns owned by lexical-się lemmas,9,moderate,czuć się; nazywać się; spotykać/spotkać się; umówić się; cieszyć się; martwić się; zgadzać się,9,15,24,18,24,33,Treat lexical się as identity; never inherit from non-reflexive relatives.
