qaOrder,lemma,patternId,exampleId,pl,normalized,hash,file,fileSize,technicalStatus,humanQaStatus,humanQaNote,exact_polish
1,brać,vp-p-brac-fixed-participation-w-locative-participation-target-e33132012e5e,vp-e-brac-fixed-participation-w-locative-participation-target-primary-cf5588dd2882,Biorę udział w konferencji.,Biorę udział w konferencji.,9b1ffa9729fd,audio/9b1ffa9729fd.mp3,15696,PASS,PENDING,,Biorę udział w konferencji.
2,brać,vp-p-brac-literal-taking-accusative-entity-optional-instrumental-means-2965ea4b8dd9,vp-e-brac-literal-taking-accusative-entity-optional-instrumental-means-primary-519c54631db3,Biorę kostki lodu szczypcami.,Biorę kostki lodu szczypcami.,428e47a16e14,audio/428e47a16e14.mp3,15984,PASS,PENDING,,Biorę kostki lodu szczypcami.
3,brać,vp-p-brac-literal-taking-accusative-entity-za-accusative-gripped-part-5b4e470ceb63,vp-e-brac-literal-taking-accusative-entity-za-accusative-gripped-part-primary-941d0e0c64fc,Biorę dziecko za rękę.,Biorę dziecko za rękę.,9955c5136f55,audio/9955c5136f55.mp3,14544,PASS,PENDING,,Biorę dziecko za rękę.
4,chcieć,vp-p-chciec-desire-genitive-desired-object-3795edef70ef,vp-e-chciec-desire-genitive-desired-object-primary-49fd7619bf2b,Chcę pomocy od brata.,Chcę pomocy od brata.,b301590bc85f,audio/b301590bc85f.mp3,14112,PASS,PENDING,,Chcę pomocy od brata.
5,chcieć,vp-p-chciec-desire-infinitive-own-action-234cdb2e7709,vp-e-chciec-desire-infinitive-own-action-primary-1be86080d1b0,Chcę zwiedzić Kraków.,Chcę zwiedzić Kraków.,94037521da33,audio/94037521da33.mp3,14544,PASS,PENDING,,Chcę zwiedzić Kraków.
6,chcieć,vp-p-chciec-desire-zeby-desired-event-183bf9b2613e,vp-e-chciec-desire-zeby-desired-event-primary-04ef6f87d790,"Chcę, żeby dzieci były szczęśliwe.","Chcę, żeby dzieci były szczęśliwe.",9ef34e96258a,audio/9ef34e96258a.mp3,19152,PASS,PENDING,,"Chcę, żeby dzieci były szczęśliwe."
7,chcieć,vp-p-chciec-polite-request-or-intention-accusative-requested-object-6a4fbf979402,vp-e-chciec-polite-request-or-intention-accusative-requested-object-primary-164f3400a39c,Chciałbym herbatę.,Chciałbym herbatę.,b7d52690f88d,audio/b7d52690f88d.mp3,13536,PASS,PENDING,,Chciałbym herbatę.
8,chcieć,vp-p-chciec-polite-request-or-intention-infinitive-intended-action-fcdee1b775e3,vp-e-chciec-polite-request-or-intention-infinitive-intended-action-primary-c97875fb3bd4,Chciałbym zapytać o rezerwację.,Chciałbym zapytać o rezerwację.,5b085cefeab5,audio/5b085cefeab5.mp3,16992,PASS,PENDING,,Chciałbym zapytać o rezerwację.
9,chcieć,vp-p-chciec-polite-request-or-intention-zeby-requested-event-ec431e979211,vp-e-chciec-polite-request-or-intention-zeby-requested-event-primary-82f77e350ad7,"Chciałbym, żebyś do mnie zadzwonił.","Chciałbym, żebyś do mnie zadzwonił.",87d9b2abe332,audio/87d9b2abe332.mp3,18720,PASS,PENDING,,"Chciałbym, żebyś do mnie zadzwonił."
10,chodzić,vp-p-chodzic-regular-attendance-na-accusative-activity-a2bba146a846,vp-e-chodzic-regular-attendance-na-accusative-activity-primary-87dbb78a6e42,Chodzę na kurs polskiego.,Chodzę na kurs polskiego.,11c4cda995e7,audio/11c4cda995e7.mp3,14688,PASS,PENDING,,Chodzę na kurs polskiego.
11,chodzić,vp-p-chodzic-regular-on-foot-motion-do-genitive-destination-f4b1e09567e6,vp-e-chodzic-regular-on-foot-motion-do-genitive-destination-primary-f103e8c5c3b6,Chodzę do biblioteki.,Chodzę do biblioteki.,b04cc8c764b1,audio/b04cc8c764b1.mp3,13680,PASS,PENDING,,Chodzę do biblioteki.
12,chodzić,vp-p-chodzic-regular-on-foot-motion-infinitive-purpose-195e7497d1ee,vp-e-chodzic-regular-on-foot-motion-infinitive-purpose-primary-e6e2fb640d59,Chodzę pływać.,Chodzę pływać.,d5ba5b7f2400,audio/d5ba5b7f2400.mp3,11952,PASS,PENDING,,Chodzę pływać.
13,cieszyć się,vp-p-cieszyc-sie-experiencing-joy-instrumental-nominal-cause-6b3167a802aa,vp-e-cieszyc-sie-experiencing-joy-instrumental-nominal-cause-primary-075885851bec,Cieszę się zaufaniem zespołu.,Cieszę się zaufaniem zespołu.,11707a4764e6,audio/11707a4764e6.mp3,15408,PASS,PENDING,,Cieszę się zaufaniem zespołu.
14,cieszyć się,vp-p-cieszyc-sie-experiencing-joy-na-accusative-anticipated-occasion-89710bd0cab1,vp-e-cieszyc-sie-experiencing-joy-na-accusative-anticipated-occasion-primary-fd1d3675d29c,Cieszę się na wakacje.,Cieszę się na wakacje.,04bd81bed4ff,audio/04bd81bed4ff.mp3,13536,PASS,PENDING,,Cieszę się na wakacje.
15,cieszyć się,vp-p-cieszyc-sie-experiencing-joy-z-genitive-realized-cause-aedbc2323fcb,vp-e-cieszyc-sie-experiencing-joy-z-genitive-realized-cause-primary-14a6b32b4afa,Cieszę się z twojego sukcesu.,Cieszę się z twojego sukcesu.,3deb1c213942,audio/3deb1c213942.mp3,15552,PASS,PENDING,,Cieszę się z twojego sukcesu.
16,cieszyć się,vp-p-cieszyc-sie-experiencing-joy-ze-propositional-cause-fb321d1b6833,vp-e-cieszyc-sie-experiencing-joy-ze-propositional-cause-primary-01ff92103508,"Cieszę się, że przyjechałeś.","Cieszę się, że przyjechałeś.",4714c1af24d9,audio/4714c1af24d9.mp3,17136,PASS,PENDING,,"Cieszę się, że przyjechałeś."
17,czytać,vp-p-czytac-reading-written-content-accusative-content-optional-listener-fc6b612c7c89,vp-e-czytac-reading-written-content-accusative-content-optional-listener-primary-94c77063ff2c,Czytam dzieciom książkę.,Czytam dzieciom książkę.,c8fce39f7338,audio/c8fce39f7338.mp3,14112,PASS,PENDING,,Czytam dzieciom książkę.
18,czytać,vp-p-czytac-reading-written-content-direct-speech-content-6226c1dda07f,vp-e-czytac-reading-written-content-direct-speech-content-primary-34053ab5e20a,Czytam dzieciom: „Ala ma kota”.,Czytam dzieciom: „Ala ma kota”.,21deeea36483,audio/21deeea36483.mp3,18288,PASS,PENDING,,Czytam dzieciom: „Ala ma kota”.
19,czytać,vp-p-czytac-reading-written-content-interrogative-content-clause-87b9c3cf09bd,vp-e-czytac-reading-written-content-interrogative-content-clause-primary-484bdb32464b,"Czytam, dlaczego ceny rosną.","Czytam, dlaczego ceny rosną.",23380fbc140d,audio/23380fbc140d.mp3,18000,PASS,PENDING,,"Czytam, dlaczego ceny rosną."
20,czytać,vp-p-czytac-reading-written-content-o-locative-topic-a1638b5270c0,vp-e-czytac-reading-written-content-o-locative-topic-primary-2217efee8a91,Czytam o polityce.,Czytam o polityce.,11b422e81ce4,audio/11b422e81ce4.mp3,13680,PASS,PENDING,,Czytam o polityce.
21,czytać,vp-p-czytac-reading-written-content-ze-content-clause-11828549b93c,vp-e-czytac-reading-written-content-ze-content-clause-primary-ef8cac5e7709,"Czytam, że ceny rosną.","Czytam, że ceny rosną.",fab62435d12f,audio/fab62435d12f.mp3,16272,PASS,PENDING,,"Czytam, że ceny rosną."
22,dać,vp-p-dac-completed-transfer-to-recipient-accusative-thing-dative-recipient-b215f2e0cea0,vp-e-dac-completed-transfer-to-recipient-accusative-thing-dative-recipient-primary-719775acbe49,Dałem sąsiadowi klucze.,Dałem sąsiadowi klucze.,a133ead35f55,audio/a133ead35f55.mp3,15120,PASS,PENDING,,Dałem sąsiadowi klucze.
23,dawać,vp-p-dawac-transfer-to-recipient-accusative-thing-dative-recipient-4e7115ab3b85,vp-e-dawac-transfer-to-recipient-accusative-thing-dative-recipient-primary-0607ae878374,Daję sąsiadowi klucze.,Daję sąsiadowi klucze.,4144cf3a88f6,audio/4144cf3a88f6.mp3,14688,PASS,PENDING,,Daję sąsiadowi klucze.
