example_id,lemma,pattern_id,exact_polish,manifest_key,mp3_path,tts_risk,special_issue,human_qa_status,human_qa_note,reviewed_at
vp-e-bac-sie-worry-about-o-accusative-concern-worried-about-grandad-6d3fcb1cfed8,bać się,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,"Boimy się o dziadka, bo mieszka sam.",ba8ffae67384,audio/ba8ffae67384.mp3,low,comma/clause prosody,PASS,,2026-08-20T16:40:35+02:00
vp-e-dbac-take-care-of-o-accusative-target-care-every-day-171833c3174d,dbać,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,Codziennie dbam o kondycję.,a47da763550c,audio/a47da763550c.mp3,low,none,PASS,,2026-08-20T16:40:41+02:00
vp-e-dziekowac-thank-dative-recipient-za-accusative-thanks-for-cooperation-92656ebcc371,dziękować,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,Dziękuję siostrze za kolację.,14a59bbdc91a,audio/14a59bbdc91a.mp3,low,none,PASS,,2026-08-20T16:40:46+02:00
vp-e-mowic-tell-content-dative-recipient-accusative-content-telling-parents-the-truth-cc31a97d5386,mówić,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,Zawsze mówię rodzicom prawdę.,9cd5878d87e5,audio/9cd5878d87e5.mp3,low,none,PASS,,2026-08-20T16:40:51+02:00
vp-e-mowic-tell-content-dative-recipient-ze-clause-telling-you-its-a-good-idea-ed20965f4251,mówić,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,"Mówię ci, że to dobry pomysł.",3a1345633c7b,audio/3a1345633c7b.mp3,low,comma/clause prosody,PASS,p,2026-08-20T16:40:57+02:00
vp-e-myslec-think-about-o-locative-topic-thinking-about-the-exam-10ede796a5be,myśleć,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,Ciągle myślę o egzaminie.,34d6718a97b5,audio/34d6718a97b5.mp3,moderate,none,PASS,,2026-08-20T16:41:10+02:00
vp-e-opiekowac-sie-care-for-instrumental-object-caring-for-a-sick-grandmother-5d1ea100cdfa,opiekować się,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,Dziś opiekuję się młodszą siostrą.,6ebd3768b640,audio/6ebd3768b640.mp3,low,none,PASS,,2026-08-20T16:41:17+02:00
vp-e-placic-pay-za-accusative-goods-how-much-for-everything-dd5e5c88cfd4,płacić,vp-p-placic-pay-za-accusative-goods-73c6760c091d,Płacę za kawę i gazetę.,d883cb2fb59a,audio/d883cb2fb59a.mp3,low,none,PASS,p,2026-08-20T16:41:21+02:00
vp-e-pomagac-assist-dative-recipient-helping-a-neighbour-da22c7a69e27,pomagać,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,Często pomagam sąsiadce.,7e089f4410d7,audio/7e089f4410d7.mp3,low,none,PASS,,2026-08-20T16:41:29+02:00
vp-e-pomagac-assist-dative-recipient-w-locative-area-helping-with-maths-adfee546f29a,pomagać,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,Pomagam bratu w matematyce.,bf30f876fb3d,audio/bf30f876fb3d.mp3,moderate,none,PASS,,2026-08-20T16:41:36+02:00
vp-e-pytac-ask-for-information-accusative-person-o-accusative-topic-asking-a-friend-about-a-restaurant-4e51f8927a78,pytać,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,Pytam koleżankę o nową restaurację.,c9fd4250f49a,audio/c9fd4250f49a.mp3,low,none,PASS,,2026-08-20T16:41:43+02:00
vp-e-pytac-ask-for-information-o-accusative-topic-asking-about-the-price-662fceb895d3,pytać,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,Zawsze pytam o cenę.,49075a113c25,audio/49075a113c25.mp3,low,none,PASS,,2026-08-20T16:41:53+02:00
vp-e-rozmawiac-talk-with-o-locative-topic-talking-about-music-94c6280fa290,rozmawiać,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,Zawsze rozmawiamy o muzyce.,b3d0274579f7,audio/b3d0274579f7.mp3,low,none,PASS,,2026-08-20T16:41:58+02:00
vp-e-rozmawiac-talk-with-z-instrumental-interlocutor-talking-to-mum-every-day-e0d2b75493db,rozmawiać,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,Codziennie rozmawiam z mamą.,b2b4d7e44eec,audio/b2b4d7e44eec.mp3,low,none,PASS,,2026-08-20T16:42:03+02:00
vp-e-rozmawiac-talk-with-z-instrumental-o-locative-doctor-about-test-results-6080f6504f29,rozmawiać,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,Rozmawiam z lekarzem o wynikach badań.,deafd1c92fce,audio/deafd1c92fce.mp3,low,none,PASS,,2026-08-20T16:42:09+02:00
vp-e-sluchac-obey-genitive-object-dog-obeys-its-owner-f1216029cb1b,słuchać,vp-p-sluchac-obey-genitive-object-674adae2dec3,Ten pies słucha swojego pana.,fb790bca5329,audio/fb790bca5329.mp3,low,none,PASS,,2026-08-20T16:42:15+02:00
vp-e-ufac-trust-dative-object-trusting-my-teacher-618816d6a6ea,ufać,vp-p-ufac-trust-dative-object-10988adac8cd,Ufam swojej nauczycielce.,52221b23692c,audio/52221b23692c.mp3,low,none,PASS,,2026-08-20T16:42:20+02:00
vp-e-widziec-perceive-visually-accusative-object-saw-your-sister-ec51af47f224,widzieć,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,Czy widzisz tę czerwoną torbę?,67814b59e796,audio/67814b59e796.mp3,low,question intonation,PASS,,2026-08-20T16:42:24+02:00
vp-e-wierzyc-have-trust-dative-object-believing-a-friend-b65c5d71b199,wierzyć,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,"Wierzę koleżance, bo nigdy nie kłamie.",f06e4a2bd9c3,audio/f06e4a2bd9c3.mp3,low,comma/clause prosody,PASS,,2026-08-20T16:42:31+02:00
vp-e-wierzyc-have-trust-w-accusative-target-believing-in-the-team-9695f1faa84b,wierzyć,vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,Trener wierzy w tę drużynę.,3d709270cdd6,audio/3d709270cdd6.mp3,low,none,PASS,,2026-08-20T16:42:42+02:00
vp-e-zajmowac-sie-look-after-person-instrumental-object-looking-after-my-sisters-daughter-1976cdf5b971,zajmować się,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,"Kiedy siostra jest w pracy, zajmuję się jej córką.",ef2b6a3eedbf,audio/ef2b6a3eedbf.mp3,moderate,comma/clause prosody,PASS,,2026-08-20T16:42:48+02:00
vp-e-zajmowac-sie-occupation-activity-instrumental-topic-dad-repairs-computers-1ad6678e41cb,zajmować się,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,Mój tata zajmuje się naprawą komputerów.,b304455b54fa,audio/b304455b54fa.mp3,low,none,PASS,,2026-08-20T16:43:00+02:00
vp-e-zalezec-depend-on-od-genitive-source-plans-depend-on-the-weather-e539ac27be66,zależeć,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,Nasze plany zależą od pogody.,cd4741e333d3,audio/cd4741e333d3.mp3,low,none,PASS,,2026-08-20T16:43:07+02:00
vp-e-zalezec-matter-to-someone-dative-experiencer-na-locative-this-job-matters-to-me-49c780e0667f,zależeć,vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,Bardzo mi zależy na tej pracy.,779329e1891f,audio/779329e1891f.mp3,low,none,PASS,,2026-08-20T16:43:12+02:00
vp-e-znalezc-find-accusative-object-finally-found-a-flat-3609f7a71e3f,znaleźć,vp-p-znalezc-find-accusative-object-d80c52211462,W końcu znalazłam nową pracę.,0b4d3fbd75d7,audio/0b4d3fbd75d7.mp3,low,none,PASS,,2026-08-20T16:43:17+02:00
