reviewId,lemmaId,lemma,meaningId,patternId,relationType,teachingStatus,cefrRecognition,cefrProduction,exampleId,exampleOrigin,d2Verdict,severity,editorialAcceptanceRecommended,meaningFit,patternCorrectness,complementCorrectness,learnerExplanationAssessment,errorNotesAssessment,exampleAssessment,englishAssessment,cefrAssessment,statusAssessment,siblingPatternAssessment,provenanceAssessment,findingId,findingCategory,findingSummary,blockingField,currentValue,blockingRationale,recommendedCorrection,affectsTier1ReferenceScope,freshReferenceVerificationRequired,requiredCanonicalChange,nonblockingNote
P7-NR-001,vp-l-szukac-0daf5e6b5693,szukać,vp-m-szukac-seek-35b07b1cceb1,vp-p-szukac-seek-genitive-target-71dc6eff512c,lexical-frame,active-production,A1,A1,vp-e-szukac-seek-genitive-target-looking-for-cafe-efdccf7a5ba6,repository-reuse:card:a1-first-verbs-020.ex,ACCEPT,NONE,YES,PASS — The seek scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — genitive (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — No sibling-pattern conflict exists for this canonical lemma/meaning.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-002,vp-l-pomagac-54633912de9a,pomagać,vp-m-pomagac-assist-a4c05bbfc25c,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,lexical-frame,active-production,A1,A1,,,ACCEPT,NONE,YES,PASS — The assist scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — dative (recipient, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.",PASS — No example is authored for this row; the locked 29-example pilot does not require one here and the remaining learner material is coherent.,PASS — Not applicable because this pattern has no canonical example.,PASS — Recognition A1 and production A1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Not applicable because this row has no canonical example.,,,,,,,,,,,
P7-NR-003,vp-l-pomagac-54633912de9a,pomagać,vp-m-pomagac-assist-a4c05bbfc25c,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,lexical-frame,active-production,A2,A2,,,ACCEPT,NONE,YES,PASS — The assist scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — dative (recipient, required); w + locative (topic, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,PASS — No example is authored for this row; the locked 29-example pilot does not require one here and the remaining learner material is coherent.,PASS — Not applicable because this pattern has no canonical example.,PASS — Recognition A2 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Not applicable because this row has no canonical example.,,,,,,,,,,,
P7-NR-004,vp-l-sluchac-301b09233922,słuchać,vp-m-sluchac-listen-to-d981b432efa8,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,lexical-frame,active-production,A1,A1,vp-e-sluchac-listen-to-genitive-target-music-on-the-way-ecf258289d6e,repository-reuse:card:a1-free-time-005.ex,ACCEPT,NONE,YES,PASS — The listen-to scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — genitive (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-005,vp-l-sluchac-301b09233922,słuchać,vp-m-sluchac-obey-eb23d8503e9a,vp-p-sluchac-obey-genitive-object-674adae2dec3,lexical-frame,recognition-only,B1,,,,ACCEPT,NONE,YES,PASS — The obey scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — genitive (object, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,PASS — No example is authored for this row; the locked 29-example pilot does not require one here and the remaining learner material is coherent.,PASS — Not applicable because this pattern has no canonical example.,PASS — Recognition B1 and production omitted fit the locked curriculum semantics.,PASS — recognition-only and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Not applicable because this row has no canonical example.,,,,,,,,,,,
P7-NR-006,vp-l-czekac-c6c3d0da2caa,czekać,vp-m-czekac-wait-for-bfb4d11f9655,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,lexical-frame,active-production,A1,A1,vp-e-czekac-wait-for-na-accusative-target-waiting-for-bus-c7204269b040,repository-reuse:card:a1-first-verbs-021.ex,ACCEPT,NONE,YES,PASS — The wait-for scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — na + accusative (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — No sibling-pattern conflict exists for this canonical lemma/meaning.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-007,vp-l-potrzebowac-8b78ee8b092d,potrzebować,vp-m-potrzebowac-need-1112b46d1be1,vp-p-potrzebowac-need-genitive-object-437fafad17d2,lexical-frame,active-production,A1,A2,vp-e-potrzebowac-need-genitive-object-certificate-from-work-9bb3306bf0ee,repository-reuse:card:a2-official-matters-019.ex,ACCEPT,NONE,YES,PASS — The need scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — genitive (object, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — No sibling-pattern conflict exists for this canonical lemma/meaning.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-008,vp-l-uczyc-sie-a01d00cb7f2f,uczyć się,vp-m-uczyc-sie-study-bd96ff26cc60,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,lexical-frame,active-production,A1,A2,vp-e-uczyc-sie-study-genitive-subject-matter-polish-for-a-year-180cd560a0ec,repository-reuse:card:a1-about-me-004.ex,ACCEPT,NONE,YES,PASS — The study scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — genitive (content, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-009,vp-l-uczyc-sie-a01d00cb7f2f,uczyć się,vp-m-uczyc-sie-study-bd96ff26cc60,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,lexical-frame,active-production,A2,B1,vp-e-uczyc-sie-study-infinitive-skill-learning-guitar-fc75e418733b,repository-reuse:card:a1-free-time-007.ex,ACCEPT,NONE,YES,PASS — The study scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — infinitive (content, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,"PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A2 and production B1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-010,vp-l-dziekowac-8e4ca359cb86,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,lexical-frame,active-production,A1,A1,vp-e-dziekowac-thank-za-accusative-reason-thanks-for-help-edd6c7bb9169,repository-reuse:card:a1-first-phrases-006.ex,ACCEPT,NONE,YES,PASS — The thank scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — za + accusative (topic, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,"PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
