reviewId,lemma,meaningId,patternId,pattern,relationType,cefrRecognition,cefrProduction,teachingStatus,supportClass,b1Verdict,b1Severity,b1FindingRefs,b1Rationale,b1ProposedChange,b2Verdict,b2Severity,b2FindingId,b2Rationale,b2ProposedChange,agreementClass,treatmentDivergence,b3aDisposition,b3aSeverity,b3aPrimaryCategory,b3aSecondaryCategories,b3aRationale,b3aProposedChange,noteDisposition,deferReopenCriteria,ownerPhase
P7-NR-001,szukać,vp-m-szukac-seek-35b07b1cceb1,vp-p-szukac-seek-genitive-target-71dc6eff512c,szukać + Genitive,lexical-frame,A1,A1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-14,"Genitive government is invariant across the entry's senses, so the single seek meaning is pedagogically coherent whichever numbered sense is cited. The locator's sense cue ('zaginionego', a lost thing) is narrower than the authored scope and than the canonical example, which is a café one wants rather than one lost.","None to linguistic content. Record that the cue is a locator, not a description of the taught scope.",ACCEPT,NONE,,"The seek meaning, required taught target, Genitive label, A1 production status, and contrast with znaleźć are clear; the canonical example displays the case adequately.",,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,LABEL_OR_NOTE,,"F-14 is correct and worth keeping as reading guidance: the WSJP locator cue 'zaginionego' identifies which numbered sense was opened, it does not describe the taught scope, which the canonical cafe example legitimately exceeds. Genitive government is invariant across the candidate senses, so nothing linguistic turns on the cue and B2's clean ACCEPT is not disturbed. Kept because the same misreading is available for the other three cue-bearing locators.",,KEEP NOTE,,REGISTER-ONLY
P7-NR-002,pomagać,vp-m-pomagac-assist-a4c05bbfc25c,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,pomagać + Dative,lexical-frame,A1,A1,active-production,SUBFRAME,ACCEPT WITH NOTE,LOW,F-01,"The bare Dative recipient is idiomatic and complete on its own; 'Pomagam mamie' needs no second participant to be well formed, so omitting the w+Locative area misleads nobody. Row 3 supplies the fuller frame, so both exist. This is the model case for the subframe standard. No canonical example yet (draft B-01, authorship-blocked).",None. Example authoring in 4F-C.,ACCEPT,NONE,,The bare Dative recipient is a useful complete learner construction and does not imply that an activity phrase cannot be added; its fuller sibling supplies that extension.,Add the planned canonical example in 4F-C before learner activation; no pattern change.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,"B1's only note is F-01, the corpus-level example gap, which B2 records identically as a 4F-C dependency rather than a finding. It is tracked once at phase level and is not row debt. Both reviewers otherwise agree: 'Pomagam mamie' is a complete idiomatic utterance and row 003 supplies the fuller frame. This is the model case for the subframe standard.",,DROP NOTE,,NONE
P7-NR-003,pomagać,vp-m-pomagac-assist-a4c05bbfc25c,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,pomagać + Dative + w + Locative,lexical-frame,A2,A2,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,"EXACT-FRAME on 'KOMU + w CZYM'. Teaching only the w alternant and leaving przy aside matches the pilot's consistent narrowing elsewhere (tęsknić za not do, myśleć o not nad). A2 placement is right for a two-slot frame built on an A1 sibling. No canonical example yet (draft B-02).",None. Example authoring in 4F-C.,ACCEPT,NONE,,The full komuś w czymś frame is a useful A2 extension of the A1 recipient pattern; the two required slots are appropriate for this deliberately full taught subframe.,Add the planned canonical example in 4F-C before learner activation.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,Compatible difference with no residue. EXACT-FRAME on KOMU + w CZYM; A2 above its A1 sibling is coherent staging; narrowing to the w alternant matches the pilot's consistent policy. F-01 is handled at phase level.,,DROP NOTE,,NONE
P7-NR-004,słuchać,vp-m-sluchac-listen-to-d981b432efa8,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,słuchać + Genitive,lexical-frame,A1,A1,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME, A1 core, canonical example reused from an A1 card at the same level, and an error note that names the exact Accusative mistake learners make. Nothing outstanding.",,ACCEPT,NONE,,"The perception sense is well separated from obey, the Genitive target is clear, and the music example is natural and sufficient.",,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean on both sides. EXACT-FRAME, A1 core, level-matched example, error note naming the exact Accusative error. Nothing to adjudicate.",,NONE,,NONE
P7-NR-005,słuchać,vp-m-sluchac-obey-eb23d8503e9a,vp-p-sluchac-obey-genitive-object-674adae2dec3,słuchać + Genitive,lexical-frame,B1,,recognition-only,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-05; F-01,"The frame is correct and separately numbered in the source. The learner-facing treatment is not: the only illustration is negated ('nie słucha rodziców'), and Polish negation independently forces the Genitive, so the example cannot show that słuchać governs the Genitive on its own. The sole repository grounding uses this sense with no complement at all, and there is no canonical example.",Replace the illustration in learnerExplanationEn with an affirmative one (e.g. a positive clause) so the Genitive is attributable to the verb; 4F-C example must also be affirmative.,ACCEPT,NONE,,The distinct obey sense justifies a separate meaning despite identical case government; B1 recognition-only treatment avoids overloading the core A1 frame.,Add the planned canonical example in 4F-C before learner activation.,SUBSTANTIVE DISAGREEMENT,NO,CHANGE BEFORE EDITORIAL ACCEPTANCE,MEDIUM,LABEL_OR_NOTE,EXAMPLE,"B1 found a real defect that B2 missed. The pattern's sole learner-facing illustration is negated ('nie slucha rodzicow'), and the Polish genitive of negation independently forces the Genitive on any object, so the sentence is equally consistent with an Accusative-governing verb and cannot demonstrate the claim the sentence itself makes. B2 assessed only the sense split, which is sound and is left untouched. B1's own remedy is insufficient: merely making it affirmative leaves 'slucha rodzicow' opaque, because masculine-personal Accusative plural is syncretic with the Genitive plural. The illustration must be affirmative AND case-transparent. learnerExplanationEn is canonical text and is not owned by 4F-C, so this is a change, not example debt.","In pattern vp-p-sluchac-obey-genitive-object-674adae2dec3 change learnerExplanationEn from 'In the obey sense sluchac still takes the Genitive: nie slucha rodzicow.' to 'In the obey sense sluchac still takes the Genitive: dziecko slucha mamy.' (affirmative, and Genitive mamy is distinct from Accusative mame). Change no other field: teachingStatus stays recognition-only and cefr stays {recognition: B1}. Directive to 4F-C: the canonical example for this pattern must also be affirmative and case-transparent.",SUPERSEDED BY CHANGE,,4F-B3B
P7-NR-006,czekać,vp-m-czekac-wait-for-bfb4d11f9655,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,czekać + na + Accusative,lexical-frame,A1,A1,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME on '(na KOGO/CO)'. The phase also declined to author the bare Genitive frame that the 2011 detailed entry lists but the contemporary reference does not, which is the right call and is recorded. A1 core with a level-matched example.",,ACCEPT,NONE,,This is a core high-utility A1 frame; the preposition and case are explicit and the bus example is sufficient in context.,,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean. EXACT-FRAME on '(na KOGO/CO)', A1 core, level-matched example. Declining to author the bare Genitive frame that only the 2011 entry lists is recorded and is the right call.",,NONE,,NONE
P7-NR-007,potrzebować,vp-m-potrzebowac-need-1112b46d1be1,vp-p-potrzebowac-need-genitive-object-437fafad17d2,potrzebować + Genitive,lexical-frame,A1,A2,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-13,"EXACT-FRAME 'CZEGO'; splitting the infinitive frame off is correct. The canonical example is an A2 official-matters sentence ('zaświadczenia z pracy') while recognition is set at A1, so the worked example sits above the level at which the pattern is first met.","Consider an A1-level recognition example, or move recognition to A2. No structural change.",ACCEPT,NONE,,The ordinary need sense and Genitive object are learner-clear; A1 recognition with A2 production is a defensible staged treatment and the example is adequate.,,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,EXAMPLE,,"F-13 verified against the corpus: the canonical example is reused from a2-official-matters-019 ('Potrzebuje zaswiadczenia z pracy') while recognition is set at A1, so the worked sentence sits above the level at which the pattern is first met. Cheap, real 4F-C work. No structural and no CEFR change: B2 is right that A1 recognition with A2 production is a defensible staged treatment, so the example moves, not the level.",,KEEP NOTE,,4F-C
P7-NR-008,uczyć się,vp-m-uczyc-sie-study-bd96ff26cc60,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,uczyć się + Genitive,lexical-frame,A1,A2,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME 'CZEGO + (GDZIE)'. Two error notes, one for the case and one for the lexical się, and the się note correctly separates uczyć się from uczyć. Level-matched example.",,ACCEPT,NONE,,"The subject-matter frame is distinct from the infinitive skill frame, preserves lexical się, and has a clear Genitive example; staged production is reasonable.",,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean. EXACT-FRAME 'CZEGO + (GDZIE)', two error notes, and the lexical-sie note correctly separates uczyc sie from uczyc.",,NONE,,NONE
P7-NR-009,uczyć się,vp-m-uczyc-sie-study-bd96ff26cc60,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,uczyć się + infinitive,lexical-frame,A2,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-12; F-13,"EXACT-FRAME 'BEZOKOLICZNIK'. But this is a bare infinitive complement placed at A2/B1 while lubić + infinitive (row 28) is the same complement type at A1/A1, and both draw their example from an A1 card. The two placements cannot both be right.","Reconcile with row 28: either both bare-infinitive complements sit at A1/A1, or the difference is justified by the governing verb rather than the complement.",ACCEPT,NONE,,The infinitive is a coherent second realization of the broad learn/study meaning; its skill explanation and guitar example prevent confusion with nominal study content.,,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,CEFR,EXAMPLE,"F-12 is adjudicated rather than left open: the two placements CAN both be right, and B1 itself named the escape ('or the difference is justified by the governing verb'). It is. lubic + infinitive is a fixed high-frequency A1 formula with no competing frame; uczyc sie + infinitive expresses skill acquisition and must first be separated from uczyc sie + Genitive (row 008), which is a genuine extra demand. No CEFR change on either row. The note is kept so the asymmetry stops reading as unreconciled. F-13 (example from an A1 card for an A2/B1 pattern) is a minor 4F-C consideration only.",,KEEP NOTE,,REGISTER-ONLY
P7-NR-010,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,dziękować + za + Accusative,lexical-frame,A1,A1,active-production,SUBFRAME,ACCEPT,NONE,,"SUBFRAME, and the strongest of the four. 'Dziękuję za pomoc' with no named addressee is the canonical A1 gratitude phrase in real use; the omitted Dative is not a hidden participant a learner must supply. Row 11 supplies the fuller frame. Level-matched example.",,ACCEPT,NONE,,The recipient-free formula is independently useful and normal in learner use; it does not mislead because the explanation limits itself to the reason and the fuller sibling names the recipient.,,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean, and the strongest of the four subframes. 'Dziekuje za pomoc' with no named addressee is the canonical A1 gratitude phrase; the omitted Dative is not a hidden participant the learner must supply. Row 011 carries the fuller frame.",,NONE,,NONE
