reviewId,findingId,lemma,meaningId,patternId,currentPolish,currentEnglish,currentOrigin,currentClassification,severity,proposalPolish,proposalEnglish,proposalOrigin,proposalDecision,senseFit,caseTransparency,naturalness,cefrFit,provenanceResult,repositoryVerification,currentVsProposed,independentRationale,alternativePolish,alternativeEnglish,alternativeOrigin
P7-NR-007,,potrzebować,vp-m-potrzebowac-need-1112b46d1be1,vp-p-potrzebowac-need-genitive-object-437fafad17d2,Potrzebuję zaświadczenia z pracy.,I need a certificate from work.,repository-reuse,NO CHANGE,NONE,Czy potrzebuję antybiotyku?,Do I need an antibiotic?,repository-reuse,REJECT PROPOSAL,"Current and proposal both express the authored necessity sense, not modal 'have to'.","Both show affirmative Genitive government. The proposal's antybiotyku is morphologically clearer; current zaświadczenia is syncretic with Nominative plural but singular meaning remains recoverable.","Both Polish sentences are contemporary and idiomatic. The proposal is a natural question to a clinician.","Both are reasonable A2 production examples; neither is distinctly simpler enough to justify another example.","Both repository-reuse claims are truthful; no author or generator claim is made.","Current resolves byte-exact to card:a2-official-matters-019.ex and proposal resolves byte-exact to card:a2-pharmacy-020.ex; both English strings also match the cards.",current wins,"The proposal is valid and somewhat more case-transparent, but it does not materially improve a natural, exact, contextual current example. Multiple examples are supported but an extra near-duplicate is pedagogically unnecessary.",,,
P7-NR-011,P7-C1B-001,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,Dziękuję wszystkim za owocną współpracę.,Thank you all for the fruitful cooperation.,repository-reuse,USEFUL IMPROVEMENT,LOW,Dziękuję siostrze za kolację.,Thanks to my sister for dinner.,editorial-generated,REVISE PROPOSAL,"Both Polish sentences express gratitude with a named recipient and reason; the proposed English instead reads as a causal 'thanks to' construction and obscures who is thanked.","Current wszystkim is Dative and współpracę clearly Accusative; proposal siostrze and kolację give two especially visible feminine endings.","Both Polish sentences are natural. Current is formal workplace language; proposal is everyday. Proposed English is misleading rather than a natural translation of the participant structure.","Current suits B1 but is formal; proposal vocabulary and structure are accessible by A2/B1.","The editorial-generated label is truthful: no repository match, repositorySource, human author, or original claim is supplied. Canonical adoption would still require a registered nonhuman example-generation actor and adoptedAt.","Current Polish resolves byte-exact to card:b1-career-015.ex. No eligible repository sentence matches the proposal.",proposal needs revision,"The current example can ship, but the proposed Polish is a more everyday and case-transparent teaching sentence. Revise the English so the sister remains the person thanked.",Dziękuję siostrze za kolację.,I'm thanking my sister for dinner.,editorial-generated
P7-NR-012,P7-C1B-002,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-za-accusative-goods-73c6760c091d,Ile płacę za wszystko?,How much am I paying for everything?,repository-reuse,USEFUL IMPROVEMENT,LOW,Płacę za kawę i gazetę.,I am paying for a coffee and a newspaper.,editorial-generated,ACCEPT PROPOSAL,"Both examples use everyday transactional payment for goods and avoid the figurative sense.","Current wszystko is Accusative=Nominative and hides the case lesson. Proposal kawę and gazetę expose two unambiguous feminine Accusative endings after za.","Current is grammatical but slightly artificial as a standalone till question; proposal is concise and natural. Proposed English is natural and aligned.","Proposal uses basic A1/A2 vocabulary and is better controlled for A2 production than the current question.","The editorial-generated label is truthful; it makes no repository or human-authorship claim. Canonical adoption requires the later generator metadata required by the schema.","Current Polish resolves byte-exact to card:a1-numbers-prices-015.ex. Repository search found payment examples for amounts or means but no exact reusable sentence for za + goods as strong as the proposal.",proposal wins,"The current example is acceptable but teaches the case weakly and sounds less standalone. The proposal is materially better because it is affirmative, natural, and morphologically transparent.",,,
P7-NR-014,,używać,vp-m-uzywac-use-bf360f430fed,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,Używam tej aplikacji do nauki języków.,I use this app for learning languages.,repository-reuse,NO CHANGE,NONE,,,,NOT APPLICABLE,"Current exactly illustrates employing an app as a tool or means.","Tej aplikacji shows adjective-noun agreement in the Genitive; the form is teachable despite feminine Genitive/Locative syncretism because no preposition licenses Locative.","Polish and English are natural, neutral, and useful standalone.","The sentence is appropriate for A2 production; transparent technology vocabulary does not create material overload.","Current repository-reuse origin is truthful.","Current Polish resolves byte-exact to card:b1-media-technology-001.ex. Repository alternates exist, including reusable-packaging vocabulary, but none is materially stronger for this authored pattern.",current wins,"The current example is exact, natural, contextual, and adequately case-transparent. No replacement or addition is needed.",,,
P7-NR-018,P7-C1B-003,dbać,vp-m-dbac-take-care-of-2b403d3e1b49,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,Warto dbać o siebie każdego dnia.,It is worth taking care of yourself every day.,repository-reuse,USEFUL IMPROVEMENT,LOW,Codziennie dbam o kondycję.,I take care of my fitness every day.,editorial-generated,REVISE PROPOSAL,"Both examples express sustained effort toward good condition and fit the authored care sense.","Current siebie is an Accusative/Genitive reflexive form and hides noun inflection. Proposal kondycję makes o + Accusative visible with a feminine -ę ending.","Both Polish sentences are idiomatic, though dbam o swoją kondycję would be slightly fuller in some contexts. Proposed English is understandable but not fully idiomatic.","Both fit B1; proposal is short and controlled.","The editorial-generated label is truthful and carries no repositorySource or human-authorship claim. Canonical adoption requires the schema's generator metadata later.","Current Polish resolves byte-exact to card:b1-healthy-lifestyle-012.ex. Repository search found related health wording but no exact stronger stable sentence with a transparent Accusative noun.",proposal needs revision,"The current example is good enough to ship, but the proposal exposes the target case better. Keep the Polish and revise the English to an idiomatic rendering.",Codziennie dbam o kondycję.,I make an effort to stay fit every day.,editorial-generated
P7-NR-031,P7-C1B-004,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,,,,MUST CHANGE,MEDIUM,Zawsze pytam o cenę.,I always ask about the price.,editorial-generated,ACCEPT PROPOSAL,"The proposal clearly depicts asking to obtain information about a price, not classroom examination.","Cenę is an unambiguous feminine Accusative after o and cleanly demonstrates the only target complement.","Polish and English are natural, neutral, and useful standalone.","Basic vocabulary and simple present tense fit A2 recognition and production.","The editorial-generated label is truthful and does not claim repository reuse or a human author. Canonical adoption requires registered generator metadata later.","The canonical slot is empty. Repository search found related pytać examples, but none is an eligible exact stable utterance as direct and single-target as this proposal.",proposal wins,"A missing example should not ship for an active-production pattern. The proposal is exact, simple, case-transparent, and ready for later canonical consideration.",,,
P7-NR-032,P7-C1B-005,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,,,,MUST CHANGE,MEDIUM,Pytam koleżankę o nową restaurację.,I am asking my friend about the new restaurant.,editorial-generated,ACCEPT PROPOSAL,"The proposal preserves both participants: an interlocutor and an information topic. It is not the classroom examine sense.","Koleżankę and nową restaurację visibly mark both Accusative complements with feminine -ę agreement.","Polish is contemporary and idiomatic. English is natural; gender-neutral friend is an acceptable translation of koleżankę here.","The two-complement sentence is controlled and appropriate for B1 production.","The editorial-generated label is truthful; repositorySource and human authorship are absent. Canonical adoption requires registered generator metadata later.","The canonical slot is empty. The repository has Chciałam cię o coś zapytać, but its pronouns obscure both noun-case lessons and it targets a more salient infinitival construction; the proposal is stronger.",proposal wins,"A missing example must be filled before release. The proposal makes the full participant frame unusually transparent without sounding contrived.",,,
P7-NR-033,P7-C1B-006,widzieć,vp-m-widziec-perceive-visually-65710cb07f86,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,Widziałam wczoraj twoją siostrę.,I saw your sister yesterday.,repository-reuse,MUST CHANGE,HIGH,Czy widzisz tę górę na horyzoncie?,Do you see that mountain on the horizon?,editorial-generated,REVISE PROPOSAL,"Current is compatible with the explicitly excluded encounter/meet reading and does not independently establish visual perception. Proposal is unequivocally visual.","Current twoją siostrę and proposal tę górę both visibly mark feminine Accusative; neither is confounded by negation.","Both Polish sentences are natural. The proposal is clear, but na horyzoncie adds avoidable vocabulary for an A1 pattern.","Current uses past-tense gender and an ambiguous situation; proposal is structurally simple but horyzoncie is unnecessarily above the core A1 load. The shorter alternative fits A1 better.","The editorial-generated label is truthful and makes no repository or human-author claim. Canonical adoption requires registered generator metadata later.","Current Polish resolves byte-exact to card:a2-describing-past-005.ex. Repository examples Widzę kota and Widzę kobietę are reusable drills rather than cards and are case-focused, but the shorter generated proposal best preserves the intended visual question.",proposal needs revision,"The current example risks teaching the wrong numbered sense, a serious learner-model error. Revise the good proposal by removing the nonessential location phrase.",Czy widzisz tę górę?,Do you see that mountain?,editorial-generated
P7-NR-035,P7-C1B-007,myśleć,vp-m-myslec-think-about-fa2e0ab5d95a,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,,,,MUST CHANGE,MEDIUM,Ciągle myślę o egzaminie.,I keep thinking about the exam.,editorial-generated,ACCEPT PROPOSAL,"The proposal depicts sustained attention to a topic, not an opinion or intention.","Egzaminie is a visible masculine Locative after o; no competing rule licenses the form.","Polish and English are contemporary, idiomatic, and useful standalone.","Simple present tense and familiar study vocabulary fit A2.","The editorial-generated label is truthful; there is no repositorySource or human-author claim. Canonical adoption requires registered generator metadata later.","The canonical slot is empty. Repository drills Myślę o wakacjach and Myślę o bracie are valid exact constructions, but the proposal is equally natural and has a clean standalone translation; no false reuse claim is made.",proposal wins,"The active-production pattern lacks an example. The proposal is exact, natural, and transparent and can proceed to the later governed authoring step.",,,
P7-NR-036,P7-C1B-008,znaleźć,vp-m-znalezc-find-8a0f0f34b6e8,vp-p-znalezc-find-accusative-object-d80c52211462,W końcu udało mi się znaleźć mieszkanie.,I finally managed to find a flat.,repository-reuse,USEFUL IMPROVEMENT,LOW,W końcu znalazłam nową pracę.,I finally found a new job.,editorial-generated,ACCEPT PROPOSAL,"Both depict successful location of something sought. The proposal's job reading remains within the authored find sense and not merely an aspect-partner inference.","Current mieszkanie is Accusative=Nominative and the infinitive is buried under udało mi się. Proposal nową pracę visibly marks feminine Accusative on adjective and noun.","Both Polish and English are natural. Proposal is more direct and useful standalone for the target verb.","Proposal adds only ordinary past-tense gender and familiar work vocabulary; it is suitable by B1 production.","The editorial-generated label is truthful and claims neither repository reuse nor human authorship. Canonical adoption requires registered generator metadata later.","Current Polish resolves byte-exact to card:a2-describing-past-022.ex. Repository has related szukać pracy and find-online sentences, but no stronger exact stable znaleźć sentence for this frame.",proposal wins,"The current sentence can ship, but a more salient construction and syncretic object weaken teaching. The proposal makes the target finite and the Accusative explicit, so it is genuinely better.",,,
