"verification_order","lemma","phase3_disposition","phase3_representation_fit","evidence_strength","human_freeze_status","full_pattern_in_phase4","aspect_partner","aspect_anchor","authoring_constraint","freeze_rationale","reserve_backfill","notes"
"1","pracować","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Author only the production sense with nad + Instrumental. Do not encode jako + Nominative or ordinary workplace GDZIE as a verb pattern.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"2","iść","KEEP VERIFIED","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","The locked product can encode individual do/na realizations but not the generalized DOKĄD alternation as one abstract slot; later authoring must avoid implying exclusive government.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"3","chodzić","KEEP VERIFIED","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","The semantic boundary between event attendance na CO and a spatial na-destination must be enforced during later sense selection.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"4","jechać","KEEP VERIFIED","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Walenty could not be inspected at lemma level, so the unexpected selected-vehicle result lacks independent corroboration and deserves reviewer attention.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"5","jeździć","KEEP VERIFIED","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","As with jechać, independent lemma-level Walenty corroboration was unavailable; exact pedagogical delimitation of vehicle participant versus manner needs review.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"6","dojść","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Lexical range within abstract results must be kept to attested thought/result nouns rather than generalized to every abstract noun.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"7","dojechać","KEEP VERIFIED","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","The selected-vehicle analysis should receive independent review because it reverses the Phase 2 working suspicion and Walenty was inaccessible.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"8","wracać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","wrócić","","Label do/z forms as goal/source realizations, never as exclusive government; keep the imperfective evidence independent from wrócić.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family; the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"9","wrócić","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","wracać","","Label do/z as realizations, preserve the moderate independent-slot signal, and do not inherit syntax from wracać.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family; the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"10","przyjść","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","przychodzić","","Keep event/activity and place readings sense-specific; label concrete destinations as realizations and do not author an unverified person-target do frame.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
