"verification_order","provisional_rank","lemma","cefr_hypothesis","aspect","aspect_partner","phase2_representation_fit","phase2_risk","phase2_verification_question","phase3_disposition","phase3_representation_fit","independent_slot_signal","verified_meaning_summary","supported_construction_summary","supported_constructions_structured","rejected_or_unverified_hypotheses","adjunct_boundary_summary","phase2_question_answer","primary_source_key","primary_source","primary_source_url","primary_source_locator","primary_source_accessed","primary_source_evidence_summary","secondary_source_key","secondary_source","secondary_source_url","secondary_source_locator","secondary_source_accessed","secondary_source_evidence_summary","evidence_strength","remaining_uncertainty","replacement_trigger","replacement_profile","research_notes"
"1","18","pracować","A1","imperfective","","model-fit concern","critical","Is there an independently useful governed nad + Instrumental or other architecture-compatible frame, once jako + Nominative and ordinary work-location adjuncts are excluded?","KEEP WITH NARROWING","compatible with narrowing","strong","creating or producing something through work","nad + Instrumental for the product or work-object","preposition-case:nad+Instrumental","jako + Nominative is outside the locked model; w + Locative work-place and ordinary GDZIE expressions receive no pattern credit","The nad-object is explicitly connoted in the exact production sense; ordinary workplace is excluded as location and jako is a predicate/model mismatch.","Yes. WSJP sense 5 explicitly gives pracować + nad CZYM for creating a product, so the lemma survives independently of jako and workplace location.","WSJP-PRAC-05","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, pracować sense 5 'nad scenariuszem'","https://wsjp.pl/haslo/podglad/19959/pracowac/5068996/nad-scenariuszem","sense 5; Definicja, Połączenia, Składnia","2026-08-20","The sense is goal-directed creation/production; Składnia specifies nad CZYM and Połączenia supplies product nouns.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Explains that Składnia records obligatory and optional connoted dependents sense by sense, and that parentheses mark optional positions.","A","No independent contemporary valency interface was successfully inspected; this does not weaken the explicit WSJP schema but limits corroboration.","none","","Narrowing removes the location hypothesis and leaves one practical compatible frame; no learner example authored."
"2","5","iść","A1","imperfective","","probably compatible - verify","high","Which proposed expressions, if any, are governed for the selected meaning rather than free destination, route, time, or purpose adjuncts?","KEEP VERIFIED","compatible with narrowing","strong","directed motion on foot; in the same sense, going in order to perform an action","a selected DOKĄD position realized by destination expressions; infinitive purpose","preposition-case:do+Genitive (common DOKĄD realization)|preposition-case:na+Accusative (common DOKĄD realization)|infinitive","No exclusive lexical government by do or na is established; route, time, and ordinary manner expressions remain adjuncts.","Destination and infinitive are connoted for the exact sense; route, time, and ordinary manner remain free adjuncts. DOKĄD does not privilege one destination preposition.","WSJP places DOKĄD and BEZOKOLICZNIK in Składnia. Therefore destination and infinitive are connoted for the sense, but the specific do/na forms are realizations of generalized DOKĄD rather than exclusive governed prepositions.","WSJP-ISC-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, iść sense 1 'do domu'","https://wsjp.pl/haslo/podglad/19012/isc/5066139/do-domu","sense 1; Definicja, Połączenia, Składnia","2026-08-20","Składnia lists DOKĄD and BEZOKOLICZNIK; Połączenia distinguishes route forms from do/na destinations and the cited material includes purpose-infinitive use.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12.1–2.12.2, pp. 68–70","2026-08-20","DOKĄD denotes a connoted position whose realization is not limited to one preposition; BEZOKOLICZNIK denotes an infinitival position.","A","The locked product can encode individual do/na realizations but not the generalized DOKĄD alternation as one abstract slot; later authoring must avoid implying exclusive government.","none","","Purpose receives credit because it is explicitly in Składnia, not merely because it occurs in an example."
"3","6","chodzić","A1","imperfective","","probably compatible - verify","high","Does an architecture-compatible governed construction independently justify the slot after ordinary do/na destination and frequency adjuncts are removed?","KEEP VERIFIED","compatible with narrowing","strong","regular or habitual attendance/motion to an activity or place; habitual going to perform an action","selected optional DOKĄD; a separately listed optional na + Accusative attendance/activity position; optional infinitive","preposition-case:na+Accusative (attendance/activity)|preposition-case:do+Genitive (common DOKĄD realization)|infinitive","Frequency is an adjunct; do + Genitive is not established as an exclusive governed preposition; ordinary route expressions receive no credit.","Attendance/activity na CO and the infinitive are directly connoted; frequency and route are adjuncts. Concrete do + Genitive destinations are narrowed realizations of generalized DOKĄD, not exact governed frames.","Yes. Even after frequency is removed, WSJP separately lists optional na CO and BEZOKOLICZNIK in Składnia, alongside optional generalized DOKĄD. The na frame supplies an exact architecture-compatible construction.","WSJP-CHODZ-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, chodzić sense 1 'do szkoły'","https://wsjp.pl/haslo/podglad/10552/chodzic/5123931/do-szkoly","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The exact sense covers habitual attendance; Składnia separately records optional DOKĄD, na CO, and BEZOKOLICZNIK positions.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12.1–2.12.2, pp. 68–70","2026-08-20","A concrete preposition in Składnia identifies that preposition and case; parentheses mark a connoted but omissible position.","A","The semantic boundary between event attendance na CO and a spatial na-destination must be enforced during later sense selection.","none","","Determinate/indeterminate contrast is lexical, not treated as an aspect-pair inheritance."
"4","7","jechać","A1","imperfective","","probably compatible - verify","high","Is any proposed slot governed, especially the Instrumental vehicle phrase, or is the value primarily lexical motion teaching?","KEEP VERIFIED","compatible with narrowing","strong","directed travel using a vehicle, animal, or sport equipment","optional source, destination, and vehicle positions; direct Instrumental CZYM and na + Locative vehicle/equipment alternatives","case:Instrumental (vehicle)|preposition-case:na+Locative (vehicle/equipment)|preposition-case:do+Genitive (common DOKĄD realization)","No exclusive do + Genitive government; route, time, and manner outside the WSJP vehicle positions receive no credit.","Vehicle CZYM/na CZYM is directly connoted in the exact transport sense; route, time, and other manner expressions remain adjuncts. Concrete destination forms are narrowed realizations of generalized DOKĄD.","WSJP explicitly places optional CZYM and na CZYM vehicle positions in Składnia, so the value is not merely lexical motion teaching. The direct Instrumental is supported as a connoted participant.","WSJP-JECH-01A","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, jechać sense 1.a 'samochodem'","https://wsjp.pl/haslo/podglad/19013/jechac/5048584/samochodem","sense 1.a; Definicja, Połączenia, Składnia","2026-08-20","The sense definition builds transport means into the event; Składnia gives optional SKĄD, DOKĄD, CZYM and na CZYM positions.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12.1–2.12.2, pp. 68–70","2026-08-20","WSJP states that optional connoted positions may be omitted but follow closely from the lexical meaning; CZYM denotes Instrumental.","A","Walenty could not be inspected at lemma level, so the unexpected selected-vehicle result lacks independent corroboration and deserves reviewer attention.","none","","Vehicle Instrumental is credited only within this exact transport sense and only because it appears in Składnia."
"5","8","jeździć","A2","imperfective","","probably compatible - verify","high","Is any proposed case/preposition expression selected rather than a destination, route, frequency, or vehicle adjunct?","KEEP VERIFIED","compatible with narrowing","strong","repeated or habitual overland travel using transport","selected DOKĄD plus optional source and vehicle positions; direct Instrumental CZYM and na + Locative alternatives","case:Instrumental (vehicle)|preposition-case:na+Locative (vehicle/equipment)|preposition-case:do+Genitive (common DOKĄD realization)","Frequency and ordinary route are adjuncts; no exclusive do + Genitive government is established.","Destination and vehicle positions are connoted in the exact habitual-transport sense; frequency and ordinary route remain adjuncts. Concrete do + Genitive destinations are narrowed realizations of generalized DOKĄD.","Yes. WSJP lists DOKĄD and optional CZYM/na CZYM in Składnia for this exact habitual transport sense. Frequency is only in Połączenia and receives no valency credit.","WSJP-JEZDZ-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, jeździć sense 1 'codziennie'","https://wsjp.pl/haslo/podglad/32696/jezdzic/4647891/codziennie","sense 1; Definicja, Połączenia, Składnia","2026-08-20","Składnia gives optional SKĄD, required DOKĄD, optional CZYM or na CZYM; Połączenia separately shows frequency and vehicle collocations.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12.1–2.12.2, pp. 68–70","2026-08-20","The methodology distinguishes connoted positions from general co-occurrence and explains case/preposition notation.","A","As with jechać, independent lemma-level Walenty corroboration was unavailable; exact pedagogical delimitation of vehicle participant versus manner needs review.","none","","The habitual frequency itself is not a pattern; the selected transport participant is."
"6","9","dojść","A2","perfective","","probably compatible - verify","high","Does contemporary evidence support the abstract result/conclusion do + Genitive frame, separately from literal destination motion?","KEEP VERIFIED","compatible","strong","arriving at a thought, truth, conclusion, or conviction on some basis","do + Genitive in the abstract intellectual-result sense","preposition-case:do+Genitive","Literal walking-to-destination evidence is not used to license the abstract frame; other do-senses remain separate.","Abstract do CZEGO is an exact connoted frame; literal destination and route evidence is excluded from this intellectual-result sense.","Yes. WSJP isolates sense 14, defines an intellectual result, and gives the exact schema dojść + do CZEGO with conclusion/truth nouns.","WSJP-DOJSC-14","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, dojść sense 14 'do prawdy'","https://wsjp.pl/haslo/podglad/11867/dojsc/5100578/do-prawdy","sense 14; Definicja, Połączenia, Składnia","2026-08-20","The entry separates intellectual formulation from literal motion and explicitly specifies do CZEGO.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12.1–2.12.2, pp. 68–70","2026-08-20","Confirms syntax is recorded per sense and that a concrete preposition plus case is an exact syntactic requirement.","A","Lexical range within abstract results must be kept to attested thought/result nouns rather than generalized to every abstract noun.","none","","This is the clearest meaning-specific non-literal motion-family frame in the batch."
"7","10","dojechać","A2","perfective","","probably compatible - verify","high","Is the endpoint expression governed/selective, and is Instrumental vehicle only a free adjunct?","KEEP VERIFIED","compatible with narrowing","strong","reaching an endpoint by travelling in or on transport","optional DOKĄD endpoint plus optional direct Instrumental CZYM or na + Locative vehicle/equipment","case:Instrumental (vehicle)|preposition-case:na+Locative (vehicle/equipment)|preposition-case:do+Genitive (common DOKĄD realization)|preposition-case:na+Accusative (common DOKĄD realization)","No exclusive do + Genitive endpoint government; route and time are adjuncts.","Endpoint DOKĄD and vehicle CZYM/na CZYM are connoted; route and time remain adjuncts. Concrete do/na endpoints are narrowed realizations, not exclusive government.","The endpoint is an optional connoted DOKĄD position. Contrary to the Phase 2 suspicion, WSJP also places CZYM and na CZYM in Składnia, so Instrumental vehicle is not merely a free co-occurrence in this source's analysis.","WSJP-DOJECH-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, dojechać sense 1 'na miejsce'","https://wsjp.pl/haslo/podglad/32149/dojechac/5020238/na-miejsce","sense 1; Definicja, Połączenia, Składnia","2026-08-20","Definition encodes reaching a place by travel; Składnia lists optional DOKĄD with optional CZYM or na CZYM.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12.1–2.12.2, pp. 68–70","2026-08-20","Optional syntax positions are still connoted; DOKĄD is generalized across prepositional realizations and CZYM is Instrumental.","A","The selected-vehicle analysis should receive independent review because it reverses the Phase 2 working suspicion and Walenty was inaccessible.","none","","The architecture can store concrete realizations but cannot express generalized DOKĄD as such."
"8","45","wracać","A1","imperfective","wrócić","probably compatible - verify","high","Does either proposed do/z + Genitive expression qualify as governed for the scoped return meaning rather than goal/source adjunct?","KEEP WITH NARROWING","compatible with narrowing","strong","ongoing or repeated return to a previously occupied place","required DOKĄD return goal and optional SKĄD source; do + Genitive and z + Genitive are documented realizations","preposition-case:do+Genitive (DOKĄD realization)|preposition-case:z+Genitive (SKĄD realization)","Time, manner, and vehicle expressions are adjuncts here; neither do nor z is the only possible realization of the semantic slot.","Return goal DOKĄD and optional source SKĄD are selected semantic positions; time, manner, and vehicle are adjuncts. Concrete do/z forms are narrowed realizations, not exact exclusive government.","Yes, as selected semantic positions rather than exclusive prepositional government: WSJP gives required DOKĄD and optional SKĄD, with do- and z-Genitive forms in Połączenia.","WSJP-WRAC-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, wracać sense 1 'do kraju'","https://wsjp.pl/haslo/podglad/29026/wracac/4998113/do-kraju","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The physical-return sense explicitly selects DOKĄD and optionally SKĄD; collocations document do- and z-Genitive realizations.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12.1–2.12.2, pp. 68–70","2026-08-20","Explains that generalized locative slots are connoted even though no one preposition is required.","A","Later records must label do/z as realizations of goal/source roles, not as exclusive lexical case government.","none","","Independent imperfective evidence exists; its slot value is practical but constructionally duplicates the perfective partner."
"9","46","wrócić","A2","perfective","wracać","probably compatible - verify","high","Does this perfective independently justify a slot and support any governed complement not inherited from wracać?","KEEP WITH NARROWING","compatible with narrowing","moderate","bounded return to a previously occupied place","required DOKĄD return goal and optional SKĄD source; do + Genitive and z + Genitive are documented realizations","preposition-case:do+Genitive (DOKĄD realization)|preposition-case:z+Genitive (SKĄD realization)","No complement unique to the perfective was found; time and manner remain adjuncts and do/z are not exclusive realizations.","Bounded-return goal DOKĄD and optional source SKĄD are independently selected; time and manner are adjuncts. Concrete do/z forms are narrowed realizations, not exact exclusive government.","It has independent exact-lemma evidence for its own bounded-return sense and selected DOKĄD/(SKĄD) schema, but no governed complement distinct from wracać. The separate-slot signal is therefore practical aspect value, not added frame coverage.","WSJP-WROC-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, wrócić sense 1 'do kraju'","https://wsjp.pl/haslo/podglad/37967/wrocic/5124719/do-kraju","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The perfective entry independently defines bounded return and records DOKĄD plus optional SKĄD, with do/z realizations in collocations.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12.1–2.12.2, pp. 68–70","2026-08-20","Confirms aspect entries and sense-level schemas must be read independently and generalized locative slots are not single-preposition government.","A","Opportunity cost remains: the partner adds no new construction and should be compared with verified reserves only after all authorized verification is complete.","none","","KEEP does not settle the later pair-level freeze; no syntax was inherited from wracać."
"10","47","przyjść","A2","perfective","przychodzić","probably compatible - verify","high","Which proposed event/person expressions are governed rather than ordinary arrival destination/time adjuncts?","KEEP WITH NARROWING","compatible with narrowing","strong","arrival at a place; arrival in order to perform or undergo a one-off activity","selected DOKĄD; in the purpose/activity sense, selected infinitive; na + Accusative is documented as an event/activity realization","preposition-case:do+Genitive (place DOKĄD realization)|preposition-case:na+Accusative (event/activity DOKĄD realization)|infinitive","The exact entry does not establish a distinct do + Genitive person frame; time is an adjunct; no exclusive do/na government is claimed.","Activity-purpose DOKĄD and the infinitive are selected; arrival time is an adjunct. Event na and place do are narrowed realizations, while a person-specific do frame remains unverified.","The event na-expression is supported as a DOKĄD realization in the purpose/activity sense, and that sense also explicitly selects an infinitive. The proposed person-specific do frame remains unverified and is removed.","WSJP-PRZYJ-02","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, przyjść sense 2 'na kolację'","https://wsjp.pl/haslo/podglad/18526/przyjsc/4972242/na-kolacje","sense 2; Definicja, Połączenia, Składnia","2026-08-20","The one-off purpose/activity sense lists event/activity na forms and gives DOKĄD plus BEZOKOLICZNIK in Składnia.","WSJP-PRZYJ-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, przyjść sense 1 'do domu'","https://wsjp.pl/haslo/podglad/18526/przyjsc/4972241/do-domu","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The literal arrival sense selects DOKĄD and documents do + Genitive place realizations; it does not by itself establish a special person complement.","A","The event/location boundary must remain meaning-specific; person destinations need separate evidence before authoring.","none","","The selected lemma was verified independently; no evidence was borrowed from reserve partner przychodzić."
