rank,lemma,recommendation,likely_cefr,provisional_key_constructions,likely_case_preposition_value,likely_meanings_range,likely_patterns_range,aspect_reflexive_considerations,exact_infinitive_mentions,repository_evidence,known_uncertainty,everyday_usefulness,a1_b1_relevance,repository_frequency,conversation_reuse,case_preposition_learning_value,learner_error_risk,clear_construction,deterministic_exercise_fit,national_relevance,contemporary_standard_usage,source_corroboration_quality,overlap_duplication_risk,editorial_complexity,meaning_complexity,pattern_complexity,aspect_reflexive_complexity,example_reuse_potential,audio_reuse_potential,audio_complexity,total_score,example_source_opportunity,audio_opportunity,evidence_status
1,chcieć,include,A1,+ infinitive; żeby-clause,infinitive/clause,1-2,2-3,imperfective; consider zechcieć only later,6,a1-first-verbs-003; verbs-modal-verbs-004,Clear modal core; clause boundary needs review,5,5,4,4,5,4,4,3,3,3,2,1,3,2,2,1,3,3,1,38,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
2,móc,include,A1,+ infinitive; permission question,infinitive,1,1-2,imperfective modal; no forced aspect partner,1,a1-first-verbs-004; verbs-modal-verbs-001,Modal/pragmatic meanings must stay selective,5,5,2,4,3,2,3,4,3,3,1,1,4,1,1,3,2,2,1,28,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
3,musieć,include,A1,+ infinitive,infinitive,1,1,imperfective modal,5,a1-first-verbs-005; verbs-modal-verbs-002,Impersonal trzeba is separate,5,5,4,4,3,2,4,4,3,3,2,1,2,1,1,1,3,3,1,38,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
4,robić,include,A1,Accusative object; robić + activity,accusative,2-3,2-4,imperfective; reciprocal link to zrobić only after verification,15,a1-first-verbs-008; verbs-aspect-001,Broad polysemy; avoid exhaustive valency,5,5,5,3,3,2,3,3,3,3,2,1,4,3,3,1,3,3,1,30,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
5,iść,include,A1,do + Genitive; na + Accusative; infinitive purpose only if supported,preposition+genitive/accusative,1-2,2-3,imperfective determinate motion; do not inherit chodzić frames,5,a1-first-verbs-006; verbs-verbs-of-motion-001,Motion-verb contrast adds editorial complexity,5,5,4,4,5,4,3,3,3,3,2,1,4,2,2,3,3,3,1,34,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
6,chodzić,include,A1,do + Genitive; na + Accusative,preposition+genitive/accusative,1-2,2-3,imperfective indeterminate/habitual; separate from iść,6,verbs-verbs-of-motion-002; a1-free-time-014,Motion semantics must be learner-scoped,5,5,4,3,5,4,4,3,3,3,2,2,2,2,2,3,3,3,1,35,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
7,jechać,include,A1,do + Genitive; Instrumental vehicle,preposition+genitive; instrumental,1-2,2-3,imperfective determinate motion; separate from jeździć,10,a1-first-verbs-007; verbs-verbs-of-motion-003,Vehicle phrase can be adjunct rather than governed slot,5,5,5,4,5,4,4,3,3,3,2,2,3,2,2,3,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
8,jeździć,include,A2,do + Genitive; Instrumental vehicle,preposition+genitive; instrumental,1-2,2-3,imperfective indeterminate/habitual,6,verbs-verbs-of-motion-004; a2-ecology-025,Do not overstate adjuncts as lexical complements,5,4,4,3,5,4,4,3,3,3,2,1,3,2,2,1,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
9,dojść,include,A2,do + Genitive; dojść do + result/conclusion,preposition+genitive,2,2-3,perfective prefixed motion; process partner dochodzić may be separate,23,a1-directions-014; verbs-motion-prefixes-005,Literal destination and abstract result need separate meanings,5,4,5,3,5,4,4,3,3,3,2,1,2,2,2,3,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
10,dojechać,include,A2,do + Genitive; Instrumental vehicle,preposition+genitive; instrumental,1,1-2,perfective; possible partner dojeżdżać requires separate lemma decision,13,a2-directions-orientation-001; scenarios-city-transport,Vehicle is likely optional adjunct,5,4,5,4,5,4,4,4,3,3,2,1,3,1,1,3,3,3,1,39,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
11,rozumieć,include,A1,Accusative content/person; clause,accusative/clause,1-2,1-3,imperfective,3,a1-first-verbs-010; verbs-present-tense,Clause type needs verification,5,5,3,4,5,4,4,3,3,3,2,1,3,2,2,1,3,3,1,37,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
12,wiedzieć,include,A1,że/czy/interrogative clause,clause,1,2-3,imperfective state verb,9,a1-first-verbs-011; verbs-present-tense-007,Several clause kinds should not be collapsed,5,5,4,4,5,4,3,3,3,3,2,1,4,1,2,1,3,3,1,37,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
13,jeść,include,A1,Accusative object; Genitive under negation is grammar-owned,accusative,1,1,imperfective; zjeść separate,9,a1-first-verbs-013; verbs-aspect-005,Avoid encoding ordinary negation alternation as lexical frame,5,5,4,4,3,2,4,4,3,3,2,1,2,1,1,3,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
14,pić,include,A1,Accusative object,accusative,1,1,imperfective; wypić separate,3,a1-first-verbs-014,Low structural novelty but very high usefulness,5,5,3,4,3,2,4,4,3,3,2,1,2,1,1,3,3,3,1,35,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
15,kupować,include,A1,Accusative goods; dla + Genitive beneficiary,accusative; preposition+genitive,1-2,1-2,imperfective; reciprocal link to kupić only after review,7,a1-first-verbs-015; a2-ecology-021,Beneficiary may be adjunct,5,5,4,4,5,4,4,4,3,3,2,1,3,2,1,1,3,3,1,40,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
16,kupić,include,A1,Accusative goods; Dative recipient in give/buy-for contexts only if supported,accusative/dative,1-2,1-2,perfective; separate from kupować,11,grammar-cases-dative-013; a2-food-shopping-004,Aspect partner patterns cannot be inherited,5,5,5,4,5,4,4,4,3,3,2,2,2,2,1,3,3,3,1,39,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
17,mieszkać,include,A1,w + Locative; z + Instrumental co-resident,preposition+locative/instrumental,1-2,1-2,imperfective,5,a1-first-verbs-016; verbs-present-tense-001,Co-resident relation needs corroboration,5,5,4,4,5,4,4,4,3,3,2,1,3,2,1,1,3,3,1,40,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
18,pracować,include,A1,w + Locative; jako + Nominative; nad + Instrumental,preposition+locative/instrumental,2,2-4,imperfective,5,a1-first-verbs-017; verbs-future-tense-002,Work-location adjunct versus selected frame,5,5,4,3,5,4,4,3,3,3,2,1,3,2,3,1,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
19,kochać,include,A1,Accusative person/thing,accusative,1,1,imperfective,5,a1-first-verbs-019; grammar-cases-accusative-007,Low construction novelty but useful contrast,5,5,4,4,3,2,4,4,3,3,2,1,2,1,1,1,3,3,1,38,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
