"verification_order","lemma","phase3_disposition","phase3_representation_fit","evidence_strength","independent_slot_signal","aspect_partner","double_selected_pair","normalized_pair_recommendation","narrowing_summary","authoring_constraint","product_redundancy_summary","human_freeze_recommendation","human_freeze_rationale","reserve_gate_needed","notes"
"1","pracować","KEEP WITH NARROWING","compatible with narrowing","A","strong","","no","not applicable","The model-fit concern resolves to the exact production-sense nad + Instrumental construction; occupational jako and workplace location do not survive.","Author only the production sense with nad + Instrumental. Do not encode jako + Nominative or ordinary workplace GDZIE as a verb pattern.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 1; no reserve evidence or final freeze is implied."
"2","iść","KEEP VERIFIED","compatible with narrowing","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","The locked product can encode individual do/na realizations but not the generalized DOKĄD alternation as one abstract slot; later authoring must avoid implying exclusive government.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 1; no reserve evidence or final freeze is implied."
"3","chodzić","KEEP VERIFIED","compatible with narrowing","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","The semantic boundary between event attendance na CO and a spatial na-destination must be enforced during later sense selection.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 1; no reserve evidence or final freeze is implied."
"4","jechać","KEEP VERIFIED","compatible with narrowing","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Walenty could not be inspected at lemma level, so the unexpected selected-vehicle result lacks independent corroboration and deserves reviewer attention.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 1; no reserve evidence or final freeze is implied."
"5","jeździć","KEEP VERIFIED","compatible with narrowing","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","As with jechać, independent lemma-level Walenty corroboration was unavailable; exact pedagogical delimitation of vehicle participant versus manner needs review.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 1; no reserve evidence or final freeze is implied."
"6","dojść","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Lexical range within abstract results must be kept to attested thought/result nouns rather than generalized to every abstract noun.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 1; no reserve evidence or final freeze is implied."
"7","dojechać","KEEP VERIFIED","compatible with narrowing","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","The selected-vehicle analysis should receive independent review because it reverses the Phase 2 working suspicion and Walenty was inaccessible.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 1; no reserve evidence or final freeze is implied."
"8","wracać","KEEP WITH NARROWING","compatible with narrowing","A","strong","wrócić","yes","RETAIN BOTH - BORDERLINE","WSJP selects generalized DOKĄD plus optional SKĄD; do + Genitive and z + Genitive survive only as documented concrete realizations.","Label do/z forms as goal/source realizations, never as exclusive government; keep the imperfective evidence independent from wrócić.","RETAIN BOTH - BORDERLINE — Both exact lemmas independently select the same generalized return goal/source roles; the aspect contrast is practical, but neither adds a unique construction and the family sits inside an already large motion block.","RETAIN - BORDERLINE OPPORTUNITY COST","Both exact lemmas independently select the same generalized return goal/source roles; the aspect contrast is practical, but neither adds a unique construction and the family sits inside an already large motion block. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 1."
"9","wrócić","KEEP WITH NARROWING","compatible with narrowing","A","moderate","wracać","yes","RETAIN BOTH - BORDERLINE","The perfective independently selects the same generalized return roles; do + Genitive and z + Genitive are realizations and no unique perfective construction was found.","Label do/z as realizations, preserve the moderate independent-slot signal, and do not inherit syntax from wracać.","RETAIN BOTH - BORDERLINE — Both exact lemmas independently select the same generalized return goal/source roles; the aspect contrast is practical, but neither adds a unique construction and the family sits inside an already large motion block.","RETAIN - BORDERLINE OPPORTUNITY COST","Both exact lemmas independently select the same generalized return goal/source roles; the aspect contrast is practical, but neither adds a unique construction and the family sits inside an already large motion block. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 1."
"10","przyjść","KEEP WITH NARROWING","compatible with narrowing","A","strong","przychodzić","no","not applicable","The activity-purpose sense retains event/activity na + Accusative and an infinitive, with place do + Genitive only as a DOKĄD realization; the proposed person-specific do frame does not survive.","Keep event/activity and place readings sense-specific; label concrete destinations as realizations and do not author an unverified person-target do frame.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 1; no reserve evidence or final freeze is implied."
