reviewId,lemmaId,lemma,lemmaAspect,lemmaReflexive,meaningId,meaningKey,meaningGlossesEn,meaningInternalScope,patternId,patternKey,relationType,complements,cefrRecognition,cefrProduction,teachingStatus,usagePriority,usageRegister,activityEligibility,learnerExplanationEn,errorNotes,examplePl,exampleEn,exampleId,exampleKey,exampleOrigin,evidenceSources,evidenceNotes,reviewState,releaseMode,contentRefs,siblingPatterns
P7-NR-001,vp-l-szukac-0daf5e6b5693,szukać,imperfective,false,vp-m-szukac-seek-35b07b1cceb1,seek,look for; search for,Trying to find a person or thing one wants or has lost. Excludes the result-focused znaleźć and the idiom szukać dziury w całym.,vp-p-szukac-seek-genitive-target-71dc6eff512c,genitive-target,lexical-frame,"genitive (target, required)",A1,A1,active-production,core,neutral,,With this meaning szukać takes a Genitive object: ask kogo? czego?,"predicted-distractor: szukam kawiarnię -> Szukać takes the Genitive, not the Accusative: szukam kawiarni.",Szukam dobrej kawiarni.,I am looking for a good café.,vp-e-szukac-seek-genitive-target-looking-for-cafe-efdccf7a5ba6,looking-for-cafe,repository-reuse:card:a1-first-verbs-020.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/13247/szukac/5088714 (sense 'zaginionego') - Skladnia | medak-2011-headword-index/lemma: headword index entry 684 | repository/complement-frame: data-grammar.js#grammar-cases-genitive-014,"Contemporary Skladnia gives the direct KOGO/CZEGO (Genitive) frame as primary; accusative and za+instrumental variants are flagged as questionable. | Listed form for szukać; headword-inventory presence only, no detailed entry exposed in the demo. | Existing Genitive build drill teaches szukac + Genitive explicitly.",reference-verified,solo-maintainer-reference-backed,card:a1-first-verbs-020(support) | drill:grammar-cases-genitive-014(practice) | topic:grammar-cases-genitive(support),
P7-NR-002,vp-l-pomagac-54633912de9a,pomagać,imperfective,false,vp-m-pomagac-assist-a4c05bbfc25c,assist,help; assist,Making it easier for a person to do something or to get out of difficulty. The person helped is the core participant.,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,dative-recipient,lexical-frame,"dative (recipient, required)",A1,A1,active-production,core,neutral,,The person you help goes in the Dative after pomagać: ask komu? czemu?,"predicted-distractor: pomagam mamę -> The person helped is Dative, not Accusative: pomagam mamie.",,,,,,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/25622/pomagac/2729386 (sense 'w nauce') - Skladnia | medak-2011-headword-index/lemma: headword index entry 440 | repository/complement-frame: data-grammar.js#grammar-cases-dative-003,"Skladnia pairs KOMU with a second slot, but Polaczenia realises the bare Dative recipient as its own collocation class of persons and groups helped, and the definition names the participant as komus. | Listed form for pomagać; headword-inventory presence only, no detailed entry exposed in the demo. | Existing Dative choose drill uses pomagac with a Dative person.",reference-verified,solo-maintainer-reference-backed,card:a1-first-verbs-022(support) | drill:grammar-cases-dative-003(practice) | topic:grammar-cases-dative(support),"P7-NR-003 [assist] dative-recipient-w-locative-area (dative (recipient, required); w + locative (topic, required)) active-production"
P7-NR-003,vp-l-pomagac-54633912de9a,pomagać,imperfective,false,vp-m-pomagac-assist-a4c05bbfc25c,assist,help; assist,Making it easier for a person to do something or to get out of difficulty. The person helped is the core participant.,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,dative-recipient-w-locative-area,lexical-frame,"dative (recipient, required); w + locative (topic, required)",A2,A2,active-production,common,neutral,,"To say what you help with, add w + Locative: pomagać komuś w czymś.",,,,,,,"wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/25622/pomagac/2729386 (sense 'w nauce') - Skladnia, KOMU + w CZYM frame | repository/complement-frame: data-grammar.js#grammar-cases-dative-003",Existing drill sentence combines a Dative person with a w + Locative area.,reference-verified,solo-maintainer-reference-backed,drill:grammar-cases-dative-003(practice) | topic:grammar-cases-locative(support),"P7-NR-002 [assist] dative-recipient (dative (recipient, required)) active-production"
P7-NR-004,vp-l-sluchac-301b09233922,słuchać,imperfective,false,vp-m-sluchac-listen-to-d981b432efa8,listen-to,listen to,"Deliberately attending to sound: music, radio, a podcast, a person speaking. Not the obedience sense.",vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,genitive-target,lexical-frame,"genitive (target, required)",A1,A1,active-production,core,neutral,,What you listen to goes in the Genitive after słuchać: ask kogo? czego?,predicted-distractor: słucham muzykę -> Słuchać takes the Genitive: słucham muzyki.,Słucham muzyki w drodze do pracy.,I listen to music on the way to work.,vp-e-sluchac-listen-to-genitive-target-music-on-the-way-ecf258289d6e,music-on-the-way,repository-reuse:card:a1-free-time-005.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/33318/sluchac/3873654 (sense 'muzyki') - Skladnia | medak-2011-headword-index/lemma: headword index entry 643 | repository/complement-frame: data-a1.js#a1-free-time-005,"Contemporary Skladnia gives the direct KOGO/CZEGO Genitive frame. | Listed form for słuchać; headword-inventory presence only, no detailed entry exposed in the demo. | Existing A1 card teaches the collocation with a Genitive object.",reference-verified,solo-maintainer-reference-backed,card:a1-free-time-005(support) | topic:grammar-cases-genitive(support),"P7-NR-005 [obey] genitive-object (genitive (object, required)) recognition-only"
P7-NR-005,vp-l-sluchac-301b09233922,słuchać,imperfective,false,vp-m-sluchac-obey-eb23d8503e9a,obey,obey; do as one is told,Following a person's instruction or advice. Same Genitive government as the perception sense but different truth conditions and participants.,vp-p-sluchac-obey-genitive-object-674adae2dec3,genitive-object,lexical-frame,"genitive (object, required)",B1,,recognition-only,common,neutral,,In the obey sense słuchać still takes the Genitive: dziecko słucha mamy.,,,,,,,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/33318/sluchac/3873655 (sense 'rozkazow') - Skladnia | repository/contrast: data-b1.js#b1-character-emotions-003,"Contemporary Skladnia lists the same KOGO/CZEGO frame under a separately numbered obedience sense. | Existing B1 card uses the obedience sense intransitively, without a complement.",reference-verified,solo-maintainer-reference-backed,card:b1-character-emotions-003(contrast),"P7-NR-004 [listen-to] genitive-target (genitive (target, required)) active-production"
P7-NR-006,vp-l-czekac-c6c3d0da2caa,czekać,imperfective,false,vp-m-czekac-wait-for-bfb4d11f9655,wait-for,wait for,Staying in place or in time until a person arrives or an event happens.,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,na-accusative-target,lexical-frame,"na + accusative (target, required)",A1,A1,active-production,core,neutral,,Use na + Accusative for what you are waiting for: ask na kogo? na co?,predicted-distractor: czekam autobus -> Czekać needs the preposition na with the Accusative: czekam na autobus.,Czekam na autobus.,I am waiting for the bus.,vp-e-czekac-wait-for-na-accusative-target-waiting-for-bus-c7204269b040,waiting-for-bus,repository-reuse:card:a1-first-verbs-021.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/25838/czekac/5099645 (sense 'na autobus') - Skladnia | medak-2011-detailed-entry/complement-frame: detailed sample entry 46 | repository/complement-frame: data-a1.js#a1-first-verbs-021,"Contemporary Skladnia lists only the na + Accusative nominal frame, parenthesised as an omissible slot, plus az and zeby clause frames. | 2011 detailed entry lists both na co?/na kogo? and a bare czego? Genitive frame; the Genitive frame is absent from the contemporary reference and is not authored here. | Existing A1 verb card teaches na + Accusative.",reference-verified,solo-maintainer-reference-backed,card:a1-first-verbs-021(support) | drill:building-sentences-relative-clauses-008(practice) | topic:grammar-cases-accusative(support),
P7-NR-007,vp-l-potrzebowac-8b78ee8b092d,potrzebować,imperfective,false,vp-m-potrzebowac-need-1112b46d1be1,need,need,"Requiring a thing or person that the situation makes necessary. Excludes the modal 'have to' use, which is marginal in contemporary neutral Polish.",vp-p-potrzebowac-need-genitive-object-437fafad17d2,genitive-object,lexical-frame,"genitive (object, required)",A1,A2,active-production,core,neutral,,What you need goes in the Genitive after potrzebować: ask kogo? czego?,predicted-distractor: potrzebuję zaświadczenie -> Potrzebować takes the Genitive: potrzebuję zaświadczenia.,Potrzebuję zaświadczenia z pracy.,I need a certificate from work.,vp-e-potrzebowac-need-genitive-object-certificate-from-work-9bb3306bf0ee,certificate-from-work,repository-reuse:card:a2-official-matters-019.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/38673/potrzebowac/4499711 (sense 'przyjaciol') - Skladnia | medak-2011-headword-index/lemma: headword index entry 461 | repository/complement-frame: data-a2.js#a2-official-matters-019,"Contemporary Skladnia gives the direct CZEGO Genitive frame; the infinitive frame is listed separately. | Listed form for potrzebować; headword-inventory presence only, no detailed entry exposed in the demo. | Existing A2 official-matters card uses a Genitive object.",reference-verified,solo-maintainer-reference-backed,card:a2-pharmacy-002(support) | drill:people-numbers-comparison-003(practice) | topic:grammar-cases-genitive(support),
P7-NR-008,vp-l-uczyc-sie-a01d00cb7f2f,uczyć się,imperfective,true,vp-m-uczyc-sie-study-bd96ff26cc60,study,learn; study,Acquiring knowledge or a skill oneself. The lexical się belongs to the verb: uczyć (teach someone) is a different lemma.,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,genitive-subject-matter,lexical-frame,"genitive (content, required)",A1,A2,active-production,core,neutral,,The subject you study goes in the Genitive after uczyć się: uczę się polskiego.,"predicted-distractor: uczę się polski -> Use the Genitive: uczę się polskiego. | predicted-distractor: uczę polskiego -> Keep się: uczyć się is learning, uczyć is teaching someone else.",Uczę się polskiego od roku.,I have been learning Polish for a year.,vp-e-uczyc-sie-study-genitive-subject-matter-polish-for-a-year-180cd560a0ec,polish-for-a-year,repository-reuse:card:a1-about-me-004.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/16905/uczyc-sie/4762109 - Skladnia | medak-2011-headword-index/lemma: headword index entry 718 | repository/complement-frame: data-a1.js#a1-about-me-004,"Contemporary Skladnia gives CZEGO as the core frame, with separate infinitive, o+locative, od/u and do frames. | Listed form for uczyć się; headword-inventory presence only, no detailed entry exposed in the demo. | Existing A1 card teaches the Genitive subject-matter frame.",reference-verified,solo-maintainer-reference-backed,card:a2-work-education-007(support) | drill:verbs-reflexive-005(practice) | topic:verbs-reflexive(support),"P7-NR-009 [study] infinitive-skill (infinitive (content, required)) active-production"
P7-NR-009,vp-l-uczyc-sie-a01d00cb7f2f,uczyć się,imperfective,true,vp-m-uczyc-sie-study-bd96ff26cc60,study,learn; study,Acquiring knowledge or a skill oneself. The lexical się belongs to the verb: uczyć (teach someone) is a different lemma.,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,infinitive-skill,lexical-frame,"infinitive (content, required)",A2,B1,active-production,common,neutral,,"To name a skill you are learning, use an infinitive: uczę się gotować.",,Uczę się grać na gitarze.,I am learning to play the guitar.,vp-e-uczyc-sie-study-infinitive-skill-learning-guitar-fc75e418733b,learning-guitar,repository-reuse:card:a1-free-time-007.ex,"wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/16905/uczyc-sie/4762109 - Skladnia, BEZOKOLICZNIK frame | repository/complement-frame: data-a1.js#a1-free-time-007",Existing A1 card already uses the infinitive frame.,reference-verified,solo-maintainer-reference-backed,card:a1-free-time-007(support),"P7-NR-008 [study] genitive-subject-matter (genitive (content, required)) active-production"
P7-NR-010,vp-l-dziekowac-8e4ca359cb86,dziękować,imperfective,false,vp-m-dziekowac-thank-f19a15334790,thank,thank,"Expressing gratitude. The reason is za + Accusative; the person thanked, when named, is Dative.",vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,za-accusative-reason,lexical-frame,"za + accusative (topic, required)",A1,A1,active-production,core,neutral,,Use za + Accusative for what you are thanking for: dziękuję za pomoc.,,Dziękuję za pomoc.,Thank you for your help.,vp-e-dziekowac-thank-za-accusative-reason-thanks-for-help-edd6c7bb9169,thanks-for-help,repository-reuse:card:a1-first-phrases-006.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/22696/dziekowac - Skladnia | medak-2011-headword-index/lemma: headword index entry 113 | repository/complement-frame: data-a1.js#a1-first-phrases-006,"Skladnia pairs za CO with KOMU, but the sense definition realises za cos with no recipient and Polaczenia lists a separate za-CO collocation class of things thanked for. | Listed form for dziękować; headword-inventory presence only, no detailed entry exposed in the demo. | Existing A1 phrase card teaches za + Accusative without a named recipient.",reference-verified,solo-maintainer-reference-backed,card:a1-first-phrases-006(support) | topic:grammar-cases-accusative(support),"P7-NR-011 [thank] dative-recipient-za-accusative (dative (recipient, required); za + accusative (topic, required)) active-production"
