reviewId,lemmaId,lemma,meaningId,patternId,relationType,teachingStatus,cefrRecognition,cefrProduction,exampleId,exampleOrigin,d1Verdict,severity,editorialAcceptanceRecommended,meaningFit,patternCorrectness,complementCorrectness,learnerExplanationAssessment,errorNotesAssessment,exampleAssessment,englishAssessment,cefrAssessment,statusAssessment,siblingPatternAssessment,provenanceAssessment,findingId,findingSummary,requiredCanonicalChange,nonblockingNote
P7-NR-001,vp-l-szukac-0daf5e6b5693,szukać,vp-m-szukac-seek-35b07b1cceb1,vp-p-szukac-seek-genitive-target-71dc6eff512c,lexical-frame,active-production,A1,A1,vp-e-szukac-seek-genitive-target-looking-for-cafe-efdccf7a5ba6,repository-reuse:card:a1-first-verbs-020.ex,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,CLEAN - resolves exactly to card a1-first-verbs-020 field ex; locator sense cue noted,P7-D1-001,"WSJP locator carries the sense cue 'zaginionego' (a lost thing), which is narrower than the authored meaning scope and than the canonical cafe example.",,"WSJP locator carries the sense cue 'zaginionego' (a lost thing), which is narrower than the authored meaning scope and than the canonical cafe example. Nonblocking because: Genitive government is invariant across the entry's candidate senses, so nothing linguistic turns on which numbered sense was opened; the cue identifies the locator, it does not describe the taught scope."
P7-NR-002,vp-l-pomagac-54633912de9a,pomagać,vp-m-pomagac-assist-a4c05bbfc25c,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,lexical-frame,active-production,A1,A1,,,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,,,,
P7-NR-003,vp-l-pomagac-54633912de9a,pomagać,vp-m-pomagac-assist-a4c05bbfc25c,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,lexical-frame,active-production,A2,A2,,,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,,,,
P7-NR-004,vp-l-sluchac-301b09233922,słuchać,vp-m-sluchac-listen-to-d981b432efa8,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,lexical-frame,active-production,A1,A1,vp-e-sluchac-listen-to-genitive-target-music-on-the-way-ecf258289d6e,repository-reuse:card:a1-free-time-005.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-005,vp-l-sluchac-301b09233922,słuchać,vp-m-sluchac-obey-eb23d8503e9a,vp-p-sluchac-obey-genitive-object-674adae2dec3,lexical-frame,recognition-only,B1,,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,ABSENT - outside the locked 13-row example scope; B3B directive outstanding,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,P7-D1-002,No canonical example yet. The Phase 4F-B3B directive that this row's example be affirmative and case-transparent is still outstanding.,,"No canonical example yet. The Phase 4F-B3B directive that this row's example be affirmative and case-transparent is still outstanding. Nonblocking because: The corrected learnerExplanationEn already satisfies the directive ('dziecko slucha mamy' is affirmative, and Genitive mamy is distinct from Accusative mame), so the taught model is complete without the example; the example corpus was deliberately scoped to 13 rows by Phase 4F-C1C."
P7-NR-006,vp-l-czekac-c6c3d0da2caa,czekać,vp-m-czekac-wait-for-bfb4d11f9655,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,lexical-frame,active-production,A1,A1,vp-e-czekac-wait-for-na-accusative-target-waiting-for-bus-c7204269b040,repository-reuse:card:a1-first-verbs-021.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-007,vp-l-potrzebowac-8b78ee8b092d,potrzebować,vp-m-potrzebowac-need-1112b46d1be1,vp-p-potrzebowac-need-genitive-object-437fafad17d2,lexical-frame,active-production,A1,A2,vp-e-potrzebowac-need-genitive-object-certificate-from-work-9bb3306bf0ee,repository-reuse:card:a2-official-matters-019.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT AND COUPLED - zaswiadczenie/zaswiadczenia matches the retained example exactly,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-008,vp-l-uczyc-sie-a01d00cb7f2f,uczyć się,vp-m-uczyc-sie-study-bd96ff26cc60,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,lexical-frame,active-production,A1,A2,vp-e-uczyc-sie-study-genitive-subject-matter-polish-for-a-year-180cd560a0ec,repository-reuse:card:a1-about-me-004.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-009,vp-l-uczyc-sie-a01d00cb7f2f,uczyć się,vp-m-uczyc-sie-study-bd96ff26cc60,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,lexical-frame,active-production,A2,B1,vp-e-uczyc-sie-study-infinitive-skill-learning-guitar-fc75e418733b,repository-reuse:card:a1-free-time-007.ex,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,COHERENT BUT ASYMMETRIC - A2/B1 against sibling 008 A1/A2; justified by governing verb,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",P7-D1-003,"CEFR A2/B1 sits a full band above the Genitive sibling P7-NR-008 (A1/A2), and the reused example comes from an A1 card.",,"CEFR A2/B1 sits a full band above the Genitive sibling P7-NR-008 (A1/A2), and the reused example comes from an A1 card. Nonblocking because: Adjudicated in Phase 4F-B3A: the asymmetry is justified by the governing verb rather than the complement type, because uczyc sie + infinitive must first be separated from uczyc sie + Genitive. Both placements can be right and no CEFR change is proposed."
P7-NR-010,vp-l-dziekowac-8e4ca359cb86,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,lexical-frame,active-production,A1,A1,vp-e-dziekowac-thank-za-accusative-reason-thanks-for-help-edd6c7bb9169,repository-reuse:card:a1-first-phrases-006.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",,,,
