app_lemma,scope,surface_sie_form,card_count,card_ids,levels,standalone_card_count,phrase_card_count,repository_pair_lemmas,direct_match_basis,direct_source_entry_numbers,linked_repository_forms,linked_source_entry_numbers,opposite_reflexivity_collision_entry_numbers,review_flags,method_note,rights_note
bać się,core-A1-B1,true,1,b1-character-emotions-010,B1,1,0,bać się,source-entry-string-after-conservative-normalization,5,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
biegać,core-A1-B1,false,2,a1-free-time-013;a2-leisure-culture-008,A1;A2,2,0,biegać,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
brać,core-A1-B1,false,2,a1-morning-routine-005;a2-ecology-020,A1;A2,0,2,brać;wziąć,source-entry-string-after-conservative-normalization,15,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
budzić się,core-A1-B1,true,1,a1-morning-routine-002,A1,1,0,budzić się;obudzić się,source-entry-string-after-conservative-normalization,24,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
być,core-A1-B1,false,5,a1-first-verbs-001;a2-appearance-clothes-002;b1-character-emotions-012;b1-idioms-012;podcasts-meaning-of-life-011,A1;A2;B1;Podcasts,1,4,,source-entry-string-after-conservative-normalization,25,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
chcieć,core-A1-B1,false,1,a1-first-verbs-003,A1,1,0,chcieć;zechcieć,source-entry-string-after-conservative-normalization,30,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
chorować,core-A1-B1,false,1,a2-health-body-027,A2,1,0,chorować;zachorować,source-entry-string-after-conservative-normalization,32,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
chrzanić,core-A1-B1,false,1,b1-swearing-011,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
cieszyć się,core-A1-B1,true,1,b1-character-emotions-011,B1,1,0,cieszyć się;ucieszyć się,source-entry-string-after-conservative-normalization,45,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
czaić,core-A1-B1,false,1,b1-everyday-slang-017,B1,1,0,czaić;zaczaić,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
czekać,core-A1-B1,false,1,a1-first-verbs-021,A1,1,0,czekać;poczekać,source-entry-string-after-conservative-normalization,46,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
