"url","source_file","surface_type","title","main_heading","description","purpose","audience","call_to_action","public_claims","trust_signals","internal_links","crawlable","canonical","in_sitemap","robots_meta","og_complete","twitter_image","og_dimensions","structured_data","offline_precached","inconsistencies","required_live_checks"
"https://popolsku.app/","index.html","root application","Po polsku - learn the Polish you'll actually use","Learn the Polish you'll actually use.","Polish flashcards with Polish pronunciation audio - everyday vocabulary, useful grammar, conversation practice, and phrases from real podcasts.","The learning product: topic browser and all learning activities","Adults A1-B1 (not stated in copy)","Topic list (implicit)","C-001;C-004;C-005;C-006;C-007","Completely free badge;No account needed badge;CSP same-origin;self-hosted fonts","guide/;guide/listening/;#about;#privacy;#contact;#install","yes","https://popolsku.app/","yes","","yes","yes","yes","WebApplication","yes","Positioning absent (no Poland/A1-B1); noscript says 'grammar & vocabulary guide'; unused .foot-guides CSS; footer has no links","Rendered crawler view; hero layout at 320px"
"https://popolsku.app/#about","index.html","in-app screen","(app title)","About","(inherits root)","Founder story and product summary","Existing visitor","none","C-002;C-011;C-012;C-013;C-014","Founder story;continuous review claim","","no (client-side screen)","https://popolsku.app/","no (fragment)","","inherits","inherits","inherits","inherits","yes","C-011 quality sentence has undocumented scope and is open to a broader reading than intended (names no person, asserts no endorsement); omits confidence/independence/participation","Requires live-browser verification of screen rendering"
"https://popolsku.app/#privacy","index.html","in-app screen","(app title)","Privacy - your data stays yours","(inherits root)","Privacy disclosure, backup and restore","Existing visitor","Back up my progress / Restore","C-009;C-010;C-015;C-016;C-017;C-018;C-019","No analytics;local storage;backup control","#install","no (client-side screen)","https://popolsku.app/","no (fragment)","","inherits","inherits","inherits","inherits","yes","'pre-recorded audio' (C-009) is ambiguous about provenance and drifts from approved terminology; Cloudflare unverified; cache footprint and outbound links undisclosed","Requires live-browser verification of screen rendering"
"https://popolsku.app/#contact","index.html","in-app screen","(app title)","Contact","(inherits root)","Contact and collaboration enquiries","Existing visitor","mailto:hello@popolsku.app","","Direct founder email","","no (client-side screen)","https://popolsku.app/","no (fragment)","","inherits","inherits","inherits","inherits","yes","Addresses collaborators not learners; no correction route; no guidance","Requires live-browser verification of screen rendering"
"https://popolsku.app/#install","index.html","in-app screen","(app title)","Install","(inherits root)","PWA installation instructions","Existing visitor","Install now / manual steps","C-005;C-006","No app store, no account","","no (client-side screen)","https://popolsku.app/","no (fragment)","","inherits","inherits","inherits","inherits","yes","Offline claim unqualified (C-005); iOS/Android only","Requires live-browser verification of screen rendering"
"https://popolsku.app/guide/","guide/index.html","Explore more Polish hub","Polish guide - grammar, slang and idioms explained simply | Po polsku","Polish, explained simply","Free Polish for learners: all seven cases, formal address, adjectives - plus real slang, idioms and proverbs. Tables, usage notes, and examples with Polish pronunciation audio.","Directory of all generated learning pages","Learners exploring beyond the app","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","many","yes","https://popolsku.app/guide/","yes","","yes","no","no","CollectionPage","no","Three names for one destination (menu 'Explore more Polish', title 'Polish guide', H1 'Polish, explained simply'); breadcrumb says Guide; does not explain how the app works, activities, audio, offline, or where to begin","Requires live-browser verification of social card rendering"
"https://popolsku.app/guide/listening/","guide/listening/index.html","What else I listen to","Polish podcasts worth listening to | Po polsku","What else I listen to","Three Polish listening resources that actually helped - from learner-friendly input to natural Polish at full speed. Honest notes on what&#x27;s free, what isn&#x27;t, and what level each works best for.","Personal listening recommendations","Learners seeking listening input","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/guide/listening/","yes","","yes","no","no","Article","no","Breadcrumb says 'What I listen to' and 'Guide'; disclosure covers 2 of 4 required points; outbound links lack noreferrer; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/","grammar/index.html","redirect stub","Po polsku guide","","","Redirects legacy section index to /guide/","(crawlers/legacy links)","Moved to the Po polsku guide","","","/guide/","no (noindex)","https://popolsku.app/guide/","no","noindex","no","no","no","","no","Stale 'Po polsku guide' wording in title and link text; meta-refresh not 301","Requires live-browser verification of redirect status"
"https://popolsku.app/grammar/pan-i-pani-formal-address/","grammar/pan-i-pani-formal-address/index.html","generated grammar page","Pan i Pani (Formal address) - Polish grammar explained | Po polsku","Pan i Pani (Formal address)","When to use pan/pani instead of ty - and the third-person rule that trips everyone up. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/pan-i-pani-formal-address/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/biernik-accusative/","grammar/biernik-accusative/index.html","generated grammar page","Biernik (Accusative) - Polish grammar explained | Po polsku","Biernik (Accusative)","The direct object case: what you eat, buy, love, see. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/biernik-accusative/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
