lemma_id,lemma,reflexive,aspect,aspect_partner_ids,meaning_id,meaning_glosses_en,pattern_id,relation_type,complements_json,complement_types,cases,prepositions,cefr_recognition,cefr_production,teaching_status,example_id,example_pl,example_en,example_origin,origin_repository_ref,content_refs_json,error_notes_json,review_state,release_mode,review_event_chain,activity_eligibility,audio_eligible
vp-l-bac-sie-0fcafe1aef9f,bać się,true,imperfective,,vp-m-bac-sie-be-afraid-of-60cc08a05be5,be afraid of | fear,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,lexical-frame,"[{""type"":""case"",""case"":""genitive"",""required"":true,""role"":""target""}]",case,genitive,,A2,B1,active-production,vp-e-bac-sie-be-afraid-of-genitive-stimulus-spiders-and-flying-05ebb1adaeeb,Boję się pająków i latania samolotem.,I am afraid of spiders and of flying.,repository-reuse,card:b1-character-emotions-010:ex,"[{""kind"":""card"",""id"":""b1-character-emotions-010"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-genitive"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""boję się pająki"",""guidanceEn"":""Bać się takes the Genitive: boję się pająków (I'm afraid of spiders).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-bac-sie-0fcafe1aef9f,bać się,true,imperfective,,vp-m-bac-sie-worry-about-3a50faed54bf,worry about | fear for,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""o"",""case"":""accusative"",""required"":true,""role"":""topic""}]",preposition-case,accusative,o,B1,,recognition-only,vp-e-bac-sie-worry-about-o-accusative-concern-worried-about-grandad-6d3fcb1cfed8,"Boimy się o dziadka, bo mieszka sam.",We're worried about our grandad because he lives alone.,editorial-generated,,"[{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-byc-8deae1e7376a,być,false,imperfective,,vp-m-byc-predicate-role-93c209d5654b,"be (a role, profession or category)",vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,constructional-frame,"[{""type"":""case"",""case"":""instrumental"",""required"":true,""role"":""predicate""}]",case,instrumental,,A1,A2,active-production,vp-e-byc-predicate-role-instrumental-predicate-first-year-student-181cc5a0b335,Jestem studentem pierwszego roku.,I am a first-year student.,repository-reuse,card:a2-work-education-016:ex,"[{""kind"":""card"",""id"":""a1-about-me-026"",""purpose"":""support""},{""kind"":""drill"",""id"":""grammar-cases-instrumental-003"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-nominative"",""purpose"":""contrast""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""jestem student"",""guidanceEn"":""After być a role or profession takes the Instrumental: jestem studentem (I'm a student).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-czekac-c6c3d0da2caa,czekać,false,imperfective,,vp-m-czekac-wait-for-bfb4d11f9655,wait for,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""na"",""case"":""accusative"",""required"":true,""role"":""target""}]",preposition-case,accusative,na,A1,A1,active-production,vp-e-czekac-wait-for-na-accusative-target-waiting-for-bus-c7204269b040,Czekam na autobus.,I am waiting for the bus.,repository-reuse,card:a1-first-verbs-021:ex,"[{""kind"":""card"",""id"":""a1-first-verbs-021"",""purpose"":""support""},{""kind"":""drill"",""id"":""building-sentences-relative-clauses-008"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""czekam autobus"",""guidanceEn"":""Czekać needs the preposition na with the Accusative: czekam na autobus (I'm waiting for the bus).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-dbac-15ed83f8434d,dbać,false,imperfective,,vp-m-dbac-take-care-of-2b403d3e1b49,take care of | look after,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""o"",""case"":""accusative"",""required"":true,""role"":""target""}]",preposition-case,accusative,o,B1,B1,active-production,vp-e-dbac-take-care-of-o-accusative-target-care-every-day-171833c3174d,Codziennie dbam o kondycję.,I work on my fitness every day.,editorial-generated,,"[{""kind"":""card"",""id"":""b1-healthy-lifestyle-012"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-dziekowac-8e4ca359cb86,dziękować,false,imperfective,,vp-m-dziekowac-thank-f19a15334790,thank,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,lexical-frame,"[{""type"":""case"",""case"":""dative"",""required"":true,""role"":""recipient""},{""type"":""preposition-case"",""preposition"":""za"",""case"":""accusative"",""required"":true,""role"":""topic""}]",case|preposition-case,dative|accusative,|za,A2,B1,active-production,vp-e-dziekowac-thank-dative-recipient-za-accusative-thanks-for-cooperation-92656ebcc371,Dziękuję siostrze za kolację.,I thank my sister for dinner.,editorial-generated,,"[{""kind"":""drill"",""id"":""grammar-cases-dative-005"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-dative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""dziękuję mamę za pomoc"",""guidanceEn"":""The person thanked is Dative: dziękuję mamie za pomoc (I thank my mum for the help).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-dziekowac-8e4ca359cb86,dziękować,false,imperfective,,vp-m-dziekowac-thank-f19a15334790,thank,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""za"",""case"":""accusative"",""required"":true,""role"":""topic""}]",preposition-case,accusative,za,A1,A1,active-production,vp-e-dziekowac-thank-za-accusative-reason-thanks-for-help-edd6c7bb9169,Dziękuję za pomoc.,Thank you for your help.,repository-reuse,card:a1-first-phrases-006:ex,"[{""kind"":""card"",""id"":""a1-first-phrases-006"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-interesowac-sie-594d3cf1b5a6,interesować się,true,imperfective,,vp-m-interesowac-sie-be-interested-in-7a9b8150975b,be interested in,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,lexical-frame,"[{""type"":""case"",""case"":""instrumental"",""required"":true,""role"":""topic""}]",case,instrumental,,A2,A2,active-production,vp-e-interesowac-sie-be-interested-in-instrumental-topic-politics-and-sport-9678fabc81e9,Interesuję się polityką i sportem.,I am interested in politics and sport.,repository-reuse,card:a2-leisure-culture-002:ex,"[{""kind"":""card"",""id"":""a2-leisure-culture-002"",""purpose"":""support""},{""kind"":""drill"",""id"":""grammar-cases-instrumental-014"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""interesuję się o sport"",""guidanceEn"":""No preposition: use the bare Instrumental, interesuję się sportem (I'm interested in sport).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-lubic-a9766b487203,lubić,false,imperfective,,vp-m-lubic-enjoy-thing-or-activity-fd56f32d6d55,like | enjoy,vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,lexical-frame,"[{""type"":""case"",""case"":""accusative"",""required"":true,""role"":""object""}]",case,accusative,,A1,A1,active-production,vp-e-lubic-enjoy-thing-or-activity-accusative-object-polish-food-857835bb5b81,Lubię polskie jedzenie.,I like Polish food.,repository-reuse,card:a1-first-verbs-018:ex,"[{""kind"":""card"",""id"":""a1-first-verbs-018"",""purpose"":""support""},{""kind"":""card"",""id"":""a1-food-basics-023"",""purpose"":""contrast""},{""kind"":""topic"",""id"":""building-sentences-negation"",""purpose"":""contrast""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-lubic-a9766b487203,lubić,false,imperfective,,vp-m-lubic-enjoy-thing-or-activity-fd56f32d6d55,like | enjoy,vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,lexical-frame,"[{""type"":""infinitive"",""required"":true,""role"":""content""}]",infinitive,,,A1,A1,active-production,vp-e-lubic-enjoy-thing-or-activity-infinitive-activity-reading-before-sleep-d573db6f04d1,Lubię czytać przed snem.,I like reading before bed.,repository-reuse,card:a1-free-time-003:ex,"[{""kind"":""card"",""id"":""a1-free-time-003"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
