reviewId,patternId,lemma,changeTypes,fieldPath,polishIllustration,newEnglishGloss,beforeFieldText,afterFieldText,newExamplePl,newExampleEn,exampleOrigin,repositorySource,priorState,finalState,correctionEventCreated,tier1Changed,tier2Changed,tier3Changed,freshProductApprovalCreated
P7-NR-001,vp-p-szukac-seek-genitive-target-71dc6eff512c,szukać,translation-gloss,errorNotes[0].guidanceEn,szukam kawiarni,I'm looking for a café,"Szukać takes the Genitive, not the Accusative: szukam kawiarni.","Szukać takes the Genitive, not the Accusative: szukam kawiarni (I'm looking for a café).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-002,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,pomagać,translation-gloss+first-example,errorNotes[0].guidanceEn,pomagam mamie,I help my mum,"The person helped is Dative, not Accusative: pomagam mamie.","The person helped is Dative, not Accusative: pomagam mamie (I help my mum).",Często pomagam sąsiadce.,I often help my neighbour.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-003,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,pomagać,translation-gloss+first-example,learnerExplanationEn,pomagać komuś w czymś,to help someone with something,"To say what you help with, add w + Locative: pomagać komuś w czymś.","To say what you help with, add w + Locative: pomagać komuś w czymś (to help someone with something).",Pomagam bratu w matematyce.,I help my brother with maths.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-004,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,słuchać,translation-gloss,errorNotes[0].guidanceEn,słucham muzyki,I listen to music,Słuchać takes the Genitive: słucham muzyki.,Słuchać takes the Genitive: słucham muzyki (I listen to music).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-005,vp-p-sluchac-obey-genitive-object-674adae2dec3,słuchać,translation-gloss+first-example,learnerExplanationEn,dziecko słucha mamy,the child obeys their mum,In the obey sense słuchać still takes the Genitive: dziecko słucha mamy.,In the obey sense słuchać still takes the Genitive: dziecko słucha mamy (the child obeys their mum).,Ten pies słucha swojego pana.,This dog obeys its owner.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-006,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,czekać,translation-gloss,errorNotes[0].guidanceEn,czekam na autobus,I'm waiting for the bus,Czekać needs the preposition na with the Accusative: czekam na autobus.,Czekać needs the preposition na with the Accusative: czekam na autobus (I'm waiting for the bus).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-007,vp-p-potrzebowac-need-genitive-object-437fafad17d2,potrzebować,translation-gloss,errorNotes[0].guidanceEn,potrzebuję zaświadczenia,I need a certificate,Potrzebować takes the Genitive: potrzebuję zaświadczenia.,Potrzebować takes the Genitive: potrzebuję zaświadczenia (I need a certificate).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-008,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,uczyć się,translation-gloss,learnerExplanationEn,uczę się polskiego,I'm learning Polish,The subject you study goes in the Genitive after uczyć się: uczę się polskiego.,The subject you study goes in the Genitive after uczyć się: uczę się polskiego (I'm learning Polish).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-008,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,uczyć się,translation-gloss,errorNotes[0].guidanceEn,uczę się polskiego,I'm learning Polish,Use the Genitive: uczę się polskiego.,Use the Genitive: uczę się polskiego (I'm learning Polish).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-009,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,uczyć się,translation-gloss,learnerExplanationEn,uczę się gotować,I'm learning to cook,"To name a skill you are learning, use an infinitive: uczę się gotować.","To name a skill you are learning, use an infinitive: uczę się gotować (I'm learning to cook).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-010,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,dziękować,translation-gloss,learnerExplanationEn,dziękuję za pomoc,thank you for the help,Use za + Accusative for what you are thanking for: dziękuję za pomoc.,Use za + Accusative for what you are thanking for: dziękuję za pomoc (thank you for the help).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-011,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,dziękować,translation-gloss,learnerExplanationEn,dziękuję komuś za coś,I thank someone for something,Name the person in the Dative and the reason with za + Accusative: dziękuję komuś za coś.,Name the person in the Dative and the reason with za + Accusative: dziękuję komuś za coś (I thank someone for something).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-011,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,dziękować,translation-gloss,errorNotes[0].guidanceEn,dziękuję mamie za pomoc,I thank my mum for the help,The person thanked is Dative: dziękuję mamie za pomoc.,The person thanked is Dative: dziękuję mamie za pomoc (I thank my mum for the help).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-012,vp-p-placic-pay-za-accusative-goods-73c6760c091d,płacić,translation-gloss,learnerExplanationEn,płacę za bilet,I'm paying for a ticket,Use za + Accusative for what you are paying for: płacę za bilet.,Use za + Accusative for what you are paying for: płacę za bilet (I'm paying for a ticket).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-013,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,płacić,translation-gloss,learnerExplanationEn,płacę kartą,I'm paying by card,"To say how you pay, use the bare Instrumental: płacę kartą, płacę gotówką.","To say how you pay, use the bare Instrumental: płacę kartą (I'm paying by card), płacę gotówką (I'm paying in cash).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-013,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,płacić,translation-gloss,learnerExplanationEn,płacę gotówką,I'm paying in cash,"To say how you pay, use the bare Instrumental: płacę kartą, płacę gotówką.","To say how you pay, use the bare Instrumental: płacę kartą (I'm paying by card), płacę gotówką (I'm paying in cash).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-013,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,płacić,translation-gloss,errorNotes[0].guidanceEn,płacę kartą,I'm paying by card,"No preposition here: the means of payment is a bare Instrumental, płacę kartą.","No preposition here: the means of payment is a bare Instrumental, płacę kartą (I'm paying by card).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
