verification_order,provisional_rank,lemma,cefr_hypothesis,aspect,aspect_partner,phase2_representation_fit,phase2_risk,phase2_verification_question,phase3_disposition,phase3_representation_fit,independent_slot_signal,verified_meaning_summary,supported_construction_summary,supported_constructions_structured,rejected_or_unverified_hypotheses,adjunct_boundary_summary,phase2_question_answer,primary_source_key,primary_source,primary_source_url,primary_source_locator,primary_source_accessed,primary_source_evidence_summary,secondary_source_key,secondary_source,secondary_source_url,secondary_source_locator,secondary_source_accessed,secondary_source_evidence_summary,evidence_strength,remaining_uncertainty,replacement_trigger,replacement_profile,research_notes
21,55,zapominać,A2,imperfective,,probably compatible - verify,high,"Does contemporary evidence support the proposed o + Locative, Genitive object, and żeby-clause scopes despite weak direct repository evidence?",KEEP WITH NARROWING,compatible with narrowing,strong,"sense 1 loss of recall for people, things, events, or information; separately, sense 4 failure to perform a required action","sense 1 direct Genitive/Accusative object, o + Locative, że content clause, and interrogative dependent clause; sense 4 infinitive",case:Genitive(recall sense);case:Accusative(recall sense);preposition-case:o+Locative(recall sense);clause:że(recall sense);clause:interrogative-dependent(recall sense);infinitive:bare(obligation sense),żeby-clause is not listed in either inspected exact schema; recall-sense objects and clauses are not interchangeable with the obligation-sense infinitive,"All credited constructions occur in exact sense-level Składnia. Time, duration, cause, and manner expressions in connections are not promoted to complements, and no construction transfers between the recall and obligation senses.","Partly. Exact evidence supports o + Locative and a direct Genitive/Accusative object in the recall sense, plus other recall clauses and a separate obligation-sense infinitive, but it does not support the proposed żeby-clause.",WSJP-ZAPOM-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, zapominać sense 1 'o kłopotach'",https://wsjp.pl/haslo/podglad/16991/zapominac/3776885/o-klopotach,"sense 1; Definicja, Połączenia, Składnia",2026-08-20,"Składnia gives KOGO/CZEGO or KOGO/CO, o KIM/CZYM, and że ZDANIE or ZDANIE PYTAJNOZALEŻNE for the recall-loss sense.",WSJP-ZAPOM-04,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, zapominać sense 4 'podziękować'",https://wsjp.pl/haslo/podglad/16991/zapominac/3776888/podziekowac,"sense 4; Definicja, Połączenia, Składnia",2026-08-20,The distinct failure-to-perform sense lists BEZOKOLICZNIK and does not list żeby ZDANIE.,A,No independently inspectable lemma-level Walenty frame was available; later authoring must keep the two sense inventories separate.,none,,Exact imperfective lemma and two authorized learner-relevant senses inspected; no aspect-partner or reserve evidence used.
22,56,próbować,A2,imperfective,,probably compatible - verify,high,"Does contemporary evidence support + infinitive; Genitive sampled object as separate meaning as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,"sense 1 attempting an action or result; separately, sense 3 checking the taste of food or drink",sense 1 infinitive and direct Genitive action noun; sense 3 direct Genitive sampled object,infinitive:bare(attempt sense);case:Genitive(attempt sense);case:Genitive(sampling sense),the sampling-sense Genitive does not support the attempt sense; the same surface case belongs to separately documented schemas and meanings,"The infinitive and both Genitive positions are explicit in their exact schemas. Purpose, manner, time, and tasting circumstances are not credited, and sampling syntax is not transferred into attempting.","Yes. The attempt sense directly supports an infinitive and a Genitive action noun, while the separately defined sampling/tasting sense independently supports a Genitive sampled object; all fit the locked model without sense conflation.",WSJP-PROB-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, próbować sense 1 'zrobić coś'",https://wsjp.pl/haslo/podglad/21492/probowac/3955693/zrobic-cos,"sense 1; Definicja, Połączenia, Składnia",2026-08-20,Składnia explicitly lists BEZOKOLICZNIK and CZEGO for attempting an action or result.,WSJP-PROB-03,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, próbować sense 3 'smak potrawy'",https://wsjp.pl/haslo/podglad/21492/probowac/3955692/smak-potrawy,"sense 3; Definicja, Połączenia, Składnia",2026-08-20,The separately defined tasting sense explicitly lists CZEGO for the sampled food or drink.,A,"No independent lemma-level valency corroboration was inspectable, but both exact sense schemas are direct and unambiguous.",none,,The additional attempt-sense Genitive was retained under the completeness rule; no unrelated senses or reserves were researched.
23,60,pozwalać,B1,imperfective,,probably compatible - verify,high,Does contemporary evidence support Dative person + infinitive and/or na + Accusative in a practical B1 scope despite low direct repository evidence?,KEEP WITH NARROWING,compatible with narrowing,strong,"sense 1 human permission or non-prevention; separately, sense 3 inanimate enabling of an action or result","permission sense: optional Dative with na + Accusative, optional Dative with żeby clause, or a separate infinitive schema; enabling sense: na + Accusative, infinitive, or żeby clause","case:Dative(optional,permission na/clause variants);preposition-case:na+Accusative(permission sense);clause:żeby(permission sense);infinitive:bare(permission sense);preposition-case:na+Accusative(enabling sense);infinitive:bare(enabling sense);clause:żeby(enabling sense)",Dative person + infinitive is not presented as one exact schema; Dative may not be inferred from the real-world permission recipient or transferred to the inanimate enabling sense,"Only exact Składnia alternatives receive credit. In the permission sense KOMU belongs to the na and żeby variants, while the infinitive is a separate schema; incidental beneficiary, purpose, and circumstance expressions remain outside the pattern.","Partly. Exact evidence supports na + Accusative, a separate infinitive, and useful żeby-clause variants; optional Dative is explicit with the na and żeby variants, but not as one combined Dative-person + infinitive schema.",WSJP-POZW-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, pozwalać sense 1 'komuś wyjść'",https://wsjp.pl/haslo/podglad/23683/pozwalac/4778958/komus-wyjsc,"sense 1; Definicja, Połączenia, Składnia",2026-08-20,"The permission schema lists (KOMU) + na CO, (KOMU) + żeby ZDANIE, and a separate BEZOKOLICZNIK alternative.",WSJP-POZW-03,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, pozwalać sense 3 'na dokonanie obserwacji'",https://wsjp.pl/haslo/podglad/23683/pozwalac/4778959/na-dokonanie-obserwacji,"sense 3; Definicja, Połączenia, Składnia",2026-08-20,"The inanimate enabling sense separately lists na CO, BEZOKOLICZNIK, and żeby ZDANIE without a Dative participant.",A,Later pattern wording must expose the alternative schemas rather than imply that every participant and complement freely combines.,none,,Exact imperfective evidence only; the permission/enabling senses remain separate and no evidence was inherited from pozwolić.
24,63,unikać,B1,imperfective,,probably compatible - verify,high,Does contemporary evidence support direct Genitive and/or infinitive government with enough practical B1 value to justify the slot?,KEEP WITH NARROWING,compatible with narrowing,strong,"trying not to experience, participate in, do, or contact the person or thing expressed by the object",direct Genitive object,case:Genitive,"infinitive government is not listed; apparent action complements in Połączenia are Genitive gerund nouns, not infinitives","Only KOGO/CZEGO is explicit in Składnia. Manner, degree, comparison, and recommendation contexts are not complements, and Genitive gerunds are not reclassified as infinitives.","Yes for direct Genitive, which is explicit and has sufficient practical B1 avoidance/error-prevention value; no for infinitive government, so the retained slot is narrower than Phase 2 proposed.",WSJP-UNIK-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, unikać",https://wsjp.pl/haslo/podglad/21358/unikac,"single sense; Definicja, Połączenia, Składnia",2026-08-20,Składnia explicitly gives KOGO/CZEGO; Połączenia includes Genitive nouns and gerunds but no infinitive schema.,WSJP-METHOD-2026,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026",https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf,"2.12 Składnia, pp. 68–70",2026-08-20,Explains that exact case-question notation records connoted nominal positions and must not be expanded from collocation alone.,A,No independently inspectable lemma-level Walenty frame was available; the direct Genitive itself is authoritative and clear.,none,,Repository weakness did not downgrade the authoritative Genitive result; no reserve or aspect partner was researched.
25,64,wymagać,B1,imperfective,,probably compatible - verify,high,"Does contemporary evidence support Genitive object; od + Genitive person as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,"sense 2 a person requiring conduct or a trait; separately, sense 3 a situation making conduct or a condition necessary","both senses direct Genitive requirement and żeby clause; optional od + Genitive demander/source, with person-only od in sense 2 and person-or-thing od in sense 3","case:Genitive(sense 2);preposition-case:od+Genitive(optional person,sense 2);clause:żeby(sense 2);case:Genitive(sense 3);preposition-case:od+Genitive(optional person-or-thing,sense 3);clause:żeby(sense 3)","the person-requirement and situation-requirement senses are not one interchangeable inventory; od + Genitive is credited only where explicitly listed, not inferred from agency","Each credited Genitive, od + Genitive, and żeby position appears in its exact sense schema. Beneficiaries, reasons, circumstances, and semantic actors not occupying od are not promoted to complements.",Yes. Exact schemas directly support Genitive objects and optional od + Genitive participants/sources in the two separated requirement senses; both schemas also directly support a learner-relevant żeby clause.,WSJP-WYMAG-02,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, wymagać sense 2 'lojalności'",https://wsjp.pl/haslo/podglad/48178/wymagac/5148889/lojalnosci,"sense 2; Definicja, Połączenia, Składnia",2026-08-20,Składnia lists (od KOGO) + CZEGO and (od KOGO) + żeby ZDANIE for a person's requirement.,WSJP-WYMAG-03,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, wymagać sense 3 'o sytuacji'",https://wsjp.pl/haslo/podglad/48178/wymagac/5148890/o-sytuacji,"sense 3; Definicja, Połączenia, Składnia",2026-08-20,The situation-requirement schema lists (od KOGO/CZEGO) + CZEGO and (od KOGO/CZEGO) + żeby ZDANIE.,A,Later authoring must keep the demander/source restrictions and two meanings visible rather than flatten them.,none,,The directly listed żeby variants were retained under the completeness rule; no unrelated senses or reserves were researched.
26,65,należeć,A2,imperfective,,probably compatible - verify,high,Does contemporary evidence support a practical do + Genitive membership/ownership frame with enough repository and learner value?,KEEP VERIFIED,compatible,strong,"sense 1 being owned by a person or group; separately, sense 2 being a member of an organization or group",ownership do + Genitive person; membership do + Genitive organization/group,preposition-case:do+Genitive(ownership sense);preposition-case:do+Genitive(membership sense),"ownership and membership remain separate meanings despite sharing do + Genitive; category, relationship, obligation, and należeć się senses are not imported","Both concrete do + Genitive forms are exact Składnia positions in their own senses. Location, time, manner, and unrelated category or obligation contexts receive no frame credit.","Yes. WSJP directly supports do + Genitive in distinct ownership and organization-membership senses, and the common meaning plus useful non-motion Genitive-preposition coverage justify the slot despite sparse repository evidence.",WSJP-NALEZ-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, należeć sense 1 'samochód należy do ojca'",https://wsjp.pl/haslo/podglad/47753/nalezec/5146996/samochod-nalezy-do-ojca,"sense 1; Definicja, Połączenia, Składnia",2026-08-20,The ownership sense explicitly gives do KOGO in Składnia.,WSJP-NALEZ-02,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, należeć sense 2 'do partii'",https://wsjp.pl/haslo/podglad/47753/nalezec/5158179/do-partii,"sense 2; Definicja, Połączenia, Składnia",2026-08-20,The organization-membership sense explicitly gives do CZEGO in Składnia.,A,The two meanings require separate product patterns or explicit sense labels even though the surface construction is shared.,none,,Only ownership and organization-membership were inspected; other należeć senses and reserves were outside scope.
27,69,kłócić się,B1,imperfective,,compatible,high,Does contemporary evidence support z + Instrumental person and o + Accusative topic with the proposed optionality and meaning boundaries?,KEEP VERIFIED,compatible,strong,lexical-reflexive interpersonal quarrelling with an optional counterpart and optional topic,optional z + Instrumental person and optional o + Accusative topic in one singular-subject schema; topic may instead be an interrogative dependent clause or że content clause; plural reciprocal variants omit z,"preposition-case:z+Instrumental(optional,singular-subject variants);preposition-case:o+Accusative(optional);clause:interrogative-dependent;clause:że","non-reflexive kłócić is not evidence; plural reciprocal-subject variants do not add a separate z participant, and the nominal topic and clause variants are alternatives","Counterpart, topic, and topic-clause positions are explicit in exact lexical kłócić się schemas. Frequency, intensity, manner, place, and other dispute circumstances remain adjuncts.","Yes. In the exact quarrelling sense, WSJP directly gives optional z + Instrumental and optional o + Accusative together for a singular subject, with plural reciprocal variants and alternative interrogative or że topic clauses explicitly separated.",WSJP-KLOC-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, kłócić się sense 1 'z żoną'",https://wsjp.pl/haslo/podglad/17240/klocic-sie/5126380/z-zona,"sense 1; Definicja, Połączenia, Składnia",2026-08-20,"Składnia explicitly lists (z KIM) + (o CO), plural-subject (o CO), and parallel interrogative-dependent and ŻE clause variants.",WSJP-METHOD-2026,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026",https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf,"2.12 Składnia, pp. 68–70",2026-08-20,"Explains sense-specific schemas and parentheses as optional connoted positions, supporting the recorded optionality reading.",A,Later authoring must preserve lexical się and the singular/plural alternation without presenting every complement as simultaneously required.,none,,Clause variants were retained under the completeness rule; evidence is exact to kłócić się and not transferred from kłócić.
28,70,pokazywać,A2,imperfective,,probably compatible - verify,high,"Does contemporary evidence support the proposed Dative recipient + Accusative thing frame for imperfective pokazywać itself, independent of the stronger repository example for pokazać?",KEEP VERIFIED,compatible,strong,"imperfective directing someone's attention to a person, thing, place, or content so that it is seen","optional Dative recipient + Accusative thing/content, exact na + Accusative target, and interrogative dependent clause; optional generalized GDZIE is retained only as a selected semantic position",case:Dative(optional);case:Accusative;preposition-case:na+Accusative;clause:interrogative-dependent,no syntax is borrowed from pokazać; optional GDZIE does not establish one concrete location preposition or a new architecture type,"The recipient/object, na-target, and interrogative clause are exact schema alternatives. GDZIE is selected but no concrete realization receives product credit here; manner, instrument, time, and incidental display location remain outside the verified construction.","Yes. The exact imperfective sense independently gives optional KOMU + CO, directly verifying the proposed Dative-recipient + Accusative-thing frame; it also directly lists na + Accusative and an interrogative dependent clause.",WSJP-POKAZYW-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, pokazywać sense 1 'na zdjęciu'",https://wsjp.pl/haslo/podglad/12745/pokazywac/4256348/na-zdjeciu,"sense 1; Definicja, Połączenia, Składnia",2026-08-20,"The imperfective schema lists (KOMU) + CO + (GDZIE), na KOGO/CO, and ZDANIE PYTAJNOZALEŻNE.",WSJP-METHOD-2026,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026",https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf,"2.12 Składnia, pp. 68–70",2026-08-20,Explains why exact case and preposition labels directly support locked constructions while generalized GDZIE does not select one preposition.,A,Optional GDZIE is intentionally not converted into a concrete product pattern; other pokazywać senses were not inspected.,none,,"Exact imperfective evidence only; no pattern was inherited from pokazać, and no reserve was researched."
29,29,radzić sobie,B1,imperfective,,compatible,high,"Does contemporary evidence support radzić sobie + z + Instrumental as a governed architecture-compatible coping construction, and does the lexical phrase independently justify a slot alongside advice-sense radzić?",KEEP VERIFIED,compatible,strong,the lexical phrase radzić sobie meaning to overcome or manage difficulties independently,"optional z + Instrumental difficulty, problem, condition, task, or person managed",preposition-case:z+Instrumental(optional),sobie is part of the lexical identity and not a free Dative slot; non-reflexive advice-sense radzić supplies no evidence; w + Locative and manner expressions shown only in connections receive no frame credit,"Only optional z KIM/CZYM is listed in Składnia. Situational w-phrases, evaluative adverbs, and on-one's-own expressions remain uncredited adjuncts or modifiers.","Yes. The exact lexical entry directly selects optional z + Instrumental for the coping target, fits preposition-case, and has strong independent teaching value because coping/manage is a distinct lexical identity and meaning from advice-sense radzić.",WSJP-RADZ-SOBIE-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, radzić sobie",https://wsjp.pl/haslo/podglad/111505/radzic-sobie,"single lexical entry; Definicja, Połączenia, Składnia",2026-08-20,"The entry is headed radzić sobie, defines coping, and explicitly lists optional z KIM/CZYM in Składnia.",WSJP-METHOD-2026,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026",https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf,"2.12 Składnia, pp. 68–70",2026-08-20,Explains sense-specific connoted positions and optionality notation used to interpret (z KIM/CZYM).,A,Later authoring must preserve the full lexical identity radzić sobie and not strip sobie or merge the entry with radzić.,none,,No evidence was transferred from non-reflexive radzić; the current promoted candidate independently clears the identity and value test.
30,15,kupować,A1,imperfective,kupić,probably compatible - verify,medium,"Does contemporary evidence support Accusative goods; dla + Genitive beneficiary for kupować, and does kupować independently justify a slot apart from kupić without pattern inheritance?",KEEP VERIFIED,compatible,moderate,"imperfective obtaining goods for money, including process, habitual, or repeated buying",Accusative goods with optional od + Genitive seller and za + Accusative price; alternative Accusative + optional Dative recipient; alternative Accusative + optional dla + Genitive beneficiary,"case:Accusative;preposition-case:od+Genitive(optional seller);preposition-case:za+Accusative(optional price);case:Dative(optional recipient,alternative schema);preposition-case:dla+Genitive(optional beneficiary,alternative schema)",the three schemas are alternatives rather than one maximal mandatory frame; no construction or final pair conclusion is inherited from or established for later-order kupić,"All credited goods, seller, price, recipient, and beneficiary positions are explicit in the exact kupować schema. Purchase location, channel, occasion, frequency, and manner remain adjuncts despite frequent connections.","Yes. The exact imperfective entry directly supports Accusative goods and optional dla + Genitive, plus optional od + Genitive, za + Accusative, and an alternative Dative-recipient schema. Process/repeated buying gives a moderate independent slot signal, with final pair opportunity cost deferred.",WSJP-KUPOW-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, kupować sense 1 'mieszkanie'",https://wsjp.pl/haslo/podglad/7275/kupowac/2372345/mieszkanie,"sense 1; Definicja, Połączenia, Składnia",2026-08-20,"Składnia independently lists CO + (od KOGO) + (za CO), CO + (KOMU), and CO + (dla KOGO) for imperfective kupować.",WSJP-METHOD-2026,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026",https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf,"2.12 Składnia, pp. 68–70",2026-08-20,"Explains exact case and preposition notation and optional positions, supporting the alternative-schema interpretation.",A,"The independent imperfective evidence is clear, but final two-slot opportunity cost must wait for authorized exact-form review of kupić in Batch 4.",none,,Exact imperfective evidence only; no candidate research or syntax transfer for order 31 kupić and no reserve research.
