reviewId,lemma,meaningId,patternId,currentExampleStatus,currentPolish,currentEnglish,currentOrigin,currentRepositorySource,c1Classification,c1Severity,c1Proposal,c1bClassification,c1bSeverity,c1bProposalDecision,c1bAlternative,comparisonClass,finalClassification,finalSeverity,implementationDisposition,implementationPriority,finalPolish,finalEnglish,finalOrigin,finalRepositorySource,caseTransparency,senseFit,naturalness,cefrFit,provenanceResult,adjudicationRationale
P7-NR-007,potrzebować,vp-m-potrzebowac-need-1112b46d1be1,vp-p-potrzebowac-need-genitive-object-437fafad17d2,PRESENT,Potrzebuję zaświadczenia z pracy.,I need a certificate from work.,repository-reuse,card:a2-official-matters-019.ex,USEFUL IMPROVEMENT,LOW,Czy potrzebuję antybiotyku? | Do I need an antibiotic? | repository-reuse | card:a2-pharmacy-020.ex,NO CHANGE,NONE,REJECT PROPOSAL,NONE,SUBSTANTIVE DISAGREEMENT,NO CHANGE,NONE,KEEP CURRENT,NOT APPLICABLE,Potrzebuję zaświadczenia z pracy.,I need a certificate from work.,repository-reuse,card:a2-official-matters-019.ex,"ACCEPTABLE. zaświadczenie -> zaświadczenia is a visible Genitive change from the citation form and is exactly the form the pattern's own errorNote corrects (potrzebuję zaświadczenie -> potrzebuję zaświadczenia). It is syncretic with the Nominative plural, but the singular reading is fixed by context. The second Genitive in 'z pracy' comes from the preposition and follows the object, so attribution stays clear in reading order.","EXACT. The necessity sense, not the marginal modal 'have to' use the meaning scope excludes. Both reviews agree.","NATURAL. Contemporary, everyday official-matters Polish; already shipped and resolves byte-exact to its card.",ACCEPTABLE. The pattern is A1 recognition / A2 production and the sentence sits at the A2 production band. C1's 'well above the A1 band' complaint measures the sentence against the recognition band rather than the production band.,"VERIFIED. repository-reuse; card a2-official-matters-019 field ex resolves byte-exact, and the card's exEn matches the canonical English.","SUBSTANTIVE DISAGREEMENT resolved for C1B, on a ground C1B did not give. C1's replacement 'Czy potrzebuję antybiotyku?' is a real repository sentence and is marginally more transparent, but the pattern's predicted-distractor errorNote is built on the current example's noun and section 24 forbids editing errorNotes. Replacing the example would leave an antibiotic example beside a certificate error note, decoupling a working minimal pair for a modest register gain. The current sentence is sense-exact, natural, byte-exact repository-reuse, and does display a Genitive ending change. Section 14 applies: this was an originally low-risk finding and no edit should be manufactured."
P7-NR-011,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,PRESENT,Dziękuję wszystkim za owocną współpracę.,Thank you all for the fruitful cooperation.,repository-reuse,card:b1-career-015.ex,USEFUL IMPROVEMENT,LOW,Dziękuję siostrze za kolację. | Thanks to my sister for dinner. | editorial-generated,USEFUL IMPROVEMENT,LOW,REVISE PROPOSAL,Dziękuję siostrze za kolację. | I'm thanking my sister for dinner. | editorial-generated,COMPATIBLE DIFFERENCE,USEFUL IMPROVEMENT,LOW,REPLACE,OPTIONAL POLISH,Dziękuję siostrze za kolację.,I thank my sister for dinner.,editorial-generated,,"TRANSPARENT on both governed slots, which is the point of a two-complement pattern. siostra -> siostrze is an overt Dative distinct from Genitive siostry and Accusative siostrę; kolacja -> kolację is an overt feminine Accusative. The two complements carry different cases, so neither form can be attributed to the other rule. The current example shows the Accusative half only: wszystkim is syncretic across Dative, Instrumental and Locative.",EXACT. Gratitude with a named Dative recipient and a za + Accusative reason. Both reviews agree; the disagreement was confined to the English.,"NATURAL. Four words, everyday thanks-giving register, contemporary. Carries AB's recorded Phase 4C linguistic acceptance of the text.","GOOD. A2 recognition / B1 production. siostra and kolacja are A1-A2 vocabulary, so recognition is comfortable and the two-case frame is the production stretch. The current example's formal workplace register sits above the A2 recognition band.","VERIFIED. editorial-generated with an empty repositorySource, as the schema requires. The string occurs nowhere in the 27,498 indexed repository strings or the 2,532 canonical corpus strings, verbatim or as a substring. No original or human-author claim is made; AB's Phase 4C acceptance is acceptance of a text, not authorship.","Both reviews independently reached USEFUL IMPROVEMENT / LOW and both endorsed C1's Polish, so the Polish is adopted unchanged. Neither English is adopted. C1's 'Thanks to my sister for dinner' reads as the causal connective 'thanks to' and changes who is thanked, which C1B correctly caught. C1B's 'I'm thanking my sister for dinner' preserves the participants but is a progressive nobody utters. 'I thank my sister for dinner' maps one-to-one onto the Polish frame - speaker, Dative recipient, za reason - carries no causal reading, and is the rendering a case-teaching gloss wants. Held at OPTIONAL POLISH because the current example is correct and natural and the pattern's errorNote already supplies a transparent Dative (mamie), so the corpus does show the Dative somewhere."
P7-NR-012,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-za-accusative-goods-73c6760c091d,PRESENT,Ile płacę za wszystko?,How much am I paying for everything?,repository-reuse,card:a1-numbers-prices-015.ex,USEFUL IMPROVEMENT,MEDIUM,Płacę za kawę i gazetę. | I am paying for a coffee and a newspaper. | editorial-generated,USEFUL IMPROVEMENT,LOW,ACCEPT PROPOSAL,NONE,COMPATIBLE DIFFERENCE,MUST CHANGE,MEDIUM,REPLACE,REQUIRED FOR EDITORIAL ACCEPTANCE,Płacę za kawę i gazetę.,I am paying for a coffee and a newspaper.,editorial-generated,,"TRANSPARENT. kawa -> kawę and gazeta -> gazetę are two overt feminine Accusatives coordinated under one preposition. No negation, no competing rule, no pronoun. The current 'wszystko' is a neuter pronoun whose Accusative is identical to its Nominative.",EXACT. Everyday transactional payment for goods; not the figurative 'pay with one's health' sense the meaning scope excludes.,"NATURAL. Five words, contemporary, an utterance usable at a till or kiosk on day one.",GOOD. A1 recognition / A2 production; kawa and gazeta are A1 vocabulary and the frame is the A1 shopping situation the pattern's contentRef already cites.,"VERIFIED. editorial-generated, empty repositorySource. Absent verbatim and as a substring from the repository index and the canonical corpus. Carries AB's recorded Phase 4C linguistic acceptance of the text, which is not authorship.","Both reviews recommend the identical replacement; only severity differed (C1 MEDIUM, C1B LOW). Escalated to MUST CHANGE against both. Decisive new evidence: the taught case is invisible on EVERY learner-facing surface of this pattern. The example shows 'za wszystko' (Accusative = Nominative), the learnerExplanationEn illustrates with 'płacę za bilet' (masculine inanimate, Accusative = Nominative), and errorNotes is empty. Section 24 forbids editing the explanation or adding an error note, so the example is the only remaining place a learner can ever see the ending, and it shows none. A learner told 'za + Accusative' and shown only citation forms will produce 'Płacę za kawa'. That is a concrete predicted error caused by the canonical example, which is what makes this REQUIRED rather than polish. Section 8 answered directly: 'wszystko' is grammatically valid Accusative and does discriminate against the za + Instrumental competitor, but it is not a good example for teaching the case."
P7-NR-014,używać,vp-m-uzywac-use-bf360f430fed,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,PRESENT,Używam tej aplikacji do nauki języków.,I use this app for learning languages.,repository-reuse,card:b1-media-technology-001.ex,NO CHANGE,NONE,NONE,NO CHANGE,NONE,NOT APPLICABLE,NONE,EXACT AGREEMENT,NO CHANGE,NONE,KEEP CURRENT,NOT APPLICABLE,Używam tej aplikacji do nauki języków.,I use this app for learning languages.,repository-reuse,card:b1-media-technology-001.ex,"ACCEPTABLE. aplikacja -> tej aplikacji is an overt Genitive standing immediately beside the verb and is exactly the form the pattern's errorNote corrects (używam tę aplikację -> używam tej aplikacji). The trailing 'do nauki języków' adds two further Genitives from other rules, but the verb's own object slot is filled first, so attribution stays clear in reading order.",EXACT. Employing a thing as a tool or means. Both reviews agree.,"NATURAL. Contemporary, everyday, already shipped, resolves byte-exact.","ACCEPTABLE at A2/A2 despite the B1 source card: aplikacja, nauka and język are A2 lexis and the verb is present tense.","VERIFIED. repository-reuse; card b1-media-technology-001 field ex resolves byte-exact, and the card's exEn matches the canonical English.","EXACT AGREEMENT: both reviews independently reached NO CHANGE / NONE, and the evidence sustains it. The B3A complaint's only concrete content was that the sentence is reused from a B1 card while the pattern is A2/A2, but the lexis and grammar sit at A2. The example and the errorNote form a tight minimal pair on the same noun, which section 24 forbids breaking. The one repository alternative, a2-ecology-024.ex 'Będę używać wielorazowych opakowań.', is a net loss: it adds a compound future, a low-frequency adjective, and a plural Genitive whose form is exactly the plural Genitive/Accusative ambiguity section 16 warns against. Section 14 applies: no edit manufactured."
P7-NR-018,dbać,vp-m-dbac-take-care-of-2b403d3e1b49,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,PRESENT,Warto dbać o siebie każdego dnia.,It is worth taking care of yourself every day.,repository-reuse,card:b1-healthy-lifestyle-012.ex,USEFUL IMPROVEMENT,LOW,Codziennie dbam o kondycję. | I take care of my fitness every day. | editorial-generated,USEFUL IMPROVEMENT,LOW,REVISE PROPOSAL,Codziennie dbam o kondycję. | I make an effort to stay fit every day. | editorial-generated,SUBSTANTIVE DISAGREEMENT,MUST CHANGE,MEDIUM,REPLACE,REQUIRED FOR EDITORIAL ACCEPTANCE,Codziennie dbam o kondycję.,I look after my fitness every day.,editorial-generated,,"TRANSPARENT. kondycja -> kondycję is an overt feminine Accusative -ę, the shape B3A identified as the only one that makes this case visible. dbać appears as a finite first-person verb and 'codziennie' is an adverb carrying no case, so nothing competes. The current 'o siebie' is an irregular pronoun identical in Accusative and Genitive, under an infinitive governed by impersonal 'warto', with an adverbial Genitive 'każdego dnia' alongside.","EXACT. Sustained effort for something's good condition. Deliberately not a person as the cared-for participant, which would invite confusion with the Instrumental government of zajmować się (042) and opiekować się (043) in the same queue.",NATURAL. Four words; 'dbać o kondycję' is a standard collocation and does not sound contrived for the sake of the -ę ending.,"GOOD. B1/B1, inside the healthy-lifestyle topic the pattern's contentRef already cites.","VERIFIED. editorial-generated, empty repositorySource. Absent verbatim and as a substring from the repository index and the canonical corpus. No native-speaker acceptance of any kind exists for this sentence - see the residual-risk note in the summary.","SUBSTANTIVE DISAGREEMENT on implementation: C1's preferred outcome was ADD, keeping the 'o siebie' sentence and adding this one; C1B assumed replacement. ADD is ruled out on product evidence neither review checked. The validator has no cardinality limit, but pp-verb-patterns.js line 1170 projects pattern.examples[0] into a singular view-model 'example' and index.html line 4190 renders that one object. A second array element is silently dropped and never reaches a learner. All 23 existing canonical examples sit one-per-pattern. Under section 9 that settles it: only one canonical example is supported, so the stronger single learner example is chosen rather than an unsupported addition mechanism. Classification escalated to MUST CHANGE against both reviews on the same criterion applied at 012 and 036: the taught case is invisible on every learner-facing surface - example 'o siebie', learnerExplanationEn 'dbam o zdrowie' (neuter, Accusative = Nominative), errorNotes empty - on a B1 active-production pattern the learner is expected to produce. The 'o siebie' / 'o sobie' contrast is genuinely useful and is the reason severity is MEDIUM and not higher, but a pronoun contrast does not give a production learner a noun ending. English: neither review's rendering is adopted. C1's 'I take care of my fitness' is not idiomatic, as C1B observed; C1B's 'I make an effort to stay fit every day' deletes the object and converts a prepositional-object frame into an infinitival purpose clause, which section 19 forbids for a pattern whose lesson is the object's case. 'Look after' is one of the pattern's own authored glosses, is idiomatic, and keeps the object."
P7-NR-031,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,ABSENT,,,,,MUST CHANGE,MEDIUM,Zawsze pytam o cenę. | I always ask about the price. | editorial-generated,MUST CHANGE,MEDIUM,ACCEPT PROPOSAL,NONE,EXACT AGREEMENT,MUST CHANGE,MEDIUM,CREATE,REQUIRED FOR EDITORIAL ACCEPTANCE,Zawsze pytam o cenę.,I always ask about the price.,editorial-generated,,"TRANSPARENT. cena -> cenę is an overt feminine Accusative. One complement, one governing rule, no negation, no pronoun.","EXACT. Asking in order to obtain information; not the classroom examine sense the meaning scope excludes. The English deliberately reads 'ask about', not 'ask for', so the frame is not confused with prosić o + Accusative, which is a separate pattern in the same corpus.","NATURAL. Four words. The adverb makes it a complete standalone utterance rather than a clipped frame, without adding grammar.",GOOD. A2/A2; asking a price is core A2 transactional production.,"VERIFIED. editorial-generated, empty repositorySource. Absent verbatim and as a substring from the repository index and the canonical corpus. No native-speaker acceptance exists for this sentence.","EXACT AGREEMENT: both reviews independently reached MUST CHANGE / MEDIUM and the same sentence. Repository reuse independently re-confirmed impossible: the only reusable card sentences are 'Chciałam cię o coś zapytać.' and 'Chcę zapytać o termin badania.', both of which realise the perfective partner zapytać rather than the authored imperfective lemma and both of which bury the frame under a modal, while 'Jakiś typ o ciebie pytał.' is slang-marked with a pronoun topic and 'Dzień dobry, mam pytanie o rezerwację.' is a noun in a drill 'full' field outside the locked repositorySource enum. Noted and accepted: the sentence restates the pattern's learnerExplanationEn illustration 'pytam o cenę' with an adverb. A different noun was considered to make the example generalise the frame, but every natural A2 candidate was worse - 'o drogę' forces the English 'ask for directions', which collapses pytać o into prosić o, and 'o godzinę' is an odd standalone habit. Making the Polish weaker to avoid an echo would be exactly the artificiality section 16 warns against."
P7-NR-032,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,ABSENT,,,,,MUST CHANGE,MEDIUM,Pytam koleżankę o nową restaurację. | I am asking my friend about the new restaurant. | editorial-generated,MUST CHANGE,MEDIUM,ACCEPT PROPOSAL,NONE,EXACT AGREEMENT,MUST CHANGE,MEDIUM,CREATE,REQUIRED FOR EDITORIAL ACCEPTANCE,Pytam koleżankę o nową restaurację.,I am asking my friend about the new restaurant.,editorial-generated,,"TRANSPARENT on both slots, which is the whole point of the row. koleżanka -> koleżankę is an overt Accusative in the person slot; nowa restauracja -> nową restaurację is an overt Accusative on adjective and noun in the topic slot. The learner sees that both participants take the same case and that only the topic carries o.",EXACT. Both participants preserved: an interlocutor and an information topic; not the classroom examine sense.,"NATURAL. Five words, contemporary, everyday.",GOOD. A2 recognition / B1 production; the vocabulary is A2 and the two-slot frame is the B1 stretch.,"VERIFIED. editorial-generated, empty repositorySource. Absent verbatim and as a substring from the repository index and the canonical corpus. No native-speaker acceptance exists for this sentence.","EXACT AGREEMENT: both reviews independently reached MUST CHANGE / MEDIUM and the same sentence. No repository sentence realises Accusative person + o + Accusative topic in any reusable field; independently re-confirmed. Reviewed jointly with P7-NR-031 as section 13 requires, and the two do not collapse: 031 shows the topic-only frame with a single Accusative, 032 adds the person slot and shows that it is also Accusative, and the lexis is disjoint. The pair is also complementary to the pattern's errorNote, which uses different nouns (pytam mamie o adres -> pytam mamę o adres), so the learner meets the frame with two vocabulary sets. The English renders koleżankę as 'my friend', dropping the feminine marking that English cannot carry naturally; no participant is added or removed."
P7-NR-033,widzieć,vp-m-widziec-perceive-visually-65710cb07f86,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,PRESENT,Widziałam wczoraj twoją siostrę.,I saw your sister yesterday.,repository-reuse,card:a2-describing-past-005.ex,USEFUL IMPROVEMENT,MEDIUM,Czy widzisz tę górę na horyzoncie? | Do you see that mountain on the horizon? | editorial-generated,MUST CHANGE,HIGH,REVISE PROPOSAL,Czy widzisz tę górę? | Do you see that mountain? | editorial-generated,SUBSTANTIVE DISAGREEMENT,MUST CHANGE,MEDIUM,REPLACE,REQUIRED FOR EDITORIAL ACCEPTANCE,Czy widzisz tę górę?,Do you see that mountain?,editorial-generated,,"TRANSPARENT. góra -> górę is an overt feminine Accusative and tę is the standard written Accusative demonstrative, a teaching point in its own right and consistent with the existing canonical example 'Czy znasz tę restaurację?'. One complement, one governing rule, no negation, no competing case.","EXACT, and this is the row's decisive criterion. An inanimate geographic object cannot be encountered, visited or met, so the excluded encounter sense is structurally unavailable and the figurative understand sense is not in play. The visual reading is unavoidable.","NATURAL. Four words, contemporary, a real utterance. Standard 'tę' rather than colloquial 'tą'.","GOOD, and improved on the current example. Present tense and A1 lexis match the A1/A1 pattern, where the current past-tense feminine 'widziałam' does not.","VERIFIED. editorial-generated, empty repositorySource. Absent verbatim and as a substring from the repository index and the canonical corpus. No native-speaker acceptance exists for this shortened sentence; AB's Phase 4C acceptance covered the longer draft.","SUBSTANTIVE DISAGREEMENT on both classification and remedy, given enhanced scrutiny under section 7. The shared concern is upheld but not at C1B's level. In Polish the encounter sense is normally carried by 'widzieć się z kimś' (się + z + Instrumental), so the bare Accusative frame does lean perceptual; C1B's HIGH overstates the Polish risk and is not sustained. What is sustained is that the row should not ship: the English gloss 'I saw your sister yesterday' reads in English as an encounter, which is the separately numbered sense the authored meaning explicitly excludes; the source card a2-describing-past-005 has the headword 'widziałem' and the hint 'czas przeszły od widzieć', so the sentence was authored to teach the past tense, not this pattern's Accusative object; and a past-tense feminine form is well above an A1/A1 pattern. Repository reuse re-confirmed impossible: 'Na wsi widzieliśmy konie.' has a plural whose Accusative equals its Nominative, 'Bardzo się cieszę, że cię widzę.' hides the case in a pronoun, 'Cześć, dawno się nie widzieliśmy!' is a negated reciprocal idiom, and 'Widzę kota' / 'Widzę tych studentów' sit in drill 'full' fields outside the locked enum - C1B's claim that they are reusable drill fields is incorrect, and no sentence 'Widzę kobietę' exists anywhere in the repository. Between the two proposals C1B's shortening wins: the inanimate object, not the location phrase, is what makes the visual reading unavoidable, so dropping 'na horyzoncie' costs no sense-safety while removing above-band vocabulary and a stem-softening Locative from an A1 example."
P7-NR-035,myśleć,vp-m-myslec-think-about-fa2e0ab5d95a,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,ABSENT,,,,,MUST CHANGE,MEDIUM,Ciągle myślę o egzaminie. | I keep thinking about the exam. | editorial-generated,MUST CHANGE,MEDIUM,ACCEPT PROPOSAL,NONE,EXACT AGREEMENT,MUST CHANGE,MEDIUM,CREATE,REQUIRED FOR EDITORIAL ACCEPTANCE,Ciągle myślę o egzaminie.,I keep thinking about the exam.,editorial-generated,,"TRANSPARENT. egzamin -> egzaminie is an overt Locative with visible stem softening, distinct from the Nominative and from the Accusative the errorNote predicts. One complement, one governing rule. It also complements the pattern's own surfaces, which both use the plural 'wakacjach', so the learner meets the Locative in both numbers.","EXACT. Directing attention to a topic; not the opinion sense (sądzić, uważać) and not the intention sense (zamierzać), which 'myśleć o zmianie pracy' shapes drift toward.","NATURAL. Four words, contemporary, a situation a learner actually has.",GOOD. A2/A2; egzamin is A2 vocabulary and the verb is present tense.,"VERIFIED. editorial-generated, empty repositorySource. Absent verbatim and as a substring from the repository index and the canonical corpus, and deliberately not the string 'Myślę o wakacjach.' that already exists in a drill 'full' field. No native-speaker acceptance exists for this sentence.","EXACT AGREEMENT: both reviews independently reached MUST CHANGE / MEDIUM and the same sentence. Section 12 applies - the pattern itself is sound and is not downgraded; only the example was missing. Repository reuse independently re-confirmed impossible: grammar-cases-locative-006 holds 'Myślę o wakacjach.' in its 'full' field with a gapped prompt and a one-word answer, grammar-cases-locative-013 has an array answer that the validator rejects as a sentence source, b1-expressing-opinions-009 realises the excluded opinion sense and is already a contrast contentRef, and podcasts-work-life-012.ex is negated and subordinate. C1B's description of the two drills as 'valid exact constructions' is true of the Polish but not of their reusability; the decision is unaffected because C1B did not reuse them."
P7-NR-036,znaleźć,vp-m-znalezc-find-8a0f0f34b6e8,vp-p-znalezc-find-accusative-object-d80c52211462,PRESENT,W końcu udało mi się znaleźć mieszkanie.,I finally managed to find a flat.,repository-reuse,card:a2-describing-past-022.ex,MUST CHANGE,MEDIUM,W końcu znalazłam nową pracę. | I finally found a new job. | editorial-generated,USEFUL IMPROVEMENT,LOW,ACCEPT PROPOSAL,NONE,COMPATIBLE DIFFERENCE,MUST CHANGE,MEDIUM,REPLACE,REQUIRED FOR EDITORIAL ACCEPTANCE,W końcu znalazłam nową pracę.,I finally found a new job.,editorial-generated,,"TRANSPARENT. praca -> pracę is an overt feminine Accusative and the adjective nowa -> nową agrees visibly. znaleźć is the finite main verb. No competing case rule and no negation. The current 'mieszkanie' is neuter, so its Accusative is identical to its Nominative.","EXACT, and directly evidenced. Successfully locating something looked for; the pattern's own WSJP locator is recorded at the 'pracę' sense, so the replacement lands on the exact sense the reference verification accepted.","NATURAL. Five words, contemporary, everyday. Keeps the 'w końcu' framing of the sentence it replaces and forms a clean minimal pair with szukać + Genitive, which is what the learnerExplanation contrasts.","GOOD. A2 recognition / B1 production. The perfective past is the correct production form: znalazłam is the past of perfective znaleźć, not of imperfective znajdować, which is the documented reason production sits at B1.","VERIFIED. editorial-generated, empty repositorySource. Absent verbatim and as a substring from the repository index and the canonical corpus. No native-speaker acceptance exists for this sentence.","COMPATIBLE DIFFERENCE: C1 MUST CHANGE / MEDIUM, C1B USEFUL IMPROVEMENT / LOW, but both recommend the identical replacement. Section 11's strong presumption is met on both counts and the corpus confirms them: znaleźć is an infinitive buried under the impersonal 'udało mi się' with a Dative clitic, and the source card a2-describing-past-022 has the headword 'udało mi się' and the hint 'konstrukcja nieosobowa + celownik', so the sentence was authored to teach the impersonal frame, not this verb; and 'mieszkanie' displays no Accusative morphology at all. C1's MUST CHANGE is the correct classification. Repository reuse re-confirmed impossible: 'W sieci można znaleźć wszystko.' repeats both defects with a modal and a neuter pronoun, and building-sentences-negation-011 is negated, so its Genitive comes from negation rather than the verb, and sits in a 'full' field. Accepted cost: the pattern's errorNote is built on 'mieszkanie' and section 24 forbids editing it, so example and note will no longer share a noun. That is a net gain here rather than a loss, because the note covers the neuter over-application trap (znaleźć mieszkania) while the example now covers the visible feminine Accusative; between them the pattern teaches more, not less."
