reviewId,patternId,lemma,priorReviewState,finalReviewState,editorialScopeTier,editorialScopeDigest,tier2DigestMovedByD31,editorialActorRef,editorialActorHuman,corroboratorRef,corroboratorHuman,decision,reviewedAt,blockingFindingsRecorded,blockingFindingsUnresolved,sourceReviewBasis,referenceVerificationEventsCreated,productApprovalCreated
P7-NR-001,vp-p-szukac-seek-genitive-target-71dc6eff512c,szukać,reference-verified,editorial-reviewed,native-linguistic,sha256:5e716fa9446cbf4820d46c19918848efb959cca2e01d4ac187019d4864991f2f,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-002,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,pomagać,reference-verified,editorial-reviewed,native-linguistic,sha256:bf03e7e0743d3a52a610fc4f28b403f83fd455c44000ada28f9a15e87232f21a,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-003,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,pomagać,reference-verified,editorial-reviewed,native-linguistic,sha256:660ea958f2b1c84eaf6e77bfebd8b7bda3b5049587a2a8ece154963c17c28c76,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-004,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,słuchać,reference-verified,editorial-reviewed,native-linguistic,sha256:5712ed57f40c3602f7fff60d61ca382ed21cca7a12033b8e69ad2b3bbfa85325,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-005,vp-p-sluchac-obey-genitive-object-674adae2dec3,słuchać,reference-verified,editorial-reviewed,native-linguistic,sha256:8d0b52e383e19191951e7e691ba31aff7cf55acc72328c0771abb7ebf7b71ebd,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-006,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,czekać,reference-verified,editorial-reviewed,native-linguistic,sha256:a7148641f76c36cf87b99ab517d09df83f430b2b9922ee4e3d417c292ebcd130,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-007,vp-p-potrzebowac-need-genitive-object-437fafad17d2,potrzebować,reference-verified,editorial-reviewed,native-linguistic,sha256:3411ceb84a83e77faec756d442456c33eebc8c187ddec6fe0cc0e765c5460ac3,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-008,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,uczyć się,reference-verified,editorial-reviewed,native-linguistic,sha256:63a6d410e0d2b25b7e042de9d41a16629b2128dc7b542de9d34555287c6ba413,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-009,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,uczyć się,reference-verified,editorial-reviewed,native-linguistic,sha256:06840919d0bdcfbc53772098958f2c2d8ac6adbbdf7ee9de01198351773f62ad,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-010,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,dziękować,reference-verified,editorial-reviewed,native-linguistic,sha256:1a69d07c0af7435fdf882e050142b4124ded299e461bbed03454180a81b23340,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-011,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,dziękować,reference-verified,editorial-reviewed,native-linguistic,sha256:a08ed8e55e2ab36fe9f80c4f46e66bc60c10355a34b2bf31327c7625c67a0a80,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,1,0,D1 ACCEPT WITH NOTE; blind D2 CHANGES NEEDED; D3 D2 blocker OVERTURNED; D3.1 no change,0,no
P7-NR-012,vp-p-placic-pay-za-accusative-goods-73c6760c091d,płacić,reference-verified,editorial-reviewed,native-linguistic,sha256:1afa6474f762eb1f7d1161801827db205c9622f165322be26e1b662b96abba4d,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-013,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,płacić,reference-verified,editorial-reviewed,native-linguistic,sha256:59a16c026b9e0950d2c75a3fa14c2edce6df8a19ee9e42dd0c47f63af33b0245,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-014,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,używać,reference-verified,editorial-reviewed,native-linguistic,sha256:a9d5aef1cac74a27bebea0a8446f2eec07b2546a0b30232cd588da73d187e435,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-015,vp-p-prosic-request-o-accusative-request-06d776fbfd20,prosić,reference-verified,editorial-reviewed,native-linguistic,sha256:69bd1a0167cd7ac5d213e3fd4e2b9bc2108aa0635b9424bc63490dd03c4590dd,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-016,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,prosić,reference-verified,editorial-reviewed,native-linguistic,sha256:71d419a22bff13515b333cc3765f74eeee57a2c5574c363c430a2af21c872823,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-017,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,interesować się,reference-verified,editorial-reviewed,native-linguistic,sha256:cf7887b3bff92d61f42dda307c2030603dae12af9893c7aa3f47fd6a63cac3e9,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-018,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,dbać,reference-verified,editorial-reviewed,native-linguistic,sha256:0a73a863157cefe410c707afa55c9249224eff5a19217788e1b4363a50f65038,yes,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,1,0,D1 ACCEPT WITH NOTE; blind D2 CHANGES NEEDED; D3 D2 blocker UPHELD; D3.1 approved correction implemented,0,no
P7-NR-019,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,tęsknić,reference-verified,editorial-reviewed,native-linguistic,sha256:64524cb299e7f3a2125b8c59da77eefccc51f429e29183e3ca899e35c543e7f5,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-020,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,rozmawiać,reference-verified,editorial-reviewed,native-linguistic,sha256:ca3f46bc7ffd4d223352019d555d91df2e046de553042e57230f4582b42f959b,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
