source_file,scope,level_id,level,topic_id,topic,card_id,pl_surface,en_gloss,classification_basis,entry_type,lemma_candidate,lemma_confidence,surface_sie_form,pair_raw,pair_lemmas,relation_type,related_ids,sense_groups,is_mature,case_guidance_status,case_ids_raw,hint_evidence,example_evidence,surface_normalized,duplicate_surface_group_size,flashcard_eligible,search_eligible,typeit_eligible,listening_eligible,mixed_eligible,accepted_answers_count,source_match_audit_class,book_indexes,linked_repository_form_source_entry_numbers,opposite_reflexivity_collision_entry_numbers,uncertainty_note
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-directions,Orientacja,a1-directions-018,skręcić,to turn,infinitive-headed Polish label + English verbal gloss,lemma,skręcić,high-surface; semantic sense unresolved,false,skręcać / skręcić,skręcać;skręcić,,,,false,none-structured; inspect free text/context,,'skręcić w prawo/lewo'.,Proszę skręcić w prawo.,skręcić,1,true,true,true,true,true,0,absent,,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-002,budzić się,to wake up,infinitive-headed Polish label + English verbal gloss,reflexive-lemma,budzić się,high-surface; semantic sense unresolved,true,budzić się / obudzić się,budzić się;obudzić się,,,,false,none-structured; inspect free text/context,,Verb. 'Budzę się' = I wake up.,Budzę się wcześnie rano.,budzić się,1,true,true,true,true,true,0,exact,24,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-003,wstawać,to get up,infinitive-headed Polish label + English verbal gloss,lemma,wstawać,high-surface; semantic sense unresolved,false,wstawać / wstać,wstawać;wstać,,,,false,none-structured; inspect free text/context,,Verb. 'Wstaję' = I get up.,"Budzę się o szóstej, ale wstaję o wpół do siódmej.",wstawać,1,true,true,true,true,true,0,exact,812,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-005,brać prysznic,to take a shower,infinitive-headed Polish label + English verbal gloss,verb-phrase-or-collocation,brać,high-surface; semantic sense unresolved,false,brać / wziąć prysznic,brać;wziąć,,,,false,none-structured; inspect free text/context,,Verb. 'Biorę prysznic' = I take a shower.,Rano zazwyczaj biorę szybki prysznic.,brać prysznic,2,true,true,true,true,true,0,exact,15,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-006,myć zęby,to brush teeth,infinitive-headed Polish label + English verbal gloss,verb-phrase-or-collocation,myć,high-surface; semantic sense unresolved,false,myć / umyć zęby,myć;umyć,,,,false,none-structured; inspect free text/context,,Literally 'to wash teeth'. 'Myję zęby' = I brush my teeth.,Po śniadaniu myję zęby.,myć zęby,1,true,true,true,true,true,0,exact,228,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-008,ubierać się,to get dressed,infinitive-headed Polish label + English verbal gloss,reflexive-lemma,ubierać się,high-surface; semantic sense unresolved,true,ubierać się / ubrać się,ubierać się;ubrać się,,,,false,none-structured; inspect free text/context,,Verb. 'Ubieram się' = I get dressed.,Biorę prysznic i szybko się ubieram.,ubierać się,1,true,true,true,true,true,0,exact,710,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-011,robić śniadanie,to make breakfast,infinitive-headed Polish label + English verbal gloss,verb-phrase-or-collocation,robić,high-surface; semantic sense unresolved,false,robić / zrobić śniadanie,robić;zrobić,,,,false,none-structured; inspect free text/context,,Verb. 'Robię' = I make/do.,Robię śniadanie dla mojej rodziny.,robić śniadanie,1,true,true,true,true,true,0,exact,586,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-012,jeść śniadanie,to eat breakfast,infinitive-headed Polish label + English verbal gloss,verb-phrase-or-collocation,jeść,high-surface; semantic sense unresolved,false,jeść / zjeść śniadanie,jeść;zjeść,,,,false,none-structured; inspect free text/context,,Verb. 'Jem' = I eat.,Codziennie jem śniadanie w domu.,jeść śniadanie,1,true,true,true,true,true,0,exact,145,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-016,spieszyć się,to be in a hurry,infinitive-headed Polish label + English verbal gloss,reflexive-lemma,spieszyć się,high-surface; semantic sense unresolved,true,spieszyć się / pospieszyć się,spieszyć się;pospieszyć się,,,,false,none-structured; inspect free text/context,,Verb. 'Spieszę się' = I am in a hurry (a state). The perfective 'pospieszyć się' means to hurry up on one particular occasion: 'Pospiesz się!' = Hurry up!,"Nie mam czasu na śniadanie, spieszę się do pracy.",spieszyć się,1,true,true,true,true,true,0,listed-alternative-variant,653,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
data-a1.js,core-A1-B1-lexical-card,a1,A1,a1-morning-routine,Poranna rutyna,a1-morning-routine-017,wychodzić z domu,to leave the house,infinitive-headed Polish label + English verbal gloss,verb-phrase-or-collocation,wychodzić,high-surface; semantic sense unresolved,false,wychodzić / wyjść z domu,wychodzić;wyjść,,,,false,none-structured; inspect free text/context,,Verb. 'Wychodzę' = I am leaving.,Wychodzę z domu o ósmej piętnaście.,wychodzić z domu,1,true,true,true,true,true,0,exact,820,,,"Leading infinitive is counted as the primary lemma candidate; phrase sense, aspect relation, and case pattern are not inferred from this row."
