verification_order,provisional_rank,lemma,queue_priority,primary_risk_driver,representation_fit,motion_flag,aspect_pair_flag,phase3_verification_question,replacement_profile
1,18,pracować,critical,locked-model representation boundary,model-fit concern,no,no,"Is there an independently useful governed nad + Instrumental or other architecture-compatible frame, once jako + Nominative and ordinary work-location adjuncts are excluded?",verified architecture-compatible non-motion reserve with matched practical value
2,5,iść,high,motion complement versus free adjunct,probably compatible - verify,yes,no,"Which proposed expressions, if any, are governed for the selected meaning rather than free destination, route, time, or purpose adjuncts?",verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
3,6,chodzić,high,motion complement versus free adjunct,probably compatible - verify,yes,no,Does an architecture-compatible governed construction independently justify the slot after ordinary do/na destination and frequency adjuncts are removed?,verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
4,7,jechać,high,motion complement versus free adjunct,probably compatible - verify,yes,no,"Is any proposed slot governed, especially the Instrumental vehicle phrase, or is the value primarily lexical motion teaching?",verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
5,8,jeździć,high,motion complement versus free adjunct,probably compatible - verify,yes,no,"Is any proposed case/preposition expression selected rather than a destination, route, frequency, or vehicle adjunct?",verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
6,9,dojść,high,motion complement versus free adjunct,probably compatible - verify,yes,no,"Does contemporary evidence support the abstract result/conclusion do + Genitive frame, separately from literal destination motion?",verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
7,10,dojechać,high,motion complement versus free adjunct,probably compatible - verify,yes,no,"Is the endpoint expression governed/selective, and is Instrumental vehicle only a free adjunct?",verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
8,45,wracać,high,motion complement versus free adjunct,probably compatible - verify,yes,yes,Does either proposed do/z + Genitive expression qualify as governed for the scoped return meaning rather than goal/source adjunct?,verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
9,46,wrócić,high,motion complement versus free adjunct,probably compatible - verify,yes,yes,Does this perfective independently justify a slot and support any governed complement not inherited from wracać?,verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
10,47,przyjść,high,motion complement versus free adjunct,probably compatible - verify,yes,no,Which proposed event/person expressions are governed rather than ordinary arrival destination/time adjuncts?,verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
11,48,przyjechać,high,motion complement versus free adjunct,probably compatible - verify,yes,no,"Is there an independently useful governed frame after destination, source, route, time, and vehicle adjuncts are removed?",verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
12,49,wyjść,high,motion complement versus free adjunct,probably compatible - verify,yes,no,Are z + Genitive and any na + Accusative use selected in the exact scoped exit/event senses rather than free adjuncts?,verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
13,50,wyjechać,high,motion complement versus free adjunct,probably compatible - verify,yes,no,Is there a governed source/goal construction that independently justifies the slot after ordinary motion adjuncts are removed?,verified non-motion Tier A reserve first; in-family motion swap only within the 12-lemma cap
14,28,przynosić,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,"Does contemporary evidence support the proposed Dative recipient + Accusative thing frame for the imperfective przynosić itself, independent of evidence for przynieść?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
15,34,odpowiadać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,"Does contemporary evidence support Dative person and na + Accusative question for the exact scoped meanings, and can an exact repository frame be located?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
16,39,zamawiać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,"Does contemporary evidence support Accusative item; u + Genitive provider as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
17,41,zaczynać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,yes,"Does contemporary evidence support Accusative activity; + infinitive for zaczynać, and does zaczynać independently justify a slot apart from zacząć without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
18,42,zacząć,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,yes,"Does contemporary evidence support Accusative activity; + infinitive for zacząć, and does zacząć independently justify a slot apart from zaczynać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
19,43,kończyć,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,yes,"Does contemporary evidence support Accusative task; + infinitive only if corroborated for kończyć, and does kończyć independently justify a slot apart from skończyć without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
20,54,pamiętać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,"Which of o + Locative, direct Accusative, and żeby-clause belong to distinct supported meanings and fit deterministic teaching?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
21,55,zapominać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,"Does contemporary evidence support the proposed o + Locative, Genitive object, and żeby-clause scopes despite weak direct repository evidence?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
22,56,próbować,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,"Does contemporary evidence support + infinitive; Genitive sampled object as separate meaning as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
23,60,pozwalać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,Does contemporary evidence support Dative person + infinitive and/or na + Accusative in a practical B1 scope despite low direct repository evidence?,verified B1 reserve if learner value and evidence are at least as strong
24,63,unikać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,Does contemporary evidence support direct Genitive and/or infinitive government with enough practical B1 value to justify the slot?,verified B1 reserve if learner value and evidence are at least as strong
25,64,wymagać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,"Does contemporary evidence support Genitive object; od + Genitive person as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",verified B1 reserve if learner value and evidence are at least as strong
26,65,należeć,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,Does contemporary evidence support a practical do + Genitive membership/ownership frame with enough repository and learner value?,"verified reserve matching CEFR corridor, practical domain, and supported coverage need"
27,69,kłócić się,high,promoted correction / construction-dependent inclusion,compatible,no,no,Does contemporary evidence support z + Instrumental person and o + Accusative topic with the proposed optionality and meaning boundaries?,verified B1 reserve if learner value and evidence are at least as strong
28,70,pokazywać,high,weak direct repository evidence / construction-dependent inclusion,probably compatible - verify,no,no,"Does contemporary evidence support the proposed Dative recipient + Accusative thing frame for imperfective pokazywać itself, independent of the stronger repository example for pokazać?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
