reviewId,lemma,meaningId,patternId,currentExampleStatus,currentPolish,currentEnglish,currentOrigin,currentRepositorySource,classification,findingId,findingSeverity,findingSummary,repositorySearchResult,proposedPolish,proposedEnglish,proposedOrigin,proposedRepositorySource,caseTransparency,cefrFit,naturalnessAssessment,copyrightCheck,implementationRecommendation
P7-NR-007,potrzebować,vp-m-potrzebowac-need-1112b46d1be1,vp-p-potrzebowac-need-genitive-object-437fafad17d2,PRESENT,Potrzebuję zaświadczenia z pracy.,I need a certificate from work.,repository-reuse,card:a2-official-matters-019.ex,USEFUL IMPROVEMENT,P7-C1-001,LOW,"The canonical sentence is lexically well above the A1 band at which the pattern is first met: 'zaswiadczenie z pracy' is bureaucratic B1-register vocabulary. It also carries a second Genitive from 'z', so two Genitives from two different rules sit in one short sentence.","10 repository sentences use potrzebowac + Genitive. Four sit in a reusable card field with a single Genitive: a1-fruit-vegetables-017.ex, a2-pharmacy-002.ex, a2-pharmacy-020.ex, a2-official-matters-002.ex. a2-pharmacy-020.ex is the shortest first-person option with transparent morphology and no competing case rule.",Czy potrzebuję antybiotyku?,Do I need an antibiotic?,repository-reuse,card:a2-pharmacy-020.ex,"TRANSPARENT. antybiotyk -> antybiotyku is an overt Genitive and differs from the bare-stem Accusative the error note predicts. Single Genitive, one governing rule, no negation.",Improved. Pattern is A1 recognition / A2 production. 'antybiotyk' is an internationalism transparent at A1; 'zaswiadczenie' is not.,"Natural contemporary Polish, everyday pharmacy use, first person, five words. Already shipped in the app corpus.",CLEAN. Project-owned repository content; no WSJP or Medak text involved.,"Swap the example text and repositorySource on the existing example ID vp-e-potrzebowac-need-genitive-object-certificate-from-work-9bb3306bf0ee; the key should be re-minted to match the new sentence. Provenance stays repository-reuse, so no editorial actor is needed for this row."
P7-NR-011,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,PRESENT,Dziękuję wszystkim za owocną współpracę.,Thank you all for the fruitful cooperation.,repository-reuse,card:b1-career-015.ex,USEFUL IMPROVEMENT,P7-C1-002,LOW,"The pattern's teaching point is a Dative recipient beside za + Accusative, but the Dative slot is filled by 'wszystkim', a quantifier whose form is also Instrumental and Locative singular of 'wszystko'. The Accusative half ('owocna wspolprace') is transparent; the Dative half is not, and the formal workplace register sits above A2 recognition.","No usable alternative. Every repository sentence pairing a Dative noun with za + Accusative (grammar-cases-dative-005, politeness-formal-address-003, people-numbers-every-all-011) stores it in the drill 'full' field, which is outside the locked repositorySource enum (card pl/ex, drill prompt/answer). b1-career-015.ex is the only reusable option and is the current example.",Dziękuję siostrze za kolację.,Thanks to my sister for dinner.,editorial-generated,,"TRANSPARENT on both slots. siostra -> siostrze is an overt Dative distinct from Genitive siostry and Accusative siostre; kolacja -> kolacje is an overt feminine Accusative. The two complements take different cases, so neither can be attributed to the other rule.","Good. A2 recognition / B1 production; both nouns and the situation are A1-A2 vocabulary, so recognition is comfortable and production is the stretch.","Natural contemporary Polish in the everyday thanks-giving register. Four words. The English is rendered as 'Thanks to my sister for dinner' rather than the stilted 'I thank my sister', with no participant added or removed.",CLEAN. Independently worded from everyday vocabulary already present in the project corpus. No source example text consulted or paraphrased.,"Reuse the existing example ID vp-e-dziekowac-thank-dative-recipient-za-accusative-thanks-for-cooperation-92656ebcc371 with new wording and a re-minted key, switching origin from repository-reuse to editorial-generated. Requires a registered example-generation editorial actor. NOTE FOR ADJUDICATION: this text is byte-identical to the Phase 4C draft AB accepted as presented; that acceptance is linguistic acceptance of the text, not authorship, and the truthful provenance remains editorial-generated."
P7-NR-012,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-za-accusative-goods-73c6760c091d,PRESENT,Ile płacę za wszystko?,How much am I paying for everything?,repository-reuse,card:a1-numbers-prices-015.ex,USEFUL IMPROVEMENT,P7-C1-003,MEDIUM,"The pattern teaches za + Accusative and the canonical sentence shows no Accusative morphology at all: 'wszystko' is a neuter pronoun whose Accusative is identical to its Nominative. The learner sees the preposition but cannot see the case. The pattern's own learnerExplanation has the same weakness ('placze za bilet', masculine inanimate).","No usable alternative. 15 repository sentences use placic; only a1-numbers-prices-015.ex combines the verb with za, and that is the current example. b1-money-finance-013.ex uses a Genitive under nienawidzic, not the reviewed frame.",Płacę za kawę i gazetę.,I am paying for a coffee and a newspaper.,editorial-generated,,"TRANSPARENT. Two overt feminine Accusatives, kawa -> kawe and gazeta -> gazete, coordinated under one preposition. No negation, no competing case rule, no pronoun.",Good. A1 recognition / A2 production; kawa and gazeta are A1 vocabulary and the frame is the A1 shopping-and-paying situation the pattern already cites.,"Natural contemporary Polish, five words, an utterance a learner can use at a till on day one.",CLEAN. Independently worded from A1 corpus vocabulary. No source example text consulted or paraphrased.,"Reuse the existing example ID vp-e-placic-pay-za-accusative-goods-how-much-for-everything-dd5e5c88cfd4 with new wording and a re-minted key, switching origin to editorial-generated. Requires a registered example-generation actor. FOR ADJUDICATION: a reviewer could reasonably escalate this row to MUST CHANGE, since a za + Accusative pattern illustrated with zero visible Accusative arguably fails to demonstrate the authored point. C1 held it at USEFUL IMPROVEMENT because 'wszystko' is genuinely Accusative and the finite verb is unambiguous. The text is byte-identical to the Phase 4C draft AB accepted; that is not authorship."
P7-NR-014,używać,vp-m-uzywac-use-bf360f430fed,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,PRESENT,Używam tej aplikacji do nauki języków.,I use this app for learning languages.,repository-reuse,card:b1-media-technology-001.ex,NO CHANGE,,NONE,"B3A's LOW note was assessed and does not survive as example work. Its only concrete complaint is that the sentence is reused from a B1 card while the pattern is A2/A2, but the sentence's actual lexis (aplikacja, nauka, jezyk) and grammar sit at A2, and 'tej aplikacji' is an overt Genitive standing immediately beside the verb, in direct contrast to the predicted-distractor 'uzywam te aplikacje'. Manufacturing a replacement here would not improve learner value.","Two reusable sentences exist: the current b1-media-technology-001.ex and a2-ecology-024.ex 'Bede uzywac wielorazowych opakowan'. The A2 option was rejected as a replacement: it adds a compound future and a low-frequency adjective, which is a net loss against a level-band complaint only.",,,,,"ACCEPTABLE. aplikacja -> tej aplikacji is distinct from the Accusative te aplikacje, which is the live confusion. NOTED, NOT BLOCKING: the trailing purpose phrase 'do nauki jezykow' contributes two further Genitives from other rules; the verb's own object slot is filled first, so attribution stays clear in reading order.",Acceptable at A2/A2 despite the B1 source card; the vocabulary is A2 and the verb is present tense.,"Natural contemporary Polish, everyday, already shipped.",CLEAN. No change proposed; no source text involved.,Preserve as is. Alternate recorded as a note only: a2-ecology-024.ex is available as repository-reuse if an adjudicator prefers strict level matching over sentence quality. C1 does not recommend it.
P7-NR-018,dbać,vp-m-dbac-take-care-of-2b403d3e1b49,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,PRESENT,Warto dbać o siebie każdego dnia.,It is worth taking care of yourself every day.,repository-reuse,card:b1-healthy-lifestyle-012.ex,USEFUL IMPROVEMENT,P7-C1-004,LOW,"The canonical sentence is natural and on-meaning and its 'o siebie' does usefully contrast with the o + Locative taught on rozmawiac (021) and myslec (035). It is nonetheless not case-transparent: siebie is an irregular pronoun with no visible Accusative morphology, dbac is an infinitive under impersonal 'warto', and 'kazdego dnia' adds an adverbial Genitive. B3A's own suggested alternative 'o zdrowie' does not help, since neuter Accusative equals Nominative.","NONE. dbac appears in the repository only on b1-healthy-lifestyle-011 (hint text) and b1-healthy-lifestyle-012, which supplies the current example. No alternative repository sentence exists in any reusable field.",Codziennie dbam o kondycję.,I take care of my fitness every day.,editorial-generated,,"TRANSPARENT. kondycja -> kondycje is an overt feminine Accusative -e, the shape B3A identified as the only one that makes the case visible. dbac is a finite first-person verb, and 'codziennie' is an adverb carrying no case, so nothing competes.",Good. B1/B1; 'dbac o kondycje' is standard B1 healthy-lifestyle collocation and stays inside the topic the pattern's contentRef already cites.,"Natural contemporary Polish, four words, everyday. Does not sound contrived for the sake of the -e ending.",CLEAN. Independently worded from B1 corpus vocabulary. No source example text consulted or paraphrased.,"PREFERRED: ADD as a second example under a new ID and PRESERVE the existing 'o siebie' sentence, which is what B3A actually recommended. That keeps the Accusative/Locative pronoun contrast and adds visible noun morphology. Replacement is the fallback if a one-example-per-pattern convention is preferred. The examples array has no cardinality limit in the validator. Requires a registered example-generation actor."
P7-NR-031,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,ABSENT,,,,,MUST CHANGE,P7-C1-005,MEDIUM,"No canonical example exists. This is an A2 core active-production pattern that B3A retained in the pilot against a DEFER recommendation, partly on the ground that the short frame is a complete idiomatic utterance; it cannot ship without a sentence demonstrating that.","NONE usable. The only repository sentence with pytac plus an o phrase is b1-everyday-slang-010.ex 'Jakis typ o ciebie pytal', which is slang-marked and uses a pronoun. a2-healthcare-appointments-017.ex uses the perfective partner zapytac, not the authored imperfective lemma, and is already a contrast contentRef. politeness-formal-writing-002 has 'pytanie o rezerwacje' in a 'full' field: a noun, not the verb, and an unreusable field.",Zawsze pytam o cenę.,I always ask about the price.,editorial-generated,,"TRANSPARENT. cena -> cene is an overt feminine Accusative. Single complement, one governing rule, no negation, no pronoun.","Good. A2/A2; asking about price is core A2 transactional production, which is the ground B3A gave for keeping the row at active-production.","Natural contemporary Polish, four words. The adverb makes it a complete standalone sentence rather than a clipped frame, without adding grammar.",CLEAN. Independently worded. No source example text consulted or paraphrased.,"Mint a new example ID and key for this pattern. Requires a registered example-generation actor. Review jointly with P7-NR-032: the two share a meaning and must teach a visible short-frame / full-frame contrast, so the lexical content was deliberately kept distinct."
P7-NR-032,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,ABSENT,,,,,MUST CHANGE,P7-C1-006,MEDIUM,"No canonical example exists. This is the full frame under the same meaning as P7-NR-031 and carries the pattern's predicted-distractor note about the person slot ('pytam mamie o adres'), which no sentence currently illustrates.",NONE. Same search as P7-NR-031; no repository sentence realises Accusative person + o + Accusative topic in any reusable field.,Pytam koleżankę o nową restaurację.,I am asking my friend about the new restaurant.,editorial-generated,,"TRANSPARENT on both slots, which is the point of the row: kolezanka -> kolezanke is an overt Accusative in the person slot and nowa restauracja -> nowa restauracje is an overt Accusative on both adjective and noun in the topic slot. The learner sees that both participants take the same case and that only the topic carries o.",Good. A2 recognition / B1 production; the vocabulary is A2 and the two-slot frame is the B1 production stretch.,"Natural contemporary Polish, five words, everyday. Lexically distinct from the P7-NR-031 proposal so the short and full frames do not read as accidental duplicates.",CLEAN. Independently worded. No source example text consulted or paraphrased.,"Mint a new example ID and key. Requires a registered example-generation actor. Adjudicate together with P7-NR-031. The English renders kolezanke as 'my friend', dropping the feminine marking; no participant is added or removed."
P7-NR-033,widzieć,vp-m-widziec-perceive-visually-65710cb07f86,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,PRESENT,Widziałam wczoraj twoją siostrę.,I saw your sister yesterday.,repository-reuse,card:a2-describing-past-005.ex,USEFUL IMPROVEMENT,P7-C1-007,MEDIUM,"Two issues, one of them a possible meaning mismatch. (1) The authored meaning is explicitly 'perceiving something with the eyes by looking at it' and explicitly excludes the separately numbered encounter sense, but 'Widzialam wczoraj twoja siostre' - past tense, human object, time adverbial - is most naturally read as running into someone, which is the excluded sense. (2) The pattern is A1/A1 while the sentence is past tense and reused from an A2 past-tense card. Case transparency itself is excellent and is not the complaint.","NONE better. a2-nature-animals-006.ex 'Na wsi widzielismy konie' is past tense with a plural whose Accusative equals its Nominative. grammar-cases-accusative-002 and -009 hold 'Widze kota' and 'Widze tych studentow' in 'full' fields, which are outside the reusable enum; their prompt fields are gapped and their answers are single words or arrays.",Czy widzisz tę górę na horyzoncie?,Do you see that mountain on the horizon?,editorial-generated,,"TRANSPARENT. gora -> gore is an overt feminine Accusative and te is the standard Accusative demonstrative, a teaching point in its own right. 'na horyzoncie' is Locative, a different case, so it cannot be mistaken for the verb's object.","Improved. Present tense matches A1/A1, where the current past-tense sentence does not.",Natural contemporary Polish and unambiguously the visual-perception sense. Six words. Standard 'te' is used rather than colloquial 'ta'.,CLEAN. Independently worded. No source example text consulted or paraphrased.,"Reuse the existing example ID vp-e-widziec-perceive-visually-accusative-object-saw-your-sister-ec51af47f224 with new wording and a re-minted key, switching origin to editorial-generated. Requires a registered example-generation actor. FOR ADJUDICATION: if the reviewer agrees the current sentence realises the excluded encounter sense, this row becomes MUST CHANGE. C1 is not certain and did not escalate. The text is byte-identical to the Phase 4C draft AB accepted; that is not authorship. A shorter variant without 'na horyzoncie' is available if the Locative is considered noise."
P7-NR-035,myśleć,vp-m-myslec-think-about-fa2e0ab5d95a,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,ABSENT,,,,,MUST CHANGE,P7-C1-008,MEDIUM,"No canonical example exists, and B3A rated this MEDIUM rather than LOW precisely because nothing in the repository can be reused. The pattern is A2 core active-production and its predicted-distractor note ('mysle o wakacje') has no worked sentence behind it.","NONE usable, confirming B3A. grammar-cases-locative-006 holds 'Mysle o wakacjach' only in the 'full' field, outside the locked repositorySource enum; its prompt is gapped and its answer is a bare noun. grammar-cases-locative-013 is a build drill whose answer is an array, which the validator rejects as a sentence source. b1-expressing-opinions-009 realises the opinion sense the meaning explicitly excludes and is already a contrast contentRef. podcasts-work-life-012.ex is negated and subordinate.",Ciągle myślę o egzaminie.,I keep thinking about the exam.,editorial-generated,,"TRANSPARENT. egzamin -> egzaminie is an overt Locative with visible stem softening, distinct from the Nominative and from the Accusative the error note predicts. Single complement, one governing rule, no competing case.",Good. A2/A2; egzamin is A2 vocabulary and the situation is one a learner actually has.,"Natural contemporary Polish, four words. Unambiguously the direct-attention sense: not the opinion sense (sadzic, uwazac) and not the intention sense (zamierzac). Deliberately avoids 'myslec o zmianie pracy' shapes, which drift toward the excluded intention reading.","CLEAN. Independently worded, and deliberately not the string 'Mysle o wakacjach' that already exists in a drill 'full' field, so no duplicate content is created and no provenance is misstated.",Mint a new example ID and key. Requires a registered example-generation actor.
P7-NR-036,znaleźć,vp-m-znalezc-find-8a0f0f34b6e8,vp-p-znalezc-find-accusative-object-d80c52211462,PRESENT,W końcu udało mi się znaleźć mieszkanie.,I finally managed to find a flat.,repository-reuse,card:a2-describing-past-022.ex,MUST CHANGE,P7-C1-009,MEDIUM,"The canonical sentence fails on both counts B3A identified and its source confirms the diagnosis. znalezc is an infinitive buried under the impersonal 'udalo mi sie' with a Dative clitic, and mieszkanie is neuter, so its Accusative is identical to its Nominative: a sentence meant to show 'znalezc takes the Accusative' displays no Accusative morphology at all. The sentence is reused from a2-describing-past-022, a card whose own headword is 'udalo mi sie' - it was authored to teach the impersonal construction, not this verb.","NONE better. b1-media-technology-014.ex 'W sieci mozna znalezc wszystko' is worse on both counts: another modal-impersonal frame and a neuter pronoun object. building-sentences-negation-011 is negated, so its Genitive is produced by negation rather than by the verb, and it sits in a 'full' field.",W końcu znalazłam nową pracę.,I finally found a new job.,editorial-generated,,TRANSPARENT. praca -> prace is an overt feminine Accusative and the adjective nowa -> nowa agrees visibly. znalezc is the finite main verb. No competing case rule and no negation.,"Good. A2 recognition / B1 production. The perfective past is the correct production form: the lemma is aspect:perfective and has no present tense, which is the documented reason B3A kept production at B1.","Natural contemporary Polish, five words, everyday. Keeps the 'w koncu' framing of the sentence it replaces. Fits the exact lemma and aspect: znalazlam is the past of perfective znalezc, not of imperfective znajdowac. Also forms a clean minimal pair with szukac + Genitive, which is what the learnerExplanation contrasts.",CLEAN. Independently worded. No source example text consulted or paraphrased.,"Reuse the existing example ID vp-e-znalezc-find-accusative-object-finally-found-a-flat-3609f7a71e3f with new wording and a re-minted key, switching origin to editorial-generated. Requires a registered example-generation actor. Do not change the pattern itself; the A2/B1 split and the frame are closed."
