reviewId,patternId,lemma,priorState,finalState,productApprovalScopeTier,productApprovalScopeDigest,digestRecomputesAgainstLiveRow,productOwnerRef,productOwnerHuman,productOwnerRoles,acknowledgedReleaseMode,decision,approvalDate,sourceDecision,productOwnerPerformedLinguisticReview,referenceAcceptancesPreserved,editorialAcceptancesPreserved,contentFieldsChanged,activityEligibilityGranted,releaseActionCreated
P7-NR-001,vp-p-szukac-seek-genitive-target-71dc6eff512c,szukać,editorial-reviewed,approved,product-approval,sha256:4792776f3021d9fe40bc378d5b85b54bc40d3642a31c300a32bd0155e45e1884,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-002,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,pomagać,editorial-reviewed,approved,product-approval,sha256:727e97ffe99ff5fa98062a07544f746595aab4eda7402d9d5545e94bbacf7f79,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-003,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,pomagać,editorial-reviewed,approved,product-approval,sha256:e047e3e99416736206c2a85ce52f6c047c0f3ffc82ac52eced291ee59d012aa7,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-004,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,słuchać,editorial-reviewed,approved,product-approval,sha256:8cec11d2b3047a29c8f3518178ef5deb2d0ff643274bc0efe8645583c126a09c,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-005,vp-p-sluchac-obey-genitive-object-674adae2dec3,słuchać,editorial-reviewed,approved,product-approval,sha256:d5bc1c16955e2392c3e4f0e18993fc2f78fa8f37b6aec9e733c2822935b0beb0,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-006,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,czekać,editorial-reviewed,approved,product-approval,sha256:6db3e8ee2b41aa798f4b6bd0fa8b6819f285a5d7e055a704f4c68c7c8a2c5e6d,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-007,vp-p-potrzebowac-need-genitive-object-437fafad17d2,potrzebować,editorial-reviewed,approved,product-approval,sha256:9b12fa472a765996d432a0d6c793da02f864106d5ef86e4ddb950fda40d864ed,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-008,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,uczyć się,editorial-reviewed,approved,product-approval,sha256:7d69f8f0353ec7651617b6bf967dada9411c181ae40bf623ac123a70ea3de471,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-009,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,uczyć się,editorial-reviewed,approved,product-approval,sha256:13ee3d7420a8f9a86b0a7559282fe70330c8f5bf1097a45db1c774e8badcd9ee,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-010,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,dziękować,editorial-reviewed,approved,product-approval,sha256:99d9f515c4ca032062837ced610e2702a04c4290573341008d4608dde4f8462e,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-011,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,dziękować,editorial-reviewed,approved,product-approval,sha256:48bc17f9e48601014aed03484c60c674ec7ddf9b308e7d022e07927c2e815af9,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-012,vp-p-placic-pay-za-accusative-goods-73c6760c091d,płacić,editorial-reviewed,approved,product-approval,sha256:23261f22a5b3d63a92c5f50e0f1b7a2e90a0dcefcdd1c2086bb6d9c738fa6cef,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-013,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,płacić,editorial-reviewed,approved,product-approval,sha256:30b29bde926cbb98d9e9e15d366cd63081d2157d752cd4f1b932404040d49431,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-014,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,używać,editorial-reviewed,approved,product-approval,sha256:ac7d9f5756a661e03295cc72795613d270b5d84e78c364ad1c8d63e211609f9b,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-015,vp-p-prosic-request-o-accusative-request-06d776fbfd20,prosić,editorial-reviewed,approved,product-approval,sha256:2b4a9b94f8a453386670c76226ce21e21454c97a152bb53962bf19181c9c43c5,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
