row,lemma,meaningKey,patternKey,patternId,releaseMode,authoredFrame,wsjpLocators,observedSkladnia,supportKind,licensingSchema,classification,referenceEvent,endState,rationale
1,szukać,seek,genitive-target,vp-p-szukac-seek-genitive-target-71dc6eff512c,solo-maintainer-reference-backed,genitive,wsjp.pl/haslo/podglad/13247/szukac/5088714 (sense 'zaginionego') - Skladnia,KOGO/CZEGO + (GDZIE) ; !? KOGO/CO ; !? za KIM/CZYM,EXACT-FRAME,KOGO/CZEGO + (GDZIE),VERIFIED,accept,reference-verified,"Genitive object is the primary schema; the accusative and za+instrumental variants carry the !? questionable marker, matching the recorded note."
2,pomagać,assist,dative-recipient,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,solo-maintainer-reference-backed,dative,wsjp.pl/haslo/podglad/25622/pomagac/2729386 (sense 'w nauce') - Skladnia,KOMU + w CZYM | przy CZYM ; BEZOKOLICZNIK + (KOMU) ; KOMU + CZYM,SUBFRAME,Polaczenia: bare Dative recipient class,VERIFIED,accept,reference-verified,WSJP PAN re-inspected 2026-08-14. Skladnia lists no KOMU-only schema; Polaczenia realises the bare Dative recipient as its own collocation class. Subframe support for the taught Dative government.
3,pomagać,assist,dative-recipient-w-locative-area,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,solo-maintainer-reference-backed,dative + w + locative,"wsjp.pl/haslo/podglad/25622/pomagac/2729386 (sense 'w nauce') - Skladnia, KOMU + w CZYM frame",KOMU + w CZYM | przy CZYM ; BEZOKOLICZNIK + (KOMU) ; KOMU + CZYM,EXACT-FRAME,KOMU + w CZYM | przy CZYM,VERIFIED,accept,reference-verified,"The authored two-slot frame is the first listed schema; only the w alternant is authored, which is a subset of the schema."
4,słuchać,listen-to,genitive-target,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,solo-maintainer-reference-backed,genitive,wsjp.pl/haslo/podglad/33318/sluchac/3873654 (sense 'muzyki') - Skladnia,KOGO/CZEGO ; jak ZDANIE | ZDANIE PYTAJNOZALEŻNE ; o CZYM,EXACT-FRAME,KOGO/CZEGO,VERIFIED,accept,reference-verified,Direct Genitive object under the perception sense.
5,słuchać,obey,genitive-object,vp-p-sluchac-obey-genitive-object-674adae2dec3,solo-maintainer-reference-backed,genitive,wsjp.pl/haslo/podglad/33318/sluchac/3873655 (sense 'rozkazow') - Skladnia,KOGO/CZEGO,EXACT-FRAME,KOGO/CZEGO,VERIFIED,accept,reference-verified,The obedience sense is numbered separately and repeats the Genitive frame.
6,czekać,wait-for,na-accusative-target,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,solo-maintainer-reference-backed,na + accusative,wsjp.pl/haslo/podglad/25838/czekac/5099645 (sense 'na autobus') - Skladnia,(na KOGO/CO) ; aż ZDANIE | ZDANIE PYTAJNOZALEŻNE ; żeby ZDANIE,EXACT-FRAME,(na KOGO/CO),VERIFIED,accept,reference-verified,"na + Accusative is the only nominal realisation; the schema parenthesises the slot as omissible, which the record now states."
7,potrzebować,need,genitive-object,vp-p-potrzebowac-need-genitive-object-437fafad17d2,solo-maintainer-reference-backed,genitive,wsjp.pl/haslo/podglad/38673/potrzebowac/4499711 (sense 'przyjaciol') - Skladnia,CZEGO ; BEZOKOLICZNIK,EXACT-FRAME,CZEGO,VERIFIED,accept,reference-verified,Bare Genitive object; the infinitive frame is listed separately.
8,uczyć się,study,genitive-subject-matter,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,solo-maintainer-reference-backed,genitive,wsjp.pl/haslo/podglad/16905/uczyc-sie/4762109 - Skladnia,CZEGO + (GDZIE) ; BEZOKOLICZNIK ; o CZYM ; u KOGO | od KOGO + (CZEGO) ; do CZEGO,EXACT-FRAME,CZEGO + (GDZIE),VERIFIED,accept,reference-verified,Genitive subject matter is the core schema.
9,uczyć się,study,infinitive-skill,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,solo-maintainer-reference-backed,infinitive,"wsjp.pl/haslo/podglad/16905/uczyc-sie/4762109 - Skladnia, BEZOKOLICZNIK frame",CZEGO + (GDZIE) ; BEZOKOLICZNIK ; o CZYM ; u KOGO | od KOGO + (CZEGO) ; do CZEGO,EXACT-FRAME,BEZOKOLICZNIK,VERIFIED,accept,reference-verified,The infinitive frame is separately listed in the same sense.
10,dziękować,thank,za-accusative-reason,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,solo-maintainer-reference-backed,za + accusative,wsjp.pl/haslo/podglad/22696/dziekowac - Skladnia,KOMU + za CO ; KOMU + że ZDANIE ; KOMU + CZYM ; MOWA WPROST,SUBFRAME,Definicja 'wdziecznosc za cos' + Polaczenia: za-CO class,VERIFIED,accept,reference-verified,WSJP PAN re-inspected 2026-08-14. The sense definition realises za cos with no recipient and Polaczenia lists a separate za-CO class. Subframe support for the taught reason complement.
