rank,rank_score,calculated_rank_score,utility_score,current_support_score,beginner_value_score,learning_payoff_score,determinism_score,context_reuse_score,contrast_value_score,ambiguity_score,review_burden_score,scoring_scale_version,tie_break_lemma_key,lemma,reflexive,aspect,cefr,meaning,pattern_families,pattern_labels,multiple_patterns_required,current_primary_card_ids,current_linked_card_ids,scenario_refs,topic_refs,book_list_present,book_index,book_evidence_scope,type_it,ambiguity_risk,source_confidence,native_review_required,review_status,selection_rationale
1,92,92,5,5,5,5,4,5,4,1,2,phase0-ranking-v2,pomagać,pomagać,false,imperfective; current card links pomóc,A1,help,direct-dative;contrast-set,pomagać + dative,false,a1-first-verbs-022,,scenarios-healthcare-appointments;scenarios-pharmacy;scenarios-work-university,a1-about-me;a1-first-verbs;b1-travel-problems;building-sentences-so-that;grammar-cases-dative;grammar-cases-genitive;people-numbers-professions;politeness-conditional;politeness-formal-address;verbs-modal-verbs,true,440,headword-index-only,good as a person-form cloze; bare English still needs context,low,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicit A1 Dative guidance and a strong contrast with English and with Accusative-taking support verbs.
2,92,92,5,5,5,5,4,5,4,1,2,phase0-ranking-v2,szukać,szukać,false,imperfective; current card links poszukać and contrasts znaleźć,A1,look for / seek,direct-genitive;contrast-set,szukać + genitive,false,a1-first-verbs-020;a2-work-education-010;b1-idioms-026,,scenarios-city-transport,a1-directions;a1-first-verbs;a2-apartment;a2-travel-holidays;a2-work-education;b1-healthy-lifestyle;b1-idioms;grammar-cases-genitive;politeness-diminutives,true,684,headword-index-only,contextual cloze; unsafe as a bare 'look for/find' translation,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Already an A1 card with explicit Genitive guidance; high-value contrast with znaleźć and repeated life-in-Poland use.
3,92,92,5,5,5,5,4,4,5,1,2,phase0-ranking-v2,słuchać,słuchać,false,imperfective; current card links posłuchać,A1,listen to,direct-genitive;contrast-set,słuchać + genitive,false,a1-free-time-005,,,a1-free-time;b1-character-emotions;b1-culture-entertainment;b1-healthy-lifestyle,true,643,headword-index-only,good with a concrete noun; contrast with słyszeć needs context,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicit A1 Genitive guidance and a high-payoff contrast with słyszeć + Accusative.
4,91,91,5,5,5,5,4,5,3,1,1,phase0-ranking-v2,czekać,czekać,false,imperfective; current card links poczekać,A1,wait for,preposition-accusative,czekać na + accusative,false,a1-first-verbs-021,,scenarios-pharmacy,a1-family-people;a1-first-verbs;a2-character-traits;a2-healthcare-appointments;a2-official-matters;b1-expressing-opinions;b1-idioms;building-sentences-relative-clauses;people-numbers-numerals;politeness-plural-formal-address;verbs-aspect;verbs-imperative;verbs-modal-verbs;verbs-verbs-of-motion,true,46,sample-detailed-entry,good with a complete sentence or cloze,low,repository-plus-sample-entry; still unapproved,true,research-candidate,"A1 card and source sample entry; na + Accusative is common, practical, and not recoverable from English alone."
5,89,89,5,4,5,5,4,5,4,1,2,phase0-ranking-v2,potrzebować,potrzebować,false,imperfective,A1,need,direct-genitive,potrzebować + genitive,false,,,scenarios-city-transport;scenarios-doctor;scenarios-gym;scenarios-pharmacy;scenarios-shops-services,a1-fruit-vegetables;a2-appearance-clothes;a2-official-matters;a2-pharmacy;a2-restaurant;people-numbers-comparison;podcasts-work-life,true,461,headword-index-only,good as a contextual noun-form cloze,low,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,"Repeated across pharmacy, official-matters, restaurant, comparison drills, and scenarios but lacks an explicit lexical verb card."
6,88,88,5,5,5,5,3,5,4,2,2,phase0-ranking-v2,dziękować,dziękować,false,imperfective; common perfective podziękować requires verification,A1,thank,direct-dative;multiple-complements,dziękować komuś za coś,false,,,scenarios-city-transport;scenarios-doctor;scenarios-gym;scenarios-healthcare-appointments;scenarios-neighbours;scenarios-pharmacy;scenarios-shops-services;scenarios-work-university,a1-about-me;a1-cafe;a1-first-phrases;a2-leisure-culture;a2-restaurant;b1-career;grammar-cases-dative;grammar-cases-vocative;people-numbers-every-all;politeness-conditional;politeness-formal-address;politeness-formal-writing;politeness-plural-formal-address,true,113,headword-index-only,good in a complete formula; not from a one-word English cue,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,"Extremely frequent in cards/scenarios and explicitly drilled for Dative, yet the two-complement pattern is scattered."
7,88,88,5,5,5,4,4,5,5,2,2,phase0-ranking-v2,płacić,płacić,false,imperfective; current cards link zapłacić,A1-A2,pay,direct-instrumental;preposition-accusative;multiple-patterns,płacić + instrumental (method);płacić za + accusative,true,a2-quantities-money-022;a2-quantities-money-026;b1-money-finance-013,,scenarios-city-transport;scenarios-pharmacy;scenarios-shops-services,a1-numbers-prices;a2-quantities-money;a2-restaurant;b1-money-finance;politeness-formal-address;politeness-plural-formal-address;verbs-modal-verbs,true,406,headword-index-only,good with explicit method/item context; do not reduce the lemma to one case,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Multiple explicit cards and pharmacy/shop/city scenarios; demonstrates why pattern data must allow more than one complement frame.
8,88,88,5,5,5,5,4,4,4,2,2,phase0-ranking-v2,uczyć się,uczyć się,true,imperfective; current verb lesson links nauczyć się,A1,learn / study,direct-genitive;reflexive,uczyć się + genitive,false,a2-work-education-007,,scenarios-work-university,a1-about-me;a1-free-time;a1-months-seasons;a2-character-traits;a2-work-education;b1-healthy-lifestyle;building-sentences-so-that;grammar-cases-instrumental;grammar-cases-locative;grammar-cases-nominative;grammar-cases-vocative;people-numbers-every-all;people-numbers-professions;verbs-future-tense;verbs-reflexive,true,718,headword-index-only,good with a subject noun; unsafe as bare 'study' without sense cue,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Already explained in the reflexive lesson and central to the app's own learner language; should become a first-class pattern.
9,87,87,4,5,4,5,4,5,5,1,2,phase0-ranking-v2,używać,używać,false,imperfective; current card links użyć,A2,use,direct-genitive;contrast-set,używać + genitive,false,a2-ecology-024,,scenarios-gym,a2-ecology;b1-media-technology,true,767,headword-index-only,good as a case-form cloze; distinguish from korzystać z,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicit A2 bilingual case guidance; unusually useful because English gives no signal for Genitive.
10,85,85,4,5,4,5,4,4,5,1,2,phase0-ranking-v2,interesować się,interesować się,true,imperfective; current card links zainteresować się,A2,be interested in,direct-instrumental;reflexive-contrast,interesować się + instrumental,false,a2-leisure-culture-002,,,a2-leisure-culture;b1-culture-entertainment;grammar-cases-instrumental;people-numbers-comparison,true,141,headword-index-only,good as a case-form cloze; do not merge with non-reflexive interesować,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicit A2 card plus Instrumental teaching and drills; reflexive/non-reflexive meaning boundary is pedagogically valuable.
11,85,85,4,5,4,5,4,5,5,2,2,phase0-ranking-v2,dbać,dbać,false,imperfective; current card links zadbać,A2,take care of / look after,preposition-accusative;contrast-set,dbać o + accusative,false,b1-healthy-lifestyle-012,,scenarios-doctor,b1-healthy-lifestyle,true,60,headword-index-only,good with a concrete care target; bare 'care' is unsafe,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicit B1 dbać o card and life-in-Poland utility; contrasts usefully with opiekować się and zależeć.
12,85,85,5,4,5,5,3,5,5,3,2,phase0-ranking-v2,prosić,prosić,false,imperfective; common perfective poprosić requires verification and separate modeling,A1,ask / request,multiple-complements;preposition-accusative;clause,prosić kogoś o coś,false,,,scenarios-city-transport;scenarios-doctor;scenarios-gym;scenarios-healthcare-appointments;scenarios-pharmacy;scenarios-shops-services,a1-about-me;a1-cafe;a1-colours-clothes;a1-directions;a1-first-phrases;a1-first-verbs;a1-food-basics;a1-fruit-vegetables;a1-numbers-prices;a2-directions-orientation;a2-ecology;a2-healthcare-appointments;a2-official-matters;a2-pharmacy;a2-public-transport;a2-quantities-money;a2-restaurant;b1-career;b1-character-emotions;b1-travel-problems;building-sentences-so-that;grammar-cases-accusative;grammar-cases-genitive;grammar-cases-instrumental;people-numbers-numerals;politeness-conditional;politeness-diminutives;politeness-formal-address;politeness-plural-formal-address;verbs-imperative;verbs-verbs-of-motion,true,488,headword-index-only,unsafe from bare English 'ask'; use a full pragmatic context or cloze,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,"Core request language in restaurant, shopping, politeness, and scenarios; requires separation from pytać."
13,83,83,4,5,4,5,4,4,5,2,2,phase0-ranking-v2,tęsknić,tęsknić,false,imperfective; current card links zatęsknić,A2,miss / long for,preposition-instrumental;contrast-set,tęsknić za + instrumental,false,b1-relationships-012,,,b1-character-emotions;b1-relationships;grammar-cases-vocative,true,696,headword-index-only,good as a pronoun/noun-form cloze; bare 'miss' can be ambiguous,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicit B1 card and vocative drill reuse; high emotional usefulness and a non-obvious preposition/case pairing.
14,82,82,5,5,5,3,4,5,5,3,2,phase0-ranking-v2,lubić,lubić,false,imperfective; polubić changes meaning/aspect and needs separate treatment,A1,like,direct-accusative;contrast-set,lubić + accusative,false,a1-first-verbs-018;b1-relationships-022,,,a1-colours-clothes;a1-first-verbs;a1-food-basics;a1-free-time;a2-appearance-clothes;a2-character-traits;a2-daily-life;b1-career;b1-culture-entertainment;b1-relationships;building-sentences-negation;building-sentences-relative-clauses;grammar-cases-accusative;grammar-cases-genitive;people-numbers-nationalities;verbs-present-tense,true,197,headword-index-only,unsafe from bare 'like'; distinguish from podobać się,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicit A1 Accusative card; a useful reference verb for the harder podobać się construction.
15,82,82,5,5,5,3,4,5,5,3,2,phase0-ranking-v2,znać,znać,false,"imperfective; poznać is a related change-of-state/meeting verb, not an automatic interchangeable partner",A1,know a person/place / be familiar with,direct-accusative;contrast-set,znać + accusative,false,a1-first-verbs-012,,,a1-first-phrases;a1-first-verbs;b1-relationships;building-sentences-negation;building-sentences-relative-clauses;building-sentences-so-that;grammar-cases-accusative;grammar-cases-genitive;people-numbers-nationalities,true,972,headword-index-only,unsafe from bare 'know'; contrast with wiedzieć and contextually with poznać,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicit A1 card and Accusative teaching; translation alone does not distinguish knowing facts from familiarity.
16,82,82,5,4,4,5,3,5,5,3,2,phase0-ranking-v2,rozmawiać,rozmawiać,false,imperfective; common perfective porozmawiać requires verification,A1-A2,talk / have a conversation,multiple-patterns;preposition-instrumental;preposition-locative,rozmawiać z + instrumental;rozmawiać o + locative,true,,,,a1-days-time;building-sentences-so-that;grammar-cases-instrumental;grammar-cases-locative;politeness-formal-address,true,603,headword-index-only,unsafe from bare 'talk'; safe as a z/o contrast cloze,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,"Both patterns are already taught in separate case topics, but no shared verb-centered explanation connects them."
17,82,82,5,5,4,5,3,4,5,3,3,phase0-ranking-v2,bać się,bać się,true,imperfective,A2,fear / be worried,direct-genitive;meaning-sensitive;preposition-accusative,bać się + genitive;bać się o + accusative,true,b1-character-emotions-010,,,a2-health-body;a2-travel-holidays;b1-character-emotions,true,5,sample-detailed-entry,unsafe from bare English; teach the meaning contrast before production,high,repository-plus-sample-entry; still unapproved,true,research-candidate,Explicit B1 Genitive card and source sample entry; the o + Accusative contrast is exactly the kind of meaning-dependent pattern Priority 7 must model.
18,82,82,5,5,5,4,3,5,5,4,2,phase0-ranking-v2,być,być,false,imperfective-only in current/source framing,A1,be / identify as,identity-instrumental;nominative-contrast;meaning-sensitive,być + instrumental (role/profession);to jest + nominative,true,a1-first-verbs-001;a2-appearance-clothes-002;b1-character-emotions-012;b1-idioms-012;podcasts-meaning-of-life-011,,scenarios-city-transport;scenarios-doctor;scenarios-gym;scenarios-healthcare-appointments;scenarios-neighbours;scenarios-pharmacy;scenarios-shops-services;scenarios-work-university,a1-about-me;a1-cafe;a1-colours-clothes;a1-days-time;a1-directions;a1-family-people;a1-first-phrases;a1-first-verbs;a1-food-basics;a1-fruit-vegetables;a1-months-seasons;a1-morning-routine;a1-numbers-prices;a1-weather-today;a2-apartment;a2-appearance-clothes;a2-character-traits;a2-daily-life;a2-describing-past;a2-directions-orientation;a2-ecology;a2-food-shopping;a2-health-body;a2-healthcare-appointments;a2-holidays-traditions;a2-home-family;a2-leisure-culture;a2-nature-animals;a2-official-matters;a2-pharmacy;a2-public-transport;a2-quantities-money;a2-restaurant;a2-travel-holidays;a2-weather-climate;a2-work-education;b1-career;b1-character-emotions;b1-corporate-slang;b1-culture-entertainment;b1-everyday-slang;b1-exclamations;b1-expressing-opinions;b1-getting-things-done;b1-healthy-lifestyle;b1-idioms;b1-money-finance;b1-proverbs;b1-relationships;b1-swearing;b1-travel-problems;b1-urban-party-slang;building-sentences-conditions;building-sentences-negation;building-sentences-relative-clauses;building-sentences-so-that;grammar-cases-dative;grammar-cases-genitive;grammar-cases-instrumental;grammar-cases-locative;grammar-cases-nominative;grammar-cases-vocative;people-numbers-adjectives;people-numbers-comparison;people-numbers-every-all;people-numbers-nationalities;people-numbers-numerals;people-numbers-professions;people-numbers-pronouns;podcasts-meaning-of-life;podcasts-toxic-productivity;podcasts-work-life;politeness-conditional;politeness-diminutives;politeness-formal-address;politeness-plural-formal-address;verbs-aspect;verbs-future-tense;verbs-imperative;verbs-past-tense;verbs-present-tense,true,25,sample-detailed-entry,safe only with the construction supplied,high,repository-plus-sample-entry; still unapproved,true,research-candidate,Foundational verb with extensive explicit case teaching; the to jest / jest kimś contrast prevents a misleading one-case rule.
19,81,81,5,5,5,4,3,5,5,4,3,phase0-ranking-v2,mówić,mówić,false,imperfective; current card links powiedzieć,A1,say / speak / tell,dative-recipient;multiple-complements;clause,"mówić komuś coś;mówić komuś, że...",true,a1-first-verbs-009,,,a1-about-me;a1-first-phrases;a1-first-verbs;a2-describing-past;a2-healthcare-appointments;b1-expressing-opinions;b1-idioms;b1-relationships;building-sentences-conditions;building-sentences-negation;building-sentences-relative-clauses;building-sentences-so-that;grammar-cases-dative;people-numbers-comparison;people-numbers-nationalities;politeness-conditional;politeness-formal-address;verbs-aspect;verbs-imperative;verbs-present-tense,true,226,headword-index-only,unsafe from bare say/speak/tell; use a recipient/content frame,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Core A1 verb and Dative trigger; multiple English verbs map onto meaning-specific Polish constructions.
20,79,79,5,5,5,2,5,5,3,2,1,phase0-ranking-v2,mieć,mieć,false,imperfective-only in current/source framing,A1,have,direct-accusative;reference-set,mieć + accusative,false,a1-first-verbs-002;a2-appearance-clothes-003;b1-character-emotions-002;b1-idioms-010;b1-idioms-023;b1-swearing-009;b1-swearing-026;podcasts-meaning-of-life-002,,scenarios-doctor;scenarios-gym;scenarios-healthcare-appointments;scenarios-neighbours;scenarios-pharmacy;scenarios-shops-services;scenarios-work-university,a1-about-me;a1-colours-clothes;a1-days-time;a1-directions;a1-family-people;a1-first-phrases;a1-first-verbs;a1-fruit-vegetables;a1-months-seasons;a1-morning-routine;a1-numbers-prices;a2-apartment;a2-appearance-clothes;a2-character-traits;a2-describing-past;a2-directions-orientation;a2-ecology;a2-food-shopping;a2-health-body;a2-healthcare-appointments;a2-holidays-traditions;a2-home-family;a2-leisure-culture;a2-nature-animals;a2-official-matters;a2-pharmacy;a2-public-transport;a2-quantities-money;a2-restaurant;a2-travel-holidays;a2-work-education;b1-career;b1-character-emotions;b1-corporate-slang;b1-everyday-slang;b1-expressing-opinions;b1-getting-things-done;b1-idioms;b1-media-technology;b1-money-finance;b1-proverbs;b1-swearing;b1-travel-problems;b1-urban-party-slang;building-sentences-conditions;building-sentences-negation;building-sentences-relative-clauses;grammar-cases-accusative;grammar-cases-genitive;grammar-cases-nominative;grammar-cases-vocative;people-numbers-comparison;people-numbers-every-all;people-numbers-numerals;people-numbers-professions;podcasts-meaning-of-life;podcasts-toxic-productivity;podcasts-work-life;politeness-diminutives;politeness-formal-address;politeness-formal-writing;politeness-plural-formal-address;verbs-past-tense;verbs-present-tense;verbs-reflexive,true,214,headword-index-only,good as a reference Accusative cloze; many idiomatic mieć phrases need separate meanings,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Foundational A1 reference verb; lower incremental payoff than non-obvious patterns but essential for comparison and negation behavior.
21,79,79,5,4,5,3,4,4,5,2,2,phase0-ranking-v2,widzieć,widzieć,false,imperfective; zobaczyć is the common result/perfective relation,A1,see,direct-accusative;contrast-set,widzieć + accusative,false,,,scenarios-city-transport;scenarios-neighbours;scenarios-work-university,a1-about-me;a1-first-phrases;a2-describing-past;a2-nature-animals;b1-character-emotions;b1-media-technology;building-sentences-negation;building-sentences-so-that;grammar-cases-accusative;grammar-cases-genitive,true,778,headword-index-only,good as an animacy-sensitive Accusative cloze,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Explicitly named in Accusative drills and present as inflected vocabulary; reference point for słyszeć/słuchać-style perception contrasts.
22,79,79,5,3,4,5,3,5,5,3,2,phase0-ranking-v2,pytać,pytać,false,imperfective; common perfective zapytać requires verification,A1-A2,ask a question / ask about,multiple-complements;preposition-accusative,pytać kogoś o coś,false,,,scenarios-city-transport;scenarios-gym;scenarios-work-university,a1-about-me;a1-first-verbs;a2-describing-past;a2-healthcare-appointments;b1-everyday-slang;building-sentences-conditions;building-sentences-negation;building-sentences-so-that;grammar-cases-accusative;grammar-cases-vocative;people-numbers-professions;podcasts-meaning-of-life;podcasts-work-life;politeness-formal-writing,true,573,headword-index-only,unsafe from bare English 'ask'; contrast explicitly with prosić,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,"Accusative case teaching names pytać o, and everyday directions/appointments need it; current content is implicit rather than verb-centered."
23,76,76,5,4,4,4,3,4,5,3,2,phase0-ranking-v2,myśleć,myśleć,false,imperfective; pomyśleć is a common perfective relation requiring review,A2,think about,preposition-locative;clause;meaning-sensitive,myśleć o + locative,false,,,,b1-expressing-opinions;grammar-cases-locative;people-numbers-comparison;podcasts-meaning-of-life;podcasts-work-life,true,232,headword-index-only,unsafe from bare 'think'; safe as an o + Locative cloze,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,"Locative teaching and opinion content already use it; future modeling must keep myśleć o apart from myśleć, że."
24,75,75,5,4,4,3,4,5,5,3,3,phase0-ranking-v2,znaleźć,znaleźć,false,perfective; current szukać card contrasts it with imperfective znajdować/find semantics,A2,find,direct-accusative;contrast-set;negation-interaction,znaleźć + accusative (affirmative direct object),false,,a1-first-verbs-020;a2-work-education-010;b1-idioms-026,scenarios-city-transport,a2-describing-past;a2-work-education;b1-media-technology;building-sentences-negation,false,,not-in-headword-index,use an aspect-aware sentence; unsafe as bare 'find/look for',high,repository evidence only; absent from source index and requires independent verification,true,research-candidate,Existing szukać contrast and negation drill make it a useful comparison verb; it is absent from the source headword index and needs independent verification.
25,74,74,5,3,4,5,3,4,5,4,3,phase0-ranking-v2,podobać się,podobać się,true,source index labels the headword NDK/DK; modern treatment requires review,A2,appeal to / be liked by,dative-experiencer;meaning-sensitive,coś podoba się komuś,false,,,,b1-culture-entertainment;b1-expressing-opinions,true,425,headword-index-only,unsafe from bare 'like'; use role-labeled or sentence-context drills,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Existing B1 example explicitly names the Dative; it is a major English-to-Polish argument-structure reversal.
26,72,72,4,3,3,5,4,4,4,2,2,phase0-ranking-v2,ufać,ufać,false,imperfective; zaufać is a common change-of-state relation requiring review,A2,trust,direct-dative;contrast-set,ufać + dative,false,,,,b1-relationships;building-sentences-negation;grammar-cases-dative,true,727,headword-index-only,good as a pronoun/person-form cloze,medium,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Named as a Dative trigger and valuable for real relationships; no explicit lexical verb card currently consolidates it.
27,70,70,4,4,3,5,3,4,5,4,3,phase0-ranking-v2,wierzyć,wierzyć,false,imperfective; uwierzyć is a common result relation requiring review,A2,believe / believe in,direct-dative;preposition-accusative;meaning-sensitive,wierzyć + dative;wierzyć w + accusative,true,,,,b1-everyday-slang;b1-exclamations;grammar-cases-dative,true,781,headword-index-only,unsafe from bare 'believe'; require the intended meaning,high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,"Dative drill coverage exists, and the meaning-dependent w + Accusative frame makes it a strong multi-pattern candidate."
28,69,69,4,1,3,5,4,5,5,2,3,phase0-ranking-v2,opiekować się,opiekować się,true,imperfective; common perfective zaopiekować się requires verification,A2,look after / care for,direct-instrumental;contrast-set,opiekować się + instrumental,false,,,,,true,360,headword-index-only,good with a specific care target; bare 'care for' needs a sense cue,medium,headword-only plus provisional analysis; detailed pattern requires independent verification,true,research-candidate,High practical family/health value and a useful contrast with dbać o; repository coverage is currently weak.
29,69,69,4,3,3,5,3,4,5,3,3,phase0-ranking-v2,zajmować się,zajmować się,true,imperfective; common perfective zająć się requires verification,A2,deal with / be occupied with,direct-instrumental;reflexive-contrast;meaning-sensitive,zajmować się + instrumental,false,,,,grammar-cases-instrumental,true,897,headword-index-only,use a contextual cloze; distinguish non-reflexive zajmować 'take up',high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,Named in Instrumental teaching and useful for work introductions; reflexive/non-reflexive polysemy tests the architecture.
30,58,58,4,2,2,5,2,4,5,4,4,phase0-ranking-v2,zależeć,zależeć,false,imperfective,A2-B1,depend on / matter to,preposition-genitive;dative-experiencer;preposition-locative;meaning-sensitive,zależeć od + genitive;zależeć komuś na + locative,true,,,,b1-expressing-opinions;building-sentences-so-that,true,904,headword-index-only,recognition first; unsafe from bare 'depend/care/matter',high,repository-plus-headword-only; detailed pattern requires independent verification,true,research-candidate,"Strong architecture stress-test with two high-value constructions; current coverage is only a żeby example, so release risk is higher."
