example_id,lemma,pattern_id,exact_polish,normalized_utterance,classification,manifest_key,manifest_polish,existing_source_context,mp3_path,mp3_exists,mp3_nonempty,key_matches_sha256,normalization_collision,duplicate_utterance_relationship,tts_risk,special_issue,note
vp-e-bac-sie-be-afraid-of-genitive-stimulus-spiders-and-flying-05ebb1adaeeb,bać się,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,Boję się pająków i latania samolotem.,Boję się pająków i latania samolotem.,exact-existing-reuse,e13ef526b8af,Boję się pająków i latania samolotem.,card:b1-character-emotions-010:ex,audio/e13ef526b8af.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-bac-sie-worry-about-o-accusative-concern-worried-about-grandad-6d3fcb1cfed8,bać się,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,"Boimy się o dziadka, bo mieszka sam.","Boimy się o dziadka, bo mieszka sam.",new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,comma/clause prosody,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-byc-predicate-role-instrumental-predicate-first-year-student-181cc5a0b335,być,vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,Jestem studentem pierwszego roku.,Jestem studentem pierwszego roku.,exact-existing-reuse,108102507232,Jestem studentem pierwszego roku.,card:a2-work-education-016:ex,audio/108102507232.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-czekac-wait-for-na-accusative-target-waiting-for-bus-c7204269b040,czekać,vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,Czekam na autobus.,Czekam na autobus.,exact-existing-reuse,f1a0ad1d59c4,Czekam na autobus.,card:a1-first-verbs-021:ex,audio/f1a0ad1d59c4.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-dbac-take-care-of-o-accusative-target-care-every-day-171833c3174d,dbać,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,Codziennie dbam o kondycję.,Codziennie dbam o kondycję.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-dziekowac-thank-dative-recipient-za-accusative-thanks-for-cooperation-92656ebcc371,dziękować,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,Dziękuję siostrze za kolację.,Dziękuję siostrze za kolację.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-dziekowac-thank-za-accusative-reason-thanks-for-help-edd6c7bb9169,dziękować,vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,Dziękuję za pomoc.,Dziękuję za pomoc.,exact-existing-reuse,96f694b78341,Dziękuję za pomoc.,card:a1-first-phrases-006:ex,audio/96f694b78341.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-interesowac-sie-be-interested-in-instrumental-topic-politics-and-sport-9678fabc81e9,interesować się,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,Interesuję się polityką i sportem.,Interesuję się polityką i sportem.,exact-existing-reuse,7a8768374331,Interesuję się polityką i sportem.,card:a2-leisure-culture-002:ex,audio/7a8768374331.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-lubic-enjoy-thing-or-activity-accusative-object-polish-food-857835bb5b81,lubić,vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,Lubię polskie jedzenie.,Lubię polskie jedzenie.,exact-existing-reuse,b6974d036e75,Lubię polskie jedzenie.,card:a1-first-verbs-018:ex,audio/b6974d036e75.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-lubic-enjoy-thing-or-activity-infinitive-activity-reading-before-sleep-d573db6f04d1,lubić,vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,Lubię czytać przed snem.,Lubię czytać przed snem.,exact-existing-reuse,b88a201a7fce,Lubię czytać przed snem.,card:a1-free-time-003:ex,audio/b88a201a7fce.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-miec-possess-accusative-object-two-cats-and-a-dog-2ce2746c0cfc,mieć,vp-p-miec-possess-accusative-object-7181f802bd57,Mam dwa koty i psa.,Mam dwa koty i psa.,exact-existing-reuse,041cec21894c,Mam dwa koty i psa.,card:a1-first-verbs-002:ex,audio/041cec21894c.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-mowic-tell-content-dative-recipient-accusative-content-telling-parents-the-truth-cc31a97d5386,mówić,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,Zawsze mówię rodzicom prawdę.,Zawsze mówię rodzicom prawdę.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-mowic-tell-content-dative-recipient-ze-clause-telling-you-its-a-good-idea-ed20965f4251,mówić,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,"Mówię ci, że to dobry pomysł.","Mówię ci, że to dobry pomysł.",new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,comma/clause prosody,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-myslec-think-about-o-locative-topic-thinking-about-the-exam-10ede796a5be,myśleć,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,Ciągle myślę o egzaminie.,Ciągle myślę o egzaminie.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,moderate,none,Human QA should check egzaminie
vp-e-opiekowac-sie-care-for-instrumental-object-caring-for-a-sick-grandmother-5d1ea100cdfa,opiekować się,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,Dziś opiekuję się młodszą siostrą.,Dziś opiekuję się młodszą siostrą.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-placic-pay-instrumental-method-paying-cash-e1eba53e074b,płacić,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,Płacę gotówką.,Płacę gotówką.,exact-existing-reuse,1a8c5e4668d4,Płacę gotówką.,card:a1-numbers-prices-017:ex,audio/1a8c5e4668d4.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-placic-pay-za-accusative-goods-how-much-for-everything-dd5e5c88cfd4,płacić,vp-p-placic-pay-za-accusative-goods-73c6760c091d,Płacę za kawę i gazetę.,Płacę za kawę i gazetę.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-honest-opinion-about-the-film-c11dccc4e223,podobać się,vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,"Szczerze mówiąc, nie podoba mi się ten film.","Szczerze mówiąc, nie podoba mi się ten film.",exact-existing-reuse,dcd9e0b25b6d,"Szczerze mówiąc, nie podoba mi się ten film.",card:b1-expressing-opinions-004:ex,audio/dcd9e0b25b6d.mp3,true,true,true,none,none,moderate,comma/clause prosody,Human QA should check Szczerze
vp-e-pomagac-assist-dative-recipient-helping-a-neighbour-da22c7a69e27,pomagać,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,Często pomagam sąsiadce.,Często pomagam sąsiadce.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-pomagac-assist-dative-recipient-w-locative-area-helping-with-maths-adfee546f29a,pomagać,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,Pomagam bratu w matematyce.,Pomagam bratu w matematyce.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,moderate,none,Human QA should check matematyce
vp-e-potrzebowac-need-genitive-object-certificate-from-work-9bb3306bf0ee,potrzebować,vp-p-potrzebowac-need-genitive-object-437fafad17d2,Potrzebuję zaświadczenia z pracy.,Potrzebuję zaświadczenia z pracy.,exact-existing-reuse,860fd33340cd,Potrzebuję zaświadczenia z pracy.,card:a2-official-matters-019:ex,audio/860fd33340cd.mp3,true,true,true,none,none,moderate,none,Human QA should check zaświadczenia
