rowId,lemma,aspect,meaningKey,intendedMeaningEn,meaningScope,patternId,canonicalPattern,relationType,cefrRecognition,cefrProduction,teachingStatus,learnerExplanationEn,predictedDistractors,currentExamplePolish,currentExampleEnglish,currentExampleOrigin,currentExampleRepositorySource,referenceBackedFacts,repositorySearchOutcome,candidateExamplePolish,candidateExampleEnglish,candidateExampleOrigin,candidateExampleRepositorySource
P7-NR-007,potrzebować,imperfective,need,need,"Requiring a thing or person that the situation makes necessary. Excludes the modal 'have to' use, which is marginal in contemporary neutral Polish.",vp-p-potrzebowac-need-genitive-object-437fafad17d2,genitive (object),lexical-frame,A1,A2,active-production,What you need goes in the Genitive after potrzebować: ask kogo? czego?,NOT: potrzebuję zaświadczenie -> Potrzebować takes the Genitive: potrzebuję zaświadczenia.,Potrzebuję zaświadczenia z pracy.,I need a certificate from work.,repository-reuse,card:a2-official-matters-019.ex,reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/38673/potrzebowac/4499711 (sense 'przyjaciol') - Skladnia | repository [complement-frame] data-a2.js#a2-official-matters-019,reusable repository sentence available,Czy potrzebuję antybiotyku?,Do I need an antibiotic?,repository-reuse,card:a2-pharmacy-020.ex
P7-NR-011,dziękować,imperfective,thank,thank,"Expressing gratitude. The reason is za + Accusative; the person thanked, when named, is Dative.",vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,dative (recipient) + za + accusative (topic),lexical-frame,A2,B1,active-production,Name the person in the Dative and the reason with za + Accusative: dziękuję komuś za coś.,NOT: dziękuję mamę za pomoc -> The person thanked is Dative: dziękuję mamie za pomoc.,Dziękuję wszystkim za owocną współpracę.,Thank you all for the fruitful cooperation.,repository-reuse,card:b1-career-015.ex,"reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/22696/dziekowac - Skladnia, KOMU + za CO frame | repository [complement-frame] data-grammar.js#grammar-cases-dative-005",no reusable repository sentence found,Dziękuję siostrze za kolację.,Thanks to my sister for dinner.,editorial-generated,
P7-NR-012,płacić,imperfective,pay,pay,Handing over money in an everyday transaction. Covers what is paid for and how payment is made; excludes the figurative 'pay with one's health' sense.,vp-p-placic-pay-za-accusative-goods-73c6760c091d,za + accusative (target),lexical-frame,A1,A2,active-production,Use za + Accusative for what you are paying for: płacę za bilet.,,Ile płacę za wszystko?,How much am I paying for everything?,repository-reuse,card:a1-numbers-prices-015.ex,reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/15760/placic/1877686 (sense 'pieniedzmi') - Skladnia | repository [complement-frame] data-a1.js#a1-numbers-prices-015,no reusable repository sentence found,Płacę za kawę i gazetę.,I am paying for a coffee and a newspaper.,editorial-generated,
P7-NR-014,używać,imperfective,use,use,Employing a thing as a tool or means to do something.,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,genitive (object),lexical-frame,A2,A2,active-production,What you use goes in the Genitive after używać: ask czego?,NOT: używam tę aplikację -> Używać takes the Genitive: używam tej aplikacji.,Używam tej aplikacji do nauki języków.,I use this app for learning languages.,repository-reuse,card:b1-media-technology-001.ex,reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/15960/uzywac/4070089 - Skladnia | repository [complement-frame] data-b1.js#b1-media-technology-001,current example is repository-reuse; alternates exist,,,,
P7-NR-018,dbać,imperfective,take-care-of,take care of; look after,"Making a sustained effort for someone's or something's good condition, including one's own health and appearance.",vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,o + accusative (target),lexical-frame,B1,B1,active-production,Use o + Accusative for what you take care of: dbam o zdrowie.,,Warto dbać o siebie każdego dnia.,It is worth taking care of yourself every day.,repository-reuse,card:b1-healthy-lifestyle-012.ex,reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/22594/dbac - Skladnia | repository [complement-frame] data-b1.js#b1-healthy-lifestyle-012,no reusable repository sentence found,Codziennie dbam o kondycję.,I take care of my fitness every day.,editorial-generated,
P7-NR-031,pytać,imperfective,ask-for-information,ask; ask about,Addressing someone in order to obtain information. Excludes the classroom examine sense.,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,o + accusative (topic),lexical-frame,A2,A2,active-production,Use o + Accusative for what you ask about: pytam o cenę.,,,,,,reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/33004/pytac/4871680 (sense 'zeby sie dowiedziec') - Skladnia,no reusable repository sentence found,Zawsze pytam o cenę.,I always ask about the price.,editorial-generated,
P7-NR-032,pytać,imperfective,ask-for-information,ask; ask about,Addressing someone in order to obtain information. Excludes the classroom examine sense.,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,accusative (interlocutor) + o + accusative (topic),lexical-frame,A2,B1,active-production,The person asked is Accusative and the topic takes o + Accusative.,NOT: pytam mamie o adres -> The person asked is Accusative: pytam mamę o adres.,,,,,"reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/33004/pytac/4871680 (sense 'zeby sie dowiedziec') - Skladnia, KOGO + o KOGO/CO frame",no reusable repository sentence found,Pytam koleżankę o nową restaurację.,I am asking my friend about the new restaurant.,editorial-generated,
P7-NR-033,widzieć,imperfective,perceive-visually,see,"Perceiving something with the eyes by looking at it. Not the separately numbered encounter/meet sense, and not the figurative understand sense.",vp-p-widziec-perceive-visually-accusative-object-80b697e51432,accusative (object),lexical-frame,A1,A1,active-production,Widzieć takes a plain Accusative object: widzę kota.,,Widziałam wczoraj twoją siostrę.,I saw your sister yesterday.,repository-reuse,card:a2-describing-past-005.ex,reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/20375/widziec/4938152 (sense 'dziure') - Skladnia | repository [complement-frame] data-grammar.js#grammar-cases-accusative-002,no reusable repository sentence found,Czy widzisz tę górę na horyzoncie?,Do you see that mountain on the horizon?,editorial-generated,
P7-NR-035,myśleć,imperfective,think-about,think about,"Directing attention to a topic. Not the opinion sense (sądzić, uważać) and not the intention sense (zamierzać).",vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,o + locative (topic),lexical-frame,A2,A2,active-production,Use o + Locative for what you think about: myślę o wakacjach.,NOT: myślę o wakacje -> After o in this meaning use the Locative: myślę o wakacjach.,,,,,reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/17097/myslec/4692666 (sense 'logicznie') - Skladnia | repository [complement-frame] data-grammar.js#grammar-cases-locative-006,no reusable repository sentence found,Ciągle myślę o egzaminie.,I keep thinking about the exam.,editorial-generated,
P7-NR-036,znaleźć,perfective,find,find,"Successfully locating something looked for. The result counterpart of szukać, but a separate lemma with a different case.",vp-p-znalezc-find-accusative-object-d80c52211462,accusative (object),lexical-frame,A2,B1,active-production,"Znaleźć takes the Accusative, unlike szukać, which takes the Genitive.",NOT: znaleźć mieszkania -> Znaleźć takes the Accusative: znaleźć mieszkanie. Only szukać uses the Genitive.,W końcu udało mi się znaleźć mieszkanie.,I finally managed to find a flat.,repository-reuse,card:a2-describing-past-022.ex,reviewState=reference-verified; releaseMode=solo-maintainer-reference-backed; reference-verification accepts=1; wsjp-pan [complement-frame] wsjp.pl/haslo/podglad/6372/znalezc/5029085 (sense 'prace') - Skladnia | repository [complement-frame] data-a2.js#a2-describing-past-022,no reusable repository sentence found,W końcu znalazłam nową pracę.,I finally found a new job.,editorial-generated,
