provisional_rank,lemma,phase0_rank,phase0_score,provisional_status,cefr_hypothesis,aspect,aspect_partner,aspect_partner_status,reflexive,repository_evidence_summary,coverage_opportunity,representation_fit,motion_flag,meaning_sensitive_flag,phase3_risk,phase3_verification_question,replacement_priority,selection_rationale
1,chcieć,1,38,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-003; verbs-modal-verbs-004,+ infinitive; żeby-clause [infinitive/clause],compatible,no,yes,medium,"Does contemporary evidence support + infinitive; żeby-clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
2,móc,2,28,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-004; verbs-modal-verbs-001,+ infinitive; permission question [infinitive],compatible,no,no,low,"Does contemporary evidence support + infinitive; permission question as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 5/5; repository-frequency signal 2/5; construction-learning value 3/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
3,musieć,3,38,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-005; verbs-modal-verbs-002,+ infinitive [infinitive],compatible,no,no,low,"Does contemporary evidence support + infinitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 3/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
4,robić,4,30,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-008; verbs-aspect-001,Accusative object; robić + activity [accusative],compatible,no,yes,medium,"Does contemporary evidence support Accusative object; robić + activity as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 5/5; repository-frequency signal 5/5; construction-learning value 3/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
5,iść,5,34,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-006; verbs-verbs-of-motion-001,do + Genitive; na + Accusative; infinitive purpose only if supported [preposition+genitive/accusative],probably compatible - verify,yes,yes,high,"Which proposed expressions, if any, are governed for the selected meaning rather than free destination, route, time, or purpose adjuncts?",medium,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
6,chodzić,6,35,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,verbs-verbs-of-motion-002; a1-free-time-014,do + Genitive; na + Accusative [preposition+genitive/accusative],probably compatible - verify,yes,yes,high,Does an architecture-compatible governed construction independently justify the slot after ordinary do/na destination and frequency adjuncts are removed?,medium,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
7,jechać,7,36,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-007; verbs-verbs-of-motion-003,do + Genitive; Instrumental vehicle [preposition+genitive; instrumental],probably compatible - verify,yes,yes,high,"Is any proposed slot governed, especially the Instrumental vehicle phrase, or is the value primarily lexical motion teaching?",medium,"Everyday usefulness 5/5; repository-frequency signal 5/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
8,jeździć,8,36,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,verbs-verbs-of-motion-004; a2-ecology-025,do + Genitive; Instrumental vehicle [preposition+genitive; instrumental],probably compatible - verify,yes,yes,high,"Is any proposed case/preposition expression selected rather than a destination, route, frequency, or vehicle adjunct?",medium,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
9,dojść,9,36,provisional - Phase 3 verification required,A2,perfective,,no in-pool partner identified,no,a1-directions-014; verbs-motion-prefixes-005,do + Genitive; dojść do + result/conclusion [preposition+genitive],probably compatible - verify,yes,yes,high,"Does contemporary evidence support the abstract result/conclusion do + Genitive frame, separately from literal destination motion?",medium,"Everyday usefulness 5/5; repository-frequency signal 5/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
10,dojechać,10,39,provisional - Phase 3 verification required,A2,perfective,,no in-pool partner identified,no,a2-directions-orientation-001; scenarios-city-transport,do + Genitive; Instrumental vehicle [preposition+genitive; instrumental],probably compatible - verify,yes,no,high,"Is the endpoint expression governed/selective, and is Instrumental vehicle only a free adjunct?",medium,"Everyday usefulness 5/5; repository-frequency signal 5/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
11,rozumieć,11,37,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-010; verbs-present-tense,Accusative content/person; clause [accusative/clause],compatible,no,yes,medium,"Does contemporary evidence support Accusative content/person; clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 5/5; repository-frequency signal 3/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
12,wiedzieć,12,37,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-011; verbs-present-tense-007,że/czy/interrogative clause [clause],compatible,no,no,low,"Does contemporary evidence support że/czy/interrogative clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
13,jeść,13,36,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-013; verbs-aspect-005,Accusative object; Genitive under negation is grammar-owned [accusative],compatible,no,no,low,"Does contemporary evidence support Accusative object; Genitive under negation is grammar-owned as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 3/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
14,pić,14,35,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-014,Accusative object [accusative],compatible,no,no,low,"Does contemporary evidence support Accusative object as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 5/5; repository-frequency signal 3/5; construction-learning value 3/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
15,kupować,15,40,provisional - Phase 3 verification required,A1,imperfective,kupić,selected provisional,no,a1-first-verbs-015; a2-ecology-021,Accusative goods; dla + Genitive beneficiary [accusative; preposition+genitive],probably compatible - verify,no,yes,medium,"Does contemporary evidence support Accusative goods; dla + Genitive beneficiary for kupować, and does kupować independently justify a slot apart from kupić without pattern inheritance?",medium,Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
16,kupić,16,39,provisional - Phase 3 verification required,A1,perfective,kupować,selected provisional,no,grammar-cases-dative-013; a2-food-shopping-004,Accusative goods; Dative recipient in give/buy-for contexts only if supported [accusative/dative],probably compatible - verify,no,yes,medium,"Does contemporary evidence support Accusative goods; Dative recipient in give/buy-for contexts only if supported for kupić, and does kupić independently justify a slot apart from kupować without pattern inheritance?",medium,Everyday usefulness 5/5; repository-frequency signal 5/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
17,mieszkać,17,40,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-016; verbs-present-tense-001,w + Locative; z + Instrumental co-resident [preposition+locative/instrumental],probably compatible - verify,no,yes,medium,"Does contemporary evidence support w + Locative; z + Instrumental co-resident as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
18,pracować,18,36,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-017; verbs-future-tense-002,nad + Instrumental and w + Locative only if verified; jako + Nominative is outside the locked model [preposition+locative/instrumental; jako+Nominative not representable],model-fit concern,no,yes,critical,"Is there an independently useful governed nad + Instrumental or other architecture-compatible frame, once jako + Nominative and ordinary work-location adjuncts are excluded?",high,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 5/5; retained only to research an independently useful compatible hypothesis, with the incompatible core use excluded."
19,kochać,19,38,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-first-verbs-019; grammar-cases-accusative-007,Accusative person/thing [accusative],compatible,no,no,low,"Does contemporary evidence support Accusative person/thing as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 5/5; repository-frequency signal 4/5; construction-learning value 3/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
20,dawać,20,34,provisional - Phase 3 verification required,A2,imperfective,dać,selected provisional,no,grammar-cases-dative-001; a2-holidays-traditions-007,Dative recipient + Accusative thing [dative+accusative],compatible,no,no,medium,"Does contemporary evidence support Dative recipient + Accusative thing for dawać, and does dawać independently justify a slot apart from dać without pattern inheritance?",medium,Everyday usefulness 5/5; repository-frequency signal 2/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
21,dać,21,30,provisional - Phase 3 verification required,A2,perfective,dawać,selected provisional,no,grammar-cases-dative-002; verbs-motion-prefixes-012,Dative recipient + Accusative thing [dative+accusative],compatible,no,yes,medium,"Does contemporary evidence support Dative recipient + Accusative thing for dać, and does dać independently justify a slot apart from dawać without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
22,brać,22,31,provisional - Phase 3 verification required,A2,imperfective,wziąć,selected provisional,no,a1-morning-routine-005; scenarios-pharmacy,Accusative object; brać udział w + Locative as separate meaning [accusative; preposition+locative],compatible,no,yes,medium,"Does contemporary evidence support Accusative object; brać udział w + Locative as separate meaning for brać, and does brać independently justify a slot apart from wziąć without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 5/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
23,wziąć,23,29,provisional - Phase 3 verification required,A2,perfective,brać,selected provisional,no,a2-restaurant-019; scenarios-gym,Accusative object; wziąć udział w + Locative [accusative; preposition+locative],compatible,no,yes,medium,"Does contemporary evidence support Accusative object; wziąć udział w + Locative for wziąć, and does wziąć independently justify a slot apart from brać without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 4/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
