patternId,lemma,meaningKey,priorState,finalState,reviewerRef,reviewedAt,scopeVersion,tier3ScopeDigest,supersededDigest,supersededReviewedAt,tier1Current,tier2Current,contentChanged
vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,bać się,be-afraid-of,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:94d608261c88168ebe30c08b028fce5bafcfb3dd225eb32e3982902b7b84fe58,sha256:a7f666441f7ad0bac6f4a26a6e80fe41ea9c635b6ebeaea03e0ab25a25607ac0,2026-08-17,yes,yes,no
vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,bać się,worry-about,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:ba58c5f82966f80e23c59ba46bc7eade12d875fe241b52095cb9a188f1eba8d0,sha256:001086f30b7487e8d6149d3db165be3ff4c26b0f1bfa8522a68f3b56b423fea6,2026-08-17,yes,yes,no
vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,być,predicate-role,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:c8adbe8db5636e2e0736e886d17250fd1cafd7f073fb07ba84008e3689345e92,sha256:e661ea4801e087f0781c02a3408fa68e3510e1f0c2374d2c9a629e4a9554e990,2026-08-17,yes,yes,no
vp-p-czekac-wait-for-na-accusative-target-3c9ac823ecde,czekać,wait-for,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:9a27b8759c484a73c8ced5ffcf5987dc69b4bd3a3e6159dd07526219858d1f6e,sha256:6db3e8ee2b41aa798f4b6bd0fa8b6819f285a5d7e055a704f4c68c7c8a2c5e6d,2026-08-17,yes,yes,no
vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,dbać,take-care-of,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:0600cbc63b87ec9ecb40e93e5cb03c0d0c21537702237280e5f770ee62411c3e,sha256:695241db94fb86a1a01629a64441a604daf3da762c8c62986895e29fea0beb41,2026-08-17,yes,yes,no
vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,dziękować,thank,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:8e5d111e269ab5021f25e1580a5fc82e32cd705f3e14c2cd2499a37a3607fc31,sha256:48bc17f9e48601014aed03484c60c674ec7ddf9b308e7d022e07927c2e815af9,2026-08-17,yes,yes,no
vp-p-dziekowac-thank-za-accusative-reason-fd31baa1b1ad,dziękować,thank,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:62664768342b3c0436314d16814da7897a576e00a11f4501ee84d2a856d138dd,sha256:99d9f515c4ca032062837ced610e2702a04c4290573341008d4608dde4f8462e,2026-08-17,yes,yes,no
vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,interesować się,be-interested-in,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:dd531be3aa11274048d25f2d2f6caf1cb675b390e312a586741980fee1ced940,sha256:f3680a2819261c5fdce2b5c8edbeb742443b8a3d615ad76d1b44502383a98f65,2026-08-17,yes,yes,no
vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,lubić,enjoy-thing-or-activity,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:e3db5179fe5a230e56c1439c738fc4b3690b6d2c93e53ed5b219525234ad6d50,sha256:c54a7cfe7429e84c7394d6ba5670a17e1bebc401090f6a707417fca236151d7f,2026-08-17,yes,yes,no
vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,lubić,enjoy-thing-or-activity,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:d2a8300e30c14b32452eee17f00d826322e102c7f07d5644049a2102a5c3f7a8,sha256:b64dfc696aec6a0639bf4d9db24daeb475a4c30d60692be4ef0898da6ed208f4,2026-08-17,yes,yes,no
